File,Description,Units,Row Count
biofuels/biofuels-consumption-kmt.csv,Biofuels - Consumption (1000 metric tons),1000 metric tons,261
biofuels/biofuels-consumption-mtoe.csv,Biofuels - Consumption (million metric tons of oil equivalent),million metric tons of oil equivalent,261
biofuels/biofuels-consumption-qbtu.csv,Biofuels - Consumption (quadrillion Btu),quadrillion Btu,261
biofuels/biofuels-consumption-tbpd.csv,Biofuels - Consumption (thousand barrels per day),thousand barrels per day,261
biofuels/biofuels-consumption-tj.csv,Biofuels - Consumption (terajoules),terajoules,261
biofuels/biofuels-production-kmt.csv,Biofuels - Production (1000 metric tons),1000 metric tons,261
biofuels/biofuels-production-mtoe.csv,Biofuels - Production (million metric tons of oil equivalent),million metric tons of oil equivalent,261
biofuels/biofuels-production-qbtu.csv,Biofuels - Production (quadrillion Btu),quadrillion Btu,261
biofuels/biofuels-production-tbpd.csv,Biofuels - Production (thousand barrels per day),thousand barrels per day,261
biofuels/biofuels-production-tj.csv,Biofuels - Production (terajoules),terajoules,261
biofuels/biomass-based-diesel-consumption-kmt.csv,Biomass-based diesel - Consumption (1000 metric tons),1000 metric tons,264
biofuels/biomass-based-diesel-consumption-mtoe.csv,Biomass-based diesel - Consumption (million metric tons of oil equivalent),million metric tons of oil equivalent,264
biofuels/biomass-based-diesel-consumption-qbtu.csv,Biomass-based diesel - Consumption (quadrillion Btu),quadrillion Btu,264
biofuels/biomass-based-diesel-consumption-tbpd.csv,Biomass-based diesel - Consumption (thousand barrels per day),thousand barrels per day,264
biofuels/biomass-based-diesel-consumption-tj.csv,Biomass-based diesel - Consumption (terajoules),terajoules,264
biofuels/biomass-based-diesel-production-kmt.csv,Biomass-based diesel - Production (1000 metric tons),1000 metric tons,264
biofuels/biomass-based-diesel-production-mtoe.csv,Biomass-based diesel - Production (million metric tons of oil equivalent),million metric tons of oil equivalent,264
biofuels/biomass-based-diesel-production-qbtu.csv,Biomass-based diesel - Production (quadrillion Btu),quadrillion Btu,264
biofuels/biomass-based-diesel-production-tbpd.csv,Biomass-based diesel - Production (thousand barrels per day),thousand barrels per day,264
biofuels/biomass-based-diesel-production-tj.csv,Biomass-based diesel - Production (terajoules),terajoules,264
biofuels/fuel-ethanol-consumption-kmt.csv,Fuel ethanol - Consumption (1000 metric tons),1000 metric tons,264
biofuels/fuel-ethanol-consumption-mtoe.csv,Fuel ethanol - Consumption (million metric tons of oil equivalent),million metric tons of oil equivalent,264
