Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0426,0.0423,0.088,0.061,0.061,0.154,0.154,0.133,0.061,0.058,0.104,0.072,0.122,0.106,0.0982,0.0927,0.1143,0.1189,0.0827,0.0231,0.0277,0.0277,0.0277
Africa,AFRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.0092,214.8306,222.7897,235.2687,245.3821,248.9227,255.8623,264.406,257.6091,247.8812,258.3893,260.597,258.046,256.33,256.486,254.7911,252.4915,253.5381,260.7182,257.5925,244.3102,244.0383,236.161507962,222.902799408
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,3.014,0.276,0.276
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.237,0.617,0.186,0.209,0.936,1.575,1.418,1.532,2.025,1.781,2.005,2.544,2.454,2.111,2.454,2.37,1.793,1.6171,1.6558,0.6266,1.1815,2.1164,1.860095,0.804
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2160.5397,2307.1573,2510.3996,2836.6033,3101.4946,3412.023,3780.2307,4180.6415,4265.3038,4469.4086,4878.8452,5392.1284,5577.8576,6005.5698,6331.9083,6316.8866,6469.5921,6880.0367,7092.2981,7237.5158,7212.1632815,7601.3876697,7816.651928995,8178.714437442
Antarctica,ATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.179,186.721,173.511,170.457,176.755,181.166,184.784,186.745,184.228,185.455,179.792,172.246,171.722,159.047,151.849,158.61,163.13,161.83,157.711,154.304,145.52237,140.31144,133.59179,127.63299
Austria,AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.727,6.893,6.613,8.443,7.905,7.167,7.37,6.6,5.527,5.759,6.3719,6.9651,5.944,5.8512,4.6304,4.8016,3.7752,3.7367,1.805283,1.499474,0.559315,0.139947,0.058341,0.020937
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
