Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.114,0.114,0.114,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.236,0.266,0.3205,0.3207,0.3214,0.2895,0.2948,0.296,0.296,0.296,0.3035,0.3035,0.3035,0.3049,0.3049,0.3049
Afghanistan,AFG,0.374,0.427,0.427,0.45,0.45,0.47,0.47,0.489,0.489,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.492,0.492,0.492,0.292,0.3065,0.3065,0.3065,0.3066,0.3067,0.3076,0.3106,0.3115,0.3228,0.328,0.3566,0.36,0.4044,0.4086,0.4136,0.4376,0.4843,0.5064,0.506,0.5155,0.5149,0.522529,0.627076,0.6274
Africa,AFRC,47.51185,52.35385,53.26985,55.67965,60.07865,62.60565,69.13265,71.00365,75.34865,79.14225,83.02158,86.37398,87.70498,89.00098,89.07698,91.71198,94.76298,97.99698,99.33268,102.17588,108.7689,105.8047,107.2024,109.49,111.78912,115.42112,120.08449,122.77674,128.065025,136.163925,142.512155,151.771555,157.348755,166.128153,169.166174,178.342273,191.269869,209.139517,229.471207,238.754742,243.107197,249.508235,253.217024,255.973811
Angola,AGO,0.6,0.6,0.6,0.6,0.6,0.6,0.605,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.708,0.596,0.596,0.596,0.586,0.586,0.635,0.665,0.665,0.8306,0.8306,0.8432,1.446,1.462,1.462,1.469,1.583,1.656,1.718,1.786,2.1079,2.6184,4.5514,5.4454,6.9434,7.291674,7.29172,7.575279,7.600279
Albania,ALB,0.595,0.62,0.64,0.69,0.71,0.735,0.76,0.767,0.777,0.777,1.892,1.892,1.892,1.892,1.892,1.669,1.684,1.684,1.684,1.684,1.692,1.6771,1.6772,1.7872,1.6772,1.6132,1.6132,1.6152,1.5802,1.5823,1.5984,1.6316,1.7517,1.8798,1.8239,1.8971,2.012,2.1474,2.2054,2.2754,2.5074,2.654425,2.731425,2.857425
United Arab Emirates,ARE,1.303,3.033,3.574,3.746,3.859,4.01,4.234,4.138,4.721,4.721,4.7,4.7,4.756,4.756,5.29,5.39,5.49,5.6,5.71,5.82,8.28,8.611,9.13,12.172,13.55,15.71,17.28,17.7,19.814,20.5751,23.2098,26.0888,27.1832,27.8627,28.8419,28.7582,28.7795,30.4041,30.9479,33.206,36.524597,38.871,40.7314,44.462
Argentina,ARG,12.909,13.445,14.163,15.208,15.975,16.172,16.51,16.517,16.972,17.095,17.112,17.391,17.243,18.115,19.199,20.168,20.5216,21.708,23.166,23.423,26.3168,27.5163,27.8182,28.0663,28.2705,28.3027,28.3364,29.4457,31.2571,32.731,33.5049,34.9499,36.2377,40.7578,37.8411,38.8043,38.6292,39.8663,42.2057,43.4416,45.751173,46.855875,46.929005,47.631
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,2.812,2.768,2.768,2.768,3.018,3.018,3.018,3.018,3.0332,3.1875,3.2975,3.3018,3.1307,3.1363,3.1655,3.1049,3.118,3.1335,3.4068,3.4319,4.0208,4.0606,4.0657,3.5043,3.5305,3.5471,3.5582,3.5909,3.6364,4.018925,4.075925,4.264525
American Samoa,ASM,0.03,0.032,0.029,0.025,0.025,0.031,0.031,0.031,0.033,0.033,0.033,0.033,0.033,0.033,0.035,0.035,0.038,0.038,0.04,0.04,0.05,0.058,0.058,0.058,0.06,0.045,0.045,0.045,0.045,0.049,0.0448,0.0405,0.0429,0.0429,0.0429,0.0464,0.0461,0.0461,0.0472,0.04758,0.04758,0.05038,0.05038,0.05038
Asia & Oceania,ASOC,329.80373,350.12673,368.75473,392.38873,416.09573,440.07617,462.72655,486.46627,513.12074,536.28966,565.09204,591.63754,629.17679,669.67871,710.7182,748.2992,793.243,838.737,885.791,925.7921,978.8135,1027.0812,1070.7892,1121.8209,1201.5625,1284.7326,1414.1829,1533.1482,1637.0562,1756.588032,1893.168434,2041.543734,2180.663134,2341.05473,2476.28035,2694.7035,2894.49242,3079.74766,3276.18252,3441.57168,3717.197624797,3928.593491969,4156.315537754,4566.707990469
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0.0006,0.0006,0.001,0.001,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0.024,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.027,0.027,0.027,0.055,0.055,0.055,0.055,0.0551,0.0551,0.0843,0.0843,0.1104,0.1104,0.1134,0.1135,0.1175,0.0907,0.08795,0.09615,0.1467,0.1467,0.1477
Australia,AUS,24.142,25.938,28.016,28.635,31.23,32.695,33.349,34.593,34.939,35.165,38.119,37.684,38.394,39.518,41.141,41.789,42.472,43.148,44.335,45.539,45.6962,46.6482,49.3212,50.6095,50.9435,52.4356,53.0145,55.7821,56.6521,59.5571,63.4231,65.5421,67.6361,68.8491,70.6841,77.0391,75.9641,74.3204,76.9545,81.9764,94.0033,97.57357,103.47647,108.19331
Austria,AUT,12.93,13.888,14.243,14.465,14.799,15.101,15.643,16.421,15.749,15.781,14.114,14.229,14.687,14.617,14.783,14.676,14.677,14.994,14.681,14.8,18.612,18.908,18.658,19.162,19.718,20.5315,20.9724,21.1872,22.6389,22.9537,23.3328,24.6885,24.5862,25.3617,25.698,26.138,26.6087,26.209,26.6478,26.8571,27.6905,28.119422,29.932915,33.370915
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,5.165,5.165,5.183,5.239,5.151,4.6,4.59,4.67,4.912,5.161,5.283,5.673,5.665,5.157,5.624,5.7281,5.7981,6.3901,6.3983,6.353,6.423,7.3887,7.3901,7.8447,7.9485,7.9846,7.874,7.6843,7.6664,8.0099,8.0331,8.3831
Burundi,BDI,0.009,0.012,0.022,0.027,0.032,0.032,0.032,0.032,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.054,0.054,0.054,0.054,0.054,0.059,0.046,0.048,0.046,0.041,0.0371,0.037,0.037,0.037,0.057,0.063,0.061,0.061,0.067,0.069,0.0689,0.0699,0.0754,0.0919,0.0919,0.0919,0.1285,0.1308,0.1308
Belgium,BEL,11.013,10.977,12.047,12.566,12.309,14.112,14.138,14.053,14.025,14.108,13.937,13.863,13.785,13.785,14.631,14.613,14.573,14.417,15.103,15.253,15.8005,15.6735,15.709,15.8445,15.894,16.6105,16.818,16.9625,17.4535,18.692,19.8071,21.7166,21.82,21.8981,21.817,22.1081,22.3121,23.0086,23.6102,24.8261,26.608,27.123,26.2726,28.2476
Benin,BEN,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.048,0.048,0.048,0.048,0.048,0.048,0.048,0.06,0.06,0.08,0.08,0.082,0.085,0.085,0.09,0.09,0.09,0.09,0.091,0.092,0.092,0.203,0.203,0.203,0.207,0.207,0.241,0.278,0.3462,0.3479,0.3479,0.3479,0.4749,0.476847,0.478016,0.505,0.505
Burkina Faso,BFA,0.039,0.055,0.055,0.058,0.077,0.077,0.06,0.068,0.065,0.065,0.07,0.078,0.083,0.075,0.078,0.078,0.121,0.121,0.121,0.121,0.1215,0.1775,0.1775,0.1777,0.2141,0.237,0.256,0.251,0.254,0.254,0.242,0.267,0.304,0.2541,0.2925,0.3339,0.3359,0.3727,0.3877,0.3927,0.4486,0.629683,0.6564,0.749
Bangladesh,BGD,0.99,1.031,1.025,1.087,1.289,1.307,1.387,1.875,2.314,2.533,2.52,2.69,2.738,2.948,2.978,3.284,3.301,3.305,3.49,3.6,3.6,3.6,4.68,4.6808,4.7114,4.7134,5.2499,5.2525,5.466,5.7399,5.8626,6.6757,8.1609,8.6364,9.4461,11.1686,11.8968,12.2507,15.3826,18.4287,22.254566,21.295617,22.473756,22.6989
Bulgaria,BGR,8.963,8.963,9.505,9.67,10.115,10.115,10.115,11.002,11.068,10.973,10.954,12.146,12.087,12.087,12.087,12.087,12.087,12.428,12.428,12.116,12.167,11.992,12.235,11.941,12.481,12.638,12.392,9.869,9.8061,9.772,10.204,10.412,11.761,11.7145,11.5319,11.0659,10.9059,11.0131,11.5158,11.4349,11.1891,11.255628,11.721361,12.938986
Bahrain,BHR,0.588,0.588,0.738,1.047,1.062,1.082,1.082,1.04,1.04,1.04,1.04,1.05,1.05,1.05,1.05,1.08,1.1,1.1,1.1,1.163,1.449,1.479,2.506,2.629,1.849,2.319,5.2,5.2,5.4777,5.8687,5.8687,5.7677,6.9332,6.9282,6.9807,6.9777,6.9777,6.9777,6.978,6.981,6.9815,6.99268,7.02,7.031
The Bahamas,BHS,0.307,0.361,0.406,0.406,0.406,0.406,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.401,0.455,0.493,0.493,0.4931,0.4931,0.4932,0.4933,0.5914,0.5916,0.5916,0.5768,0.5768,0.5769,0.5769,0.5769,0.5777,0.5777,0.603,0.608,0.608
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,3.12,3.12,3.059,2.827,2.827,2.827,3.544,4.36,3.885,3.885,3.885,3.8851,3.9152,3.8883,4.1453,4.1453,4.1759,4.1759,4.3056,4.3076,4.3085,4.3104,4.2248,4.3324,4.3956,4.5233,4.441,4.4874,4.5088,4.60436,4.609465,4.682
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,7.208,7.208,7.205,7.205,7.39,7.408,7.408,7.408,7.8625,7.863,7.9153,7.9573,7.9576,7.9619,8.0275,8.0312,8.0678,8.1182,8.2887,8.3911,8.9944,9.2523,10.261,9.8467,10.0482,10.1841,10.1978,10.2347,11.4015,11.3991,11.5352,12.653
Belize,BLZ,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0.023,0.04,0.043,0.046,0.048,0.0742,0.0692,0.0672,0.058,0.0582,0.0601,0.0601,0.0601,0.0824,0.0767,0.0839,0.0773,0.08,0.081,0.1255,0.1565,0.1565,0.1565,0.1535,0.165,0.165,0.16,0.1872,0.2067,0.2208,0.2168,0.21592,0.21928,0.21973
Bermuda,BMU,0.118,0.118,0.118,0.137,0.149,0.149,0.123,0.12,0.133,0.17,0.14,0.14,0.14,0.14,0.14,0.146,0.146,0.146,0.168,0.168,0.168,0.168,0.175,0.175,0.175,0.175,0.175,0.165,0.165,0.165,0.165,0.165,0.171,0.171,0.1708,0.1708,0.1708,0.1708,0.1715,0.1715,0.1725,0.1725,0.1725,0.1725
Bolivia,BOL,0.508,0.517,0.562,0.471,0.469,0.469,0.469,0.606,0.609,0.633,0.702,0.702,0.701,0.756,0.8044,0.803,0.805,0.9886,1.0612,1.3446,1.3299,1.2514,1.3839,1.3373,1.4728,1.4388,1.4616,1.594,1.5904,1.6251,1.7415,1.7779,1.9776,2.21,2.341,2.5506,2.5875,2.7238296,2.9057525,3.8537207,3.8723287,4.253,4.30627,4.37523
Brazil,BRA,31.606,35.84,37.915,38.96,39.87,42.164,42.969,45.557,47.537,50.092,50.968,52.05,53.069,54.108,55.493,56.885,59.263,60.794,62.84,65.591,76.4031,78.7954,84.206,89.0241,93.8639,96.6229,100.7117,104.3397,107.6868,112.1668,120.5959,126.0444,130.7869,138.2469,146.1561,154.0878,164.5445,172.1825,179.0241,187.7394,195.721495,207.62483,222.908302,240.251
Barbados,BRB,0.094,0.094,0.094,0.094,0.094,0.095,0.1,0.132,0.132,0.14,0.14,0.14,0.153,0.153,0.153,0.153,0.1655,0.165,0.1655,0.1655,0.186,0.1901,0.2096,0.2096,0.2096,0.2393,0.2393,0.2397,0.2397,0.2399,0.24,0.2403,0.2405,0.2394,0.2503,0.2521,0.264,0.2785,0.2513,0.2939,0.3159,0.315986,0.320044,0.32016
Brunei,BRN,0.158,0.24,0.24,0.24,0.24,0.285,0.288,0.387,0.382,0.382,0.382,0.384,0.417,0.469,0.475,0.65,0.707,0.707,0.769,0.77,0.763,0.761,0.761,0.86,0.874,0.759,0.759,0.759,0.759,0.768,0.7862,0.8032,0.8062,0.8112,0.8112,0.8194,0.8198,0.9932,0.9932,1.109,1.127,1.13807,0.904098,0.9042
Bhutan,BTN,0.015,0.015,0.016,0.016,0.016,0.016,0.188,0.263,0.347,0.353,0.36,0.361,0.361,0.361,0.361,0.353,0.353,0.353,0.354,0.3565,0.3564,0.3715,0.4256,0.4406,0.4456,0.4857,0.4854,1.5055,1.5055,1.5054,1.5054,1.5054,1.4974,1.4994,1.4991,1.623,1.6239,1.623,1.6232,2.342,2.342,2.34371,2.34371,2.34392
Botswana,BWA,0.133,0.133,0.152,0.154,0.13,0.184,0.184,0.184,0.184,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.152,0.1521,0.153,0.754,0.622,0.622,0.623,0.755,0.799,0.7659,0.7379,0.758269,0.758269,0.758269
Central African Republic,CAF,0.038,0.037,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.03975,0.0398,0.04,0.04,0.04,0.0397,0.038,0.038,0.038,0.044,0.044,0.0441,0.0442,0.0443,0.0443,0.0443,0.0382,0.0382,0.0382,0.0382,0.0382,0.038239,0.038187,0.038184,0.063
Canada,CAN,79.186,81.597,84.17,86.911,93.245,94.026,96.695,98.889,96.049,97.163,103.652,104.852,108.265,107.838,112.081,112.916,114.343,110.484,108.035,109.007,112.3759,113.6446,116.2212,121.0781,121.8031,124.618,126.1742,127.3609,128.5224,133.6914,134.4873,135.1799,135.5844,135.6437,138.6292,146.1851,148.7725,149.6713,151.2216,151.7736,154.8847,157.035957,159.554,161.988
Switzerland,CHE,15.535,15.55,15.564,15.563,16.585,16.56,16.67,16.704,16.715,16.766,15.015,15.025,15.121,15.169,15.335,15.383,15.429,15.45,15.535,16.535,16.957,17.005,16.941,17.0515,17.0905,17.106,17.1195,17.201,17.189,17.4465,17.802,17.9375,18.234,18.608,18.858,19.347,20.3845,21.1227,21.5534,21.5619,21.9613,23.52576,25.1667,26.50212
Chile,CHL,3.209,3.357,3.344,3.352,3.967,3.987,4.033,4.015,4.079,4.079,4.418,5.161,5.173,5.205,5.835,6.295,7.592,7.89,8.735,9.052,9.894,10.493,10.542,10.993,11.87,12.586,12.865,13.18,14.0198,16.1968,16.7328,18.0978,18.9858,19.7558,21.3978,21.8538,24.9408,26.7331,27.6759,27.9822,30.415409,32.850179,36.098913,39.238
China,CHN,65.871,69.13,72.36,76.44,80.117,87.045,93.82,102.897,115.497,126.638,137.891,151.173,166.532,183.549,201.1642,218.7122,238.118,256.326,279.656,302.072,320.5586,339.4451,359.1026,393.1327,444.0767,518.5793,626.6673,718.6121,794.2808,878.4506,969.9221,1066.4364,1154.9737,1267.1764,1379.3976,1519.1075,1660.0898,1790.7998,1911.9813,2025.2279,2225.0305,2401.03773,2586.4585,2949.1135
Ivory Coast,CIV,1.028,1.163,1.163,1.163,1.163,1.163,1.163,1.163,1.173,1.173,1.173,1.173,1.173,1.173,1.173,1.173,1.19,1.19,1.192,0.924,0.984,1.0241,1.0821,1.1131,1.1541,1.1772,1.2072,1.2184,1.2251,1.2484,1.2756,1.4487,1.646,1.7609,1.8308,1.9141,1.9141,2.2033,2.1971,2.2381,2.235402,2.276749,2.277999,2.315
Cameroon,CMR,0.423,0.553,0.592,0.592,0.623,0.625,0.625,0.625,0.625,0.627,0.627,0.627,0.627,0.627,0.627,0.82,0.82,0.817,0.817,0.819,0.796,0.87,1.065,1.0751,1.0801,1.0141,0.9251,0.9222,0.9372,1.023,1.008,1.289,1.344,1.619,1.836,1.9143,1.9505,2.0201,1.6782,1.7582,1.7634,1.7615,1.7625,1.7985
