Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0.274,0.299,0.308,0.334,0.318,0.319,0.321,0.499,0.53,0.579,0.603,0.635,0.686,0.694,0.7766,0.8083,0.8247,0.8418,0.8658,0.9105,0.9095,0.936,0.9136,0.9243,0.8337,0.8179,0.7781,0.7897,0.7782,0.7932,0.8019,0.8346,0.8079,0.8224,0.825,0.829,0.828802,0.828802
Afghanistan,AFG,0.231,0.271,0.245,0.254,0.262,0.264,0.422,0.462,0.336,0.339,0.342,0.306,0.212,0.207,0.202,0.196,0.188,0.177,0.16,0.155,0.172,0.1879,0.1512,0.274,0.232,0.235,0.267,0.266,0.247,0.114,0.125,0.176,0.144,0.2184,0.159,0.1492,0.1547,0.1763,0.1999,0.1827,0.1243,0.13,0.129378,0.129376545
Africa,AFRC,128.542,147.339,154.775,165.113,185.5,199.509,206.25,221.804,223.711,232.648,243.58,248.0643,251.3033,265.374622,275.4175,283.3599,292.6426,307.6454,306.118962,312.227,353.1696,365.2265,389.6509,410.6914,435.4564,456.4774,479.557,501.3389,506.0823,508.0121,555.6807,559.6928,588.097,598.1356,613.907,635.4499,642.6251,655.555,670.5347,668.0611,653.8371,677.988176,678.44183161,678.214112494
Angola,AGO,0.375,0.376,0.395,0.428,0.428,0.428,0.428,0.437,0.437,0.437,0.451,0.451,0.451,0.451,0.456,0.456,0.461,0.465,0.471,0.415,0.533,0.621,0.622,0.754,0.489,0.415,0.439,0.752,0.904,1.645,1.746,1.642,2.241,3.422,4.51,4.437,4.546,3.0862,2.702,4.2415,4.1,4.145,4.227702,4.227702
Albania,ALB,0.716,0.655,0.599,0.543,0.496,0.468,0.449,0.257,0.217,0.235,0.321,0.158,0.123,0.16,0.125,0.197,0.188,0.147,0.138,0.106,0.184,0.175,0.226,0.107,0.14,0.07,0.093,0.072,0,0.0009,0.0009,0.0593,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,5.897,5.815,8.349,9.533,10.215,11.454,12.046,12.839,13.95,14.675,16.056,16.189,16.412,16.523,17.738,23.483,24.978,26.756,31.388,34.899,40.8419,44.1847,47.5269,50.2014,53.1853,61.5148,67.6268,79.66,81.4184,86.5022,94.6891,99.6859,106.9019,111.565,117.9978,127.083,129.297,133.823,134.816,134.799,130.334,132.69,127.099,124.93020743
Argentina,ARG,22.222,21.338,20.423,19.904,19.175,17.719,20.922,22.364,29.585,30.522,20.91,25.022,27.555,28.061,25.479,31.02,36.825,34.01,37.536,48.629,53.555,45.634,42.285,49.695,60.989,63.685,66.71,73.724,82.017,77.968,83.75,90.004,97.74,97.586,98.298,103.766,106.919,105.3359,104.4505,95.7114,95.6578,104.6399,93.7208062,80.1361163
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,5.602,1.882,2.015,3.138,2.179,2.85,2.88,2.293,2.692,2.79,1.579,1.521,1.613,1.828,1.476,1.489,1.854,1.154,1.438,2.39,3.399,3.173,3.289,2.801,2.581,2.872,3.376,3.047,3.166,3.3837,3.879,3.716
American Samoa,ASM,0.07,0.067,0.067,0.071,0.069,0.083,0.075,0.081,0.091,0.09,0.094,0.102,0.102,0.115,0.122,0.129,0.134,0.141,0.147,0.152,0.169,0.171,0.179,0.188,0.188,0.189,0.189,0.185,0.188,0.178,0.159,0.155,0.155,0.154,0.153,0.159,0.167,0.162,0.163,0.164,0.166,0.167,0.166254,0.166671722
Asia & Oceania,ASOC,907.860168,920.865168,950.294325723,994.563142174,1065.461098593,1113.4456305670942,1174.0655995640443,1283.3527005151607,1407.961687934931,1522.3067325778136,1629.3125823812552,1752.064534204044,1878.0419559220686,1972.6618731665528,2172.031973759055,2292.2885546681123,2424.0121608657764,2569.199983018076,2620.118810470392,2746.874809904533,3194.7365,3326.8039,3613.8841,3958.6462,4279.9073,4598.5348,5002.034,5520.6083,5608.1836,5808.6618,6369.055,7041.4754,7277.128,7765.9447,8079.2794,8052.1001,8241.5353,8645.4264,8886.8098,8998.55530183,8979.7447771,9412.508361285,9618.649588396,9959.203506738
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0.056,0.059,0.062,0.068,0.071,0.072,0.081,0.085,0.086,0.088,0.089,0.089,0.089,0.089,0.091,0.092,0.092,0.093,0.095,0.095,0.15,0.171,0.191,0.211,0.221,0.243,0.258,0.2854,0.296,0.3274,0.3295,0.329,0.33,0.33,0.336,0.34,0.344,0.344,0.349,0.3453,0.3304,0.3338,0.335453,0.33804436
Australia,AUS,74.538,78.934,83.193,85.971,91.686,97.054,101.933,108.543,117.095,124.164,131.785,132.303,135.249,137.882,141.812,147.688,151.84666,155.951,169.008,174.139,192.274,206.103,209.504,201.967,209.53,208.244,211.085,221.966,223.347,229.493,230.893,227.433,224.509,216.511,211.256,217.871,219.115,217.564,216.366,212.002,198.8443967,188.97443,184.7820919,173.5869557
Austria,AUT,11.922,11.169,11.309,11.327,12.089,12.154,12.124,12.89,11.667,13.11,15.798,17.328,13.867,12.514,14.306,15.255,16.585,16.752,15.998,15.759,16.292,18.597,18.57,22.537,21.882,23.159,21.063,19.164,19.378,20.513,23.7799,22.3211,18.238,15.1102,12.5494,15.4356,15.1902,17.6594,14.253583,15.421674,13.0070657,13.4580179,13.5339845,10.1329624
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,16.85,15.698,14.798,14.56,14.617,14.217,15.084,15.671,17.165,17.669,16.681,18.817,18.988,19.863,22.025,19.483,19.411,16.558,15.263,17.618,21.167,21.6927,23.2608,22.8599,22.761,22.3449,23.177,24.1626,24.4259,26.2709,27.0946,27.184
Burundi,BDI,0.001,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0044,0.0175,0.0129,0.0029,0.0207,0.0335,0.0287,0.0241,0.0738,0.0991,0.1238,0.0866,0.118,0.120147,0.119990792
Belgium,BEL,38.286,34.889,32.148,25.934,24.186,20.158,16.818,18.774,19.864,23.894,24.98,25.644,25.131,25.385,27.71,28.925,28.676,27.487,32.436,30.826,32.804,30.208,31.5,34.224,33.197,33.728,32.579,33.803,31.75,35.688,37.203,31.174,29.371,26.233,23.813,26.341,27.0684,27.8617,28.6503,30.4484,30.4997,25.8053,26.3711678,18.6527795
Benin,BEN,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.019,0.022,0.023,0.024,0.048,0.029,0.047,0.05,0.058,0.066,0.082,0.064,0.061,0.078,0.08,0.106,0.15,0.217,0.226,0.127,0.114,0.101,0.048,0.13,0.348,0.324,0.266,0.3245,0.1967,0.5211,0.9816,1.11,0.968,0.968
