Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.1061,0.1135,0.136,0.153,0.159,0.175,0.1495,0.1437,0.155,0.162,0.162,0.162,0.162,0.162
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0003,0.0003,0.028,0.03,0.032,0.033,0.035,0.038,0.037,0.056,0.066,0.079,0.094,0.094
Africa,AFRC,0.133,0.1757,0.2354,0.3972,0.3749,0.4786,0.5353,0.532,0.5017,0.50835,0.5741,0.5561,0.5381,0.5481,0.4521,0.5832,0.6462,0.7072,0.8442,1.0922,2.7846,3.16,3.467,4.0643,4.6373,4.6309,5.5143,5.2664,5.6083,6.116,7.3367,6.8428,7.0997,8.6933,13.3524,19.2551,23.3669,26.2372,32.1677,40.867,42.8718,49.518,53.499015129,58.005595063
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.011,0.014,0.015,0.053,0.06,0.0633,0.066,0.07,0.073,0.0733,0.073,0.442,0.441998355
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0008,0.0009,0.001,0.001,0.001,0.002,0.001,0.001,0.022,0.0323,0.041,0.161,0.297
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.018,0.022,0.023,0.0861,0.303,0.306,0.322,0.751,1.204,3.662,5.191,6.258,7.749,8.006
Argentina,ARG,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.12,0.36,0.465,0.503,0.575,0.708,0.672,0.941,1.114,1.2471,1.3621,1.7281,1.6881,1.6181,1.4021,2.2201,2.188,3.205,3.62,2.808,2.9065,2.8808,3.1404,3.868,7.8977,13.1696,17.4459,19.1671838,19.7365965
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.004,0.003,0.003,0.005,0.021,0.064,0.139,0.295,0.525126,0.774
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.002,0.002,0.002,0.003,0.005,0.005,0.005,0.005,0.005,0.00504715,0.005
Asia & Oceania,ASOC,5.37893471861204,5.77268471861204,15.62793471861204,17.29909471861204,18.98110121861204,20.03040094306094,21.11457949416314,22.16471421861204,24.26366771861204,26.51406218875889,22.97781225843359,24.10462553218398,24.30896676294322,24.24991225306253,27.07620291707223,32.95760083015048,34.72310797314002,38.00487673843943,40.24835167037818,45.3644188938987,43.6098,45.9193,49.6286,54.9366,60.3114,73.6,84.6117,96.6459,120.4516,151.7395,193.5845,243.6218,292.0624,380.2059,447.4624,511.7208,668.0114,834.336,1035.73873,1194.95573,1374.2514734,1719.37437374,2030.546763924,2412.129187205
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.0005,0.0005,0.0005,0.001,0.001,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0005,0.0005,0.0006,0.0006,0.0054,0.005,0.0061,0.01,0.013,0.016,0.0195,0.023,0.023
Australia,AUS,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.7,0.8,0.75,0.77,0.6804,0.681,0.687,0.743,0.956,1,1.066,1.192,1.23,1.599,1.997,2.345,2.573,4.794,5.716,6.674,7.817,6.8,8.1079,10.2827,12.7578,16.1725,17.9327,21.1218,24.491,25.6782,32.6407,41.8437,50.7834,63.2234,71.9817632,80.5433958
Austria,AUT,0.308,0.315,0.505,0.527,0.761,0.882,0.924,0.856,0.995,1.05,1.18,1.255,1.373,1.404,1.247,1.909,1.809,1.866,1.963,1.815,1.727,1.998,1.891,2.328,3.289,4.233,5.567,6.703,6.789,6.89,7.1165,7.1278,8.0411,8.9248,9.5097,10.8098,11.5166,13.1009,12.7791,14.2357,14.4441622,14.3569199,16.3704741,17.0034463
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,0,0,0.0872,0.0861,0.1009,0.1452,0.1442,0.2031,0.247,0.2433,0.243,0.247,0.262666667
Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0.007,0.008,0.01,0.01,0.011,0.0126,0.0146,0.0087,0.0084,0.0085,0.0078,0.007905536,0.008021073
Belgium,BEL,0.285,0.276,0.249,0.208,0.219,0.298,0.453,0.511,0.572,0.616,0.73,0.815,0.878,0.882,0.892,1.051,1.057,0.907,1.015,1.214,1.352,1.62,1.719,1.711,2.09,2.478,3.473,4.138,5.072,6.424,7.494,9.437,11.357,12.406,13.056,15.2738,15.0652,16.6751,17.8756,20.1581,24.1756,23.5149,25.1607001,27.529038
Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.003,0.003,0.001,0.001,0,0,0,0,0.005,0.005,0.005,0.005,0.008,0.007,0.017,0.01806305,0.033
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.009,0.009,0.01,0.011,0.013,0.018,0.031,0.137,0.147,0.186,0.181,0.18,0.181
Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-05,5e-05,0.0001,0.0005,0.001,0.002,0.003,0.004,0.005,0.01,0.02,0.02,0.031,0.0706,0.0627,0.0912,0.1345,0.1698,0.208,0.23,0.263,0.325,0.384,0.469,0.623,0.876,1.076
Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.029,0.015,0,0.011,0.006,0.02,0.022,0.027,0.053,0.138,0.248,0.731,1.017,2.101,2.845,2.783,3.107,3.164,3.3029,4.253,4.5906,4.6612,5.4891,5.7456107,6.6425804
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0.0083,0.0083,0.0083,0.0083,0.012,0.019,0.019,0.04,0.088,0.095
The Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0006,0.0009,0.002,0.002,0.002,0.002,0.0021,0.005,0.006,0.007,0.011,0.019,0.019
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.009,0.01,0.025,0.028,0.132,0.292,0.32,0.496,0.819,0.867616782
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.015,0.034,0.067,0.094,0.106,0.133,0.16,0.168,0.22,0.279,0.381,0.482,0.695,0.962,0.898,0.888,0.949791673
Belize,BLZ,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0402,0.0402,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.1068,0.0625,0.1359,0.0875,0.0667,0.0948,0.1021,0.1089,0.1343,0.1645,0.1494,0.1529,0.166253442,0.158860389
Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.008,0.007,0.0065,0.0062,0.006,0.006,0.006,0.006,0.006,0.006,0.0065,0.0065,0.0065,0.006,0.006,0.006374008,0.006416667
Bolivia,BOL,0.046,0.023,0.023,0.041,0.039,0.035,0.037,0.047,0.048,0.045,0.032,0.037,0.041,0.043,0.044,0.045,0.047,0.048,0.05,0.052,0.054,0.054,0.054,0.054,0.056,0.056,0.04,0.048,0.065,0.081,0.08,0.088,0.083,0.131,0.14,0.219,0.217,0.199,0.3545,0.4996,0.723,0.932,1.325,1.208710922
Brazil,BRA,1.9228,2.0387,2.3579,3.172,3.1179,3.1293,3.2005,3.6338,3.4266,3.3221,3.859,4,4.899,4.954,5.388,5.594,6.754,7.3831,7.5101,8.3681,7.8461,9.0151,10.2801,11.9551,12.5371,13.6842,14.9602,18.6702,20.6542,23.8402,33.641,35.141,40.757,47.426,59.338,71.2497,84.9725,98.5802,108.709,119.8605,128.7038,146.7423,168.2763564,202.8575038
Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0071,0.007,0.0067,0.0127,0.0166,0.0257,0.0357,0.0358,0.0457,0.068,0.0825,0.085289438,0.088078877
Brunei,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.005,0.005
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Botswana,BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.003,0.003,0.005,0.005,0.006,0.006,0.006,0.006,0.006345756,0.006
Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0,0,0,0,0
Canada,CAN,1.235,1.803,2.032,1.981,2.221,1.598,1.777,2.202,2.366,3.308,3.995,4.025,4.573,4.933,5.849,5.757,5.96,7.001,7.434,8.511,8.538,9,9.512,9.941,9.818,9.529,10.275,10.955,11.112,14.757,18.08,19.956,21.917,29.265,33.296,38.828,46.644,46.281,47.9,47.479,50.21,50.8392,51.663,54.2112374
Switzerland,CHE,0.2,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.805,0.831,0.926,0.921,1.054,1.095,1.181,1.393,1.512,1.641,1.76,1.846,1.901,1.923,2.012,2.136,2.372,2.346,2.442,2.446,2.556,2.768,3.129,3.456,3.948,4.047,4.435,4.9211,5.149,5.4548,5.9518541,6.2455688,7.2026699,9.3338056
Chile,CHL,0.1,0.105,0.13,0.198,0.191,0.185,0.266,0.257,0.311,0.305,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.01,0.941,2.075,1.951,1.814,2.038,1.797,1.438,2.705,3.121,4.353,2.579,5.011,5.263,6.322,7.248,8.965,10.993,13.484,14.6076,16.7865,18.5566,24.1176,29.6986983,33.0480913
China,CHN,0,0,0,0,0,0,0,0,0,0,0.004,0.011,0.017,0.026,0.388,2.968,1.524,2.823,2.748,2.915,3.056,3.211,3.338,3.514,3.798,7.417,11.078,15.631,29.768,48.108,79.308,111.333,143.427,206.101,246.689,287.9635,377.8454,504.4805,644.60773,750.20173,876.0703124,1146.5031101,1378.25951,1677.51213
Ivory Coast,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0.1101,0.1012,0.1152,0.1182,0.0725,0.071,0.066,0.068,0.07,0.073,0.109,0.178,0.114,0.068,0.0763,0.09,0.095,0.101,0.105602521
Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643,0.076,0.077,0.071,0.06,0.064,0.068,0.073,0.08,0.045,0.049,0.0543,0.0599,0.0612,0.0614,0.065,0.066643179,0.066999672
Congo-Kinshasa,COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1501,0.156,0.161,0.166,0.175,0.172,0.271,0.262,0.044,1.082,2.141,2.227
Congo-Brazzaville,COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0003,0.001,0.001,0.001,0.001,0.001,0.001,0.0012,0.0012,0.018
Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0008,0.0014,0.0035,0.0047,0.007,0.016,0.015,0.013,0.0159,0.0159,0.0159
Colombia,COL,0.234,0.336,0.39,0.304,0.486,0.251,0.412,0.294,0.507,0.518,0.274,0.269,0.34,0.389,0.444,0.477,0.496,0.483,0.532,0.457,0.502,0.502,0.497,0.502,0.526,0.559,0.6,0.589,0.598,0.606,2.464,2.048,2.016,1.114,1.4254,1.4474,1.5195,1.4392,1.5179,1.7645,2.3525,2.6262,2.8851239,3.4611678
Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
