Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002579535682439574,0.009122957863561295,0.00975924333189639,0.01169389509372607,0.013155631980441828,0.013671539116929744,0.015047291480897515,0.012854686150823878,0.01235597591888556,0.0133276010259378,0.0139294926851737,0.0139294926851737,0.0139294926851737,0.0139294926851737,0.0139294926851737
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59845227479858e-06,2.579535682439574e-05,2.579535682439574e-05,0.0024075666369436023,0.002579535682439574,0.0027515047279355457,0.0028374892506835316,0.0030094582961795032,0.0032674118644234608,0.003181427341675475,0.004815133273887205,0.005674978501367063,0.006792777297090879,0.008082545138310665,0.008082545138310665
Africa,AFRC,0.011435941525482112,0.015107480646821107,0.020240756654875857,0.03415305243549996,0.03223559757821988,0.041152192587186005,0.0460275150269968,0.04574376610192845,0.04313843506266448,0.043710232138938585,0.04936371450961865,0.047815993100154906,0.046268271690691164,0.04712811691817102,0.03887360273436438,0.05014617366662532,0.055563198599748426,0.06080825448737556,0.07258813410384962,0.0939122957453501,0.23943250204404126,0.2717110918836351,0.2981083403672668,0.3494668958046387,0.3987360273392346,0.39818572639364747,0.4741444537892181,0.45282889059999243,0.4822269989275288,0.5258813411266812,0.6308426480451474,0.5883748922599172,0.6104643161538749,0.747489251605065,1.1480997415402057,1.6556405839647415,2.0091917445999097,2.255993120243453,2.765924332400383,3.513929491141936,3.6863112623470977,4.257781597434761,4.600087283354338,4.987583408204976
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000859845227479858,0.0009458297502278439,0.0012037833184718012,0.001289767841219787,0.004557179705643248,0.005159071364879148,0.005442820289947501,0.005674978501367063,0.0060189165923590065,0.006276870160602964,0.0063026655174273595,0.006276870160602964,0.03800515905460972,0.0380050176100698
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29922613739929e-05,6.878761819838864e-05,7.738607047318723e-05,8.59845227479858e-05,8.59845227479858e-05,8.59845227479858e-05,0.0001719690454959716,8.59845227479858e-05,8.59845227479858e-05,0.0018916595004556877,0.0027773000847599416,0.003525365432667418,0.013843508162425714,0.025537403256151784
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005159071364879148,0.0015477214094637445,0.0018916595004556877,0.0019776440232036735,0.007403267408601578,0.026053310392639698,0.026311263960883655,0.02768701632485143,0.06457437658373734,0.1035253653885749,0.31487532230312404,0.44634565758479433,0.5380911433568951,0.666294066774142,0.6883920891203743
Argentina,ARG,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.008598452274798581,0.010318142729758296,0.010318142729758296,0.03095442818927489,0.0399828030778134,0.04325021494223686,0.04944110058009184,0.06087704210557395,0.05778159928664646,0.08091143590585465,0.09578675834125619,0.1072312983190131,0.11711951843503146,0.14858985376079428,0.14515047285087485,0.13913155625851584,0.1205588993449509,0.19089423895280327,0.18813413577259294,0.2755803954072945,0.31126397234770864,0.24144453987634415,0.24991401536702074,0.24770421313239752,0.27002579523777465,0.3325881339892091,0.6790799653067675,1.132381770781874,1.5000773854090856,1.648081151465925,1.697041830722067
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59845227479858e-05,8.59845227479858e-05,0.0002579535682439574,0.0001719690454959716,0.0003439380909919432,0.0006018916592359006,0.0002579535682439574,0.0003439380909919432,0.0003439380909919432,0.0003439380909919432,0.0002579535682439574,0.0002579535682439574,0.000429922613739929,0.0018056749777077019,0.005503009455871091,0.011951848661970027,0.02536543421065581,0.04515270849255879,0.06655202060694101
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.738607047318723e-05,0.0001719690454959716,0.0001719690454959716,0.0001719690454959716,0.0002579535682439574,0.000429922613739929,0.000429922613739929,0.000429922613739929,0.000429922613739929,0.000429922613739929,0.00043397678398749654,0.000429922613739929
Asia & Oceania,ASOC,0.4625051346724276,0.496361540504447,1.343760508316534,1.487454403352058,1.632080929513568,1.7223044655398998,1.815527040830025,1.9058223739328515,2.086299888900566,2.279798983410849,1.9757362208342302,2.072624722403753,2.090194905608322,2.0851171317601147,2.328134385652077,2.83384357829911,2.985649867397225,3.267831188450742,3.460735309770565,3.9006379083315896,3.7497678401351116,3.9483490954215847,4.267291485650689,4.723697332396997,5.185846945262871,6.328460874251755,7.275296643395751,8.31005158704956,10.356973340231287,13.047248489517992,16.645270843907458,20.947704204005248,25.112846076631328,32.691822857468416,38.47484091166832,44.000068768217496,57.438641419213845,71.73998277146349,89.05750039065492,102.74769814902098,118.1643570760153,147.83958495115087,174.59559441347213,207.40577696830883
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001719690454959716,0.0001719690454959716,0.0001719690454959716,0.0001719690454959716,0.0003439380909919432,0.0003439380909919432,0.0003439380909919432,4.29922613739929e-05,4.29922613739929e-05,4.29922613739929e-05,8.59845227479858e-05,8.59845227479858e-05,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.719690454959716e-05,4.29922613739929e-05,4.29922613739929e-05,5.159071364879148e-05,5.159071364879148e-05,0.00046431642283912335,0.000429922613739929,0.0005245055887627134,0.000859845227479858,0.0011177987957238155,0.0013757523639677729,0.001676698193585723,0.0019776440232036735,0.0019776440232036735
Australia,AUS,0.034393809099194324,0.034393809099194324,0.0429922613739929,0.034393809099194324,0.034393809099194324,0.034393809099194324,0.034393809099194324,0.034393809099194324,0.06018916592359006,0.06878761819838865,0.06448839206098936,0.06620808251594908,0.05850386927772954,0.05855545999137833,0.059071367127866245,0.06388650040175345,0.08220120374707443,0.0859845227479858,0.09165950124935286,0.10249355111559907,0.10576096298002254,0.1374892518740293,0.17171109192772765,0.2016337058440267,0.22123817703056747,0.41220980205384394,0.49148753202748685,0.5738607048200572,0.672141014321005,0.5846947546863035,0.6971539119883942,0.8841530520607136,1.0969733443142533,1.3905846941418005,1.5419346510828051,1.8161478925784065,2.1058469466209204,2.207927772027329,2.80659501166018,3.5979105745098936,4.366586412520062,5.436233875505006,6.189317555310527,6.925485448365125
Austria,AUT,0.026483233006379628,0.02708512466561553,0.04342218398773283,0.04531384348818852,0.06543422181121719,0.07583834906372348,0.07944969901913888,0.07360275147227585,0.08555460013424587,0.0902837488853851,0.10146173684262325,0.10791057604872219,0.11805674973298451,0.12072226993817207,0.1072226998667383,0.1641444539259049,0.15554600165110632,0.1604471194477415,0.16878761815429613,0.15606190878759424,0.1484952707857715,0.17179707645047565,0.16259673251644116,0.20017196895731096,0.2828030953181253,0.36397248479222394,0.478675838138037,0.5763542559797489,0.5837489249360757,0.5924333617336222,0.611908856136041,0.6128804812430932,0.6914101458688287,0.7673946686212237,0.8176870159765206,0.9294754940011769,0.9902493546794533,1.1264746340690872,1.0988048146487854,1.2240498704835014,1.2419743932614966,1.23447290573256,1.4076074026467624,1.462033215176505
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001719690454959716,8.59845227479858e-05,0,0,0.007497850383624362,0.007403267408601578,0.008675838345271768,0.012484952703007538,0.012398968180259554,0.01746345657011592,0.021238177118752494,0.020920034384584948,0.02089423902776055,0.021238177118752494,0.022585268003799112
Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005073086842131162,0.0006018916592359006,0.0006878761819838864,0.000859845227479858,0.000859845227479858,0.0009458297502278439,0.0010834049866246212,0.0012553740321205927,0.0007480653479074765,0.0007222699910830807,0.0007308684433578793,0.0006706792774342893,0.0006797537400270207,0.0006896881338317547
