Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.0301,0.0303,0.031,0.0316,0.0369,0.0381,0.0381,0.0381,0.0456,0.0456,0.0456,0.047,0.047,0.047
Afghanistan,AFG,0.262,0.259,0.259,0.272,0.272,0.281,0.281,0.29,0.29,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.1915,0.1915,0.1915,0.1916,0.1917,0.1926,0.1956,0.1965,0.2078,0.213,0.2416,0.245,0.2894,0.2936,0.2986,0.3026,0.3493,0.3714,0.371,0.3805,0.3799,0.387529,0.492076,0.4924
Africa,AFRC,14.431,14.823,14.952,15.44,16.08,16.21,16.892,17.422,18.177,18.5875,19.822,19.797,20.025,20.095,20.4,20.23,19.972,20.268,20.3867,20.3969,21.6357,21.8451,22.2857,22.3724,22.85242,23.06412,22.96952,23.45062,23.88712,25.99292,27.092033,27.359733,28.278833,30.555133,32.467533,34.758033,37.021133,42.901333,48.222433,50.346933,53.477987,55.518059,59.112126,61.868813
Angola,AGO,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.3,0.3,0.3,0.29,0.29,0.4,0.43,0.43,0.498,0.498,0.498,0.789,0.805,0.805,0.812,0.813,0.886,0.948,1.016,1.0169,1.3344,2.4844,3.1474,3.4994,3.781674,3.78172,4.065279,4.090279
Albania,ALB,0.5,0.525,0.55,0.6,0.625,0.65,0.675,0.68,0.69,0.69,1.668,1.668,1.668,1.668,1.668,1.445,1.445,1.445,1.445,1.445,1.453,1.4531,1.4532,1.4532,1.4532,1.4532,1.4532,1.4552,1.4572,1.4593,1.4754,1.5086,1.6287,1.7818,1.7259,1.7991,1.914,2.0494,2.1074,2.1774,2.4094,2.531425,2.608425,2.734425
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0.0108,0.0128,0.0132,0.1277,0.1359,0.1362,0.1415,0.3561,0.5994,1.919,2.333597,3.003,3.6144,6.035
Argentina,ARG,4.185,4.652,4.839,5.379,5.99,6.216,5.617,5.62,5.521,5.644,5.633,5.638,5.476,6.18,7.031,7.367,7.803,8.208,8.373,8.628,8.6938,8.7253,8.8922,8.9393,9.0735,9.1057,9.1394,9.4107,9.4221,9.787,9.8129,10.3809,10.5217,10.5798,10.5891,10.6573,10.7092,10.7493,11.4767,12.6896,14.074173,15.111875,15.178005,15.88
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,1.022,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.0242,1.0125,1.1655,1.1698,1.0237,1.0293,1.0585,1.0689,1.082,1.0965,1.1258,1.1509,1.2518,1.2916,1.3007,1.2893,1.3155,1.3321,1.3566,1.3893,1.3898,1.485325,1.574325,1.762925
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.0024,0.0024,0.0024,0.0039,0.0043,0.0052,0.00538,0.00538,0.00538,0.00538,0.00538
Asia & Oceania,ASOC,74.70473,78.88073,83.75273,85.97773,90.61173,93.66717,98.47355,102.52327,107.02474,108.44866,111.28904,114.01654,119.20779,125.87571,131.282,136.365,140.719,146.032,153.055,163.1431,174.1412,185.7678,191.3203,205.8839,221.8953,240.1051,260.7593,284.0762,317.8865,355.2271,394.4687,442.4693,489.2418,564.9964,645.188,735.742,827.8214,936.9844,1043.7297,1147.51858,1334.975565,1485.438612669,1664.967431154,1997.858673869
