Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.1061,0.1135,0.136,0.153,0.159,0.175,0.1495,0.1437,0.155,0.162,0.162,0.162,0.162,0.162
Afghanistan,AFG,0.711,0.721,0.707,0.746,0.757,0.77,0.713,0.756,0.744,0.75,0.756,0.683,0.473,0.47,0.467,0.412,0.361,0.322,0.3,0.3,0.312,0.498,0.555,0.63,0.565,0.59,0.637,0.748,0.542,0.7761,0.7513,0.5953,0.738,0.885,1,1.034,1.06,1.088,0.965,1.277,1.054,0.929,0.832,0.843149972
Africa,AFRC,60.243,52.7617,52.0094,50.2822,45.2709,47.0486,49.8273,48.932,51.6167,52.80435,55.48073,57.2961,56.3921,55.46517,56.2971,59.7042,62.6669,64.4599,61.8769,73.1839,77.0446,84.407,87.099,85.8533,90.8657,94.0864,98.1447,99.9717,101.9459,105.651,117.55,117.3763,121.2901,126.3092,136.4554,141.072,143.4453,152.1655,168.0302,181.3524,191.7385,204.4535,217.002813041,222.809592445
Angola,AGO,0.53,0.53,0.6,0.6,0.6,0.6,0.66,0.66,0.66,0.667,0.718,0.715,0.832,0.881,0.886,0.891,0.916,0.866,1.049,0.885,0.912,1.017,1.143,1.241,1.754,2.222,2.544,2.488,3.147,3.269,3.713,4.018,5.483,4.734,5.044,5.339,6.4253,7.719,10.444,11.579,12.7113,12.711,13.08,13.710873355
Albania,ALB,2.919,3.018,3.093,3.167,3.241,3.315,3.365,3.979,3.713,3.846,2.82,3.483,3.187,3.281,3.733,4.162,5.669,4.978,4.872,5.231,4.548,3.519,3.477,5.117,5.411,5.319,4.951,2.76,3.759,5.201,7.5675,4.1328,4.7259,6.96,4.725,5.896,7.784,4.526,8.553,5.206,5.3133,8.937,6.974,9.006
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.018,0.022,0.023,0.0861,0.303,0.306,0.322,0.751,1.204,3.662,5.191,6.258,7.749,8.006
Argentina,ARG,17.413,16.482,18.887,18.507,20.556,20.54,20.899,21.723,14.983,12.935,17.797,16.159,19.29,23.728,27.207,26.684,23.043,28.2,26.674,21.753,29.194,37.325,36.433,34.589,31.3831,35.0261,39.2991,31.7511,31.7311,34.9291,35.2396,33.2215,31.917,36.1326,35.1404,34.8459,32.2858,34.5056,35.7338,35.1321,36.7835,36.85,43.1418741,41.4615373
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,3.013,4.249,3.479,1.9,1.556,1.376,1.522,1.188,1.248,0.958,1.641,1.962,1.978,1.756,1.808,1.837,1.781,2.003,2.537,2.467,2.303,2.155,1.976,2.187,2.33,2.251,2.3158,2.4113,1.917,2.497,3.371126,2.42
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.002,0.002,0.002,0.003,0.005,0.005,0.005,0.005,0.005,0.00504715,0.005
Asia & Oceania,ASOC,267.76993471861203,285.31068471861204,295.42015896261205,315.47084485761206,317.73240327561206,336.23231746255397,349.94121670547014,343.71293938928005,385.585563938251,409.7057862145129,425.1474415740546,433.013792103573,425.23670309864224,458.84970729000355,471.48697754171224,509.0688745271225,501.592832106017,519.6658130754395,548.7602641613781,555.5436256088987,560.5488,618.1023,632.5117,660.6655,745.7573,804.5009,888.8807,932.1589,1060.7853,1122.6398,1283.9676,1349.2158,1557.2924,1733.954,1943.0491,2055.7383,2270.9067,2485.7254,2737.56273,2970.62523,3221.3757734,3569.31297374,3943.507434128,4235.024056591
