Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.0001,0.0003,0.001,0.0016,0.0049,0.0061,0.0061,0.0061,0.0136,0.0136,0.0136,0.015,0.015,0.015
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0161,0.0168,0.0184,0.0189,0.0202,0.022,0.0216,0.0311,0.0305,0.030521,0.032538,0.033
Africa,AFRC,,,,,,,,,,,,,,,,,,,,,0.0108,0.013,0.015,0.0173,0.0207,0.0263,0.0335,0.0435,0.0563,0.0985,0.215,0.1848,0.2358,0.549,1.5282,2.0334,3.1794,4.9967,7.9446,9.2773,10.427654,11.338631,12.401678,13.170315
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.007,0.008,0.01,0.011,0.012,0.0129,0.0134,0.0134,0.0134,0.0134,0.001374,0.001441,0.285,0.31
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0003,0.0004,0.0006,0.0007,0.0008,0.0009,0.0011,0.001,0.001,0.001,0.014,0.021,0.023,0.1,0.24
United Arab Emirates,ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0101,0.0108,0.0128,0.0132,0.1258,0.1332,0.1335,0.1405,0.3551,0.5984,1.918,2.332597,3.002,3.596,5.907
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.0013,0.0063,0.0083,0.0083,0.0086,0.0088,0.0088,0.1912,0.4421,0.768973,1.080226,1.116,1.408
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0024,0.0173,0.05,0.0505,0.146,0.235,0.402
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.0024,0.0024,0.0024,0.0039,0.0043,0.0052,0.00538,0.00538,0.00538,0.00538,0.00538
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3954,0.5345,0.745,0.9892,1.2852,1.6833,2.0292,2.3657,2.9536,4.054,6.6279,12.1415,20.0353,40.816,65.9673,96.5096,147.1819,219.2415,284.7841,344.98388,431.112465,512.381145669,629.294522154,871.156129869
Antarctica,ATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0003,0.0003,0.0004,0.0004,0.0034,0.0035,0.0043,0.0087,0.0087,0.0129,0.015,0.015,0.016
Australia,AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.029,0.034,0.0394,0.0464,0.0524,0.0614,0.073,0.085,0.332,1.091,2.473,3.799,4.568,5.287,5.946,6.689,7.354,8.626,12.97,19.772,24.396,28.887,32.612
Austria,AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,0.007,0.009,0.023,0.027,0.021,0.0224,0.0242,0.0301,0.0489,0.0888,0.1741,0.3375,0.626,0.7852,0.9371,1.096,1.269,1.4551,1.7021,2.0429,2.782602,3.792,6.832
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0003,0.001,0.001,0.001,0.0024,0.0048,0.0249,0.0284,0.0349,0.0331,0.0351,0.0479,0.0509,0.282
Burundi,BDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.0001,0,0,0,0,0.001,0.001,0.001,0.003,0.003,0.0031,0.0041,0.0051,0.0051,0.0051,0.0051,0.009,0.009,0.009
Belgium,BEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.001,0.001,0.001,0.002,0.002,0.02,0.062,0.386,1.0066,1.9786,2.6466,2.9016,3.015,3.1316,3.3288,3.6206,4,4.6366,5.5728,6.0124,6.756,8.549
Benin,BEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.0012,0.0029,0.0029,0.0029,0.0029,0.004847,0.006016,0.033,0.033
Burkina Faso,BFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005,0.0005,0.0005,0.0007,0.0011,0.001,0.001,0.002,0.002,0.003,0.004,0.006,0.006,0.006,0.007,0.008,0.01,0.0468,0.0618,0.0624,0.0624,0.062387,0.087,0.177
Bangladesh,BGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0008,0.0014,0.0025,0.004,0.0066,0.0111,0.0183,0.0323,0.0427,0.0662,0.0941,0.1201,0.147,0.1638,0.1957,0.2176,0.2687,0.343266,0.505717,0.522856,0.748
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.0001,0.002,0.025,0.154,0.922,1.0385,1.0289,1.0279,1.0299,1.0307,1.0331,1.0444,1.1002,1.274713,1.737,2.937
Bahrain,BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.005,0.005,0.006,0.006,0.0063,0.0093,0.0098,0.021,0.046,0.057
