Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3599999999999998,1.799999999999999,3.599999999999998,7.199999999999996,21.599999999999987,35.99999999999998,38.51999999999998,38.51999999999998,68.39999999999996,93.59999999999995,93.59999999999995,93.59999999999995,93.59999999999995,93.59999999999995
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7199999999999996,0.7199999999999996,100.79999999999994,107.99999999999994,115.19999999999993,118.79999999999993,125.99999999999993,136.79999999999993,133.19999999999993,201.59999999999988,237.59999999999985,284.39999999999986,338.3999999999998,338.3999999999998
Africa,AFRC,0,0,0,0.1799999999999999,0.1799999999999999,0.1799999999999999,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.7199999999999996,0.7199999999999996,4.319999999999998,4.319999999999998,4.319999999999998,15.119999999999992,22.319999999999986,101.87999999999994,105.47999999999995,109.07999999999994,127.43999999999993,149.39999999999992,182.5199999999999,211.6799999999999,299.8799999999998,1439.6399999999992,1344.5999999999992,1684.079999999999,1716.119999999999,6317.279999999996,11428.199999999993,17336.51999999999,23322.239999999987,32029.199999999983,49201.199999999975,55855.079999999965,65590.19999999997,71375.33413439996,74967.59634839995
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.99999999999998,39.59999999999998,50.39999999999997,53.99999999999997,61.19999999999997,64.79999999999997,65.87999999999997,64.79999999999997,64.79999999999997,64.79999999999997,65.87999999999997,64.79999999999997,1393.1999999999991,1393.1999999999991
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.799999999999999,2.8799999999999986,3.239999999999998,3.599999999999998,3.599999999999998,3.599999999999998,7.199999999999996,3.599999999999998,3.599999999999998,79.19999999999996,116.27999999999993,147.5999999999999,579.5999999999997,1069.1999999999994
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.599999999999987,64.79999999999997,79.19999999999996,82.79999999999995,305.99999999999983,1065.5999999999995,1076.3999999999994,1137.5999999999995,2681.9999999999986,4312.799999999997,13161.599999999993,18665.99999999999,22507.199999999986,27874.799999999985,28799.999999999985
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,0.3599999999999998,7.199999999999996,28.799999999999983,53.99999999999997,57.599999999999966,53.63999999999997,50.03999999999997,58.679999999999964,386.9999999999998,2850.479999999998,4792.319999999997,7851.599999999996,10471.845959999993,11664.860039999994
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.599999999999998,10.799999999999994,68.39999999999996,219.59999999999988,493.1999999999997,1058.3999999999994,1886.399999999999,2779.1999999999985
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.239999999999998,7.199999999999996,7.199999999999996,7.199999999999996,10.799999999999994,17.99999999999999,17.99999999999999,17.99999999999999,17.99999999999999,17.99999999999999,18.16973999999999,17.99999999999999
Asia & Oceania,ASOC,0,0,0,0,0,0,3.599999999999998,3.599999999999998,3.599999999999998,3.599999999999998,255.59999999999985,255.59999999999985,368.9999999999998,392.75999999999976,432.35999999999973,500.7599999999997,601.5599999999997,742.1039999999996,933.2999999999995,1253.8799999999992,1540.0799999999992,2060.9999999999986,2863.7999999999984,3844.0799999999977,4957.919999999997,6166.7999999999965,7443.359999999996,8751.239999999994,10693.439999999993,14933.519999999991,21338.99999999999,44518.31999999998,74333.87999999996,140150.51999999993,235059.47999999986,333887.75999999983,515705.39999999973,776835.3599999995,1099095.8399999994,1399661.279999999,1721230.199999999,2106381.289103999,2645127.9242603984,3378559.003401598
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7199999999999996,1.799999999999999,1.799999999999999,2.159999999999999,2.159999999999999,19.43999999999999,17.99999999999999,21.959999999999987,35.99999999999998,46.799999999999976,57.599999999999966,70.19999999999996,82.79999999999995,82.79999999999995
Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,37.439999999999976,39.59999999999998,46.799999999999976,57.599999999999966,68.39999999999996,82.79999999999995,100.79999999999994,122.39999999999993,136.79999999999993,158.39999999999992,179.9999999999999,212.3999999999999,248.39999999999986,284.39999999999986,327.5999999999998,392.3999999999998,457.19999999999976,575.9999999999997,1400.3999999999992,5011.199999999997,8369.999999999995,12513.599999999993,14435.999999999993,18082.79999999999,25440.839999999986,31262.039999999983,44195.75999999997,67068.35999999996,88551.71999999994,118821.95999999993,136055.03075999994,163333.82231999992
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,3.599999999999998,3.599999999999998,3.599999999999998,3.599999999999998,7.199999999999996,7.199999999999996,7.199999999999996,10.799999999999994,17.99999999999999,32.399999999999984,53.99999999999997,64.79999999999997,75.59999999999995,79.19999999999996,86.39999999999995,107.99999999999994,176.3999999999999,303.8399999999998,595.0799999999997,1159.9199999999994,2152.799999999999,2688.4799999999987,3200.7599999999984,3752.279999999998,4361.399999999998,4991.399999999997,5869.079999999996,7054.027559999996,9639.618839999994,13242.398759999993,13242.398039999993
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.599999999999998,10.799999999999994,17.99999999999999,125.99999999999993,133.19999999999993,140.39999999999992,158.39999999999992,169.1999999999999,197.9999999999999,219.59999999999988,243.60000119999987
Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.239999999999998,3.599999999999998,7.199999999999996,10.799999999999994,14.399999999999991,17.99999999999999,21.599999999999987,28.799999999999983,10.799999999999994,10.799999999999994,10.799999999999994,7.199999999999996,7.199999999999996,7.199999999999996
Belgium,BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.599999999999998,3.599999999999998,7.199999999999996,21.599999999999987,151.1999999999999,597.5999999999997,2015.9999999999989,4208.399999999998,7671.599999999996,9446.399999999994,10314.719999999994,10923.119999999994,11062.079999999994,11822.759999999993,13952.159999999993,15202.439999999991,18272.87999999999,20080.79999999999,24572.159999999985,26190.183959999984
Benin,BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.99999999999999,17.99999999999999,17.99999999999999,17.99999999999999,28.799999999999983,25.199999999999985,61.19999999999997,65.02697999999997,118.79999999999993
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.599999999999987,32.399999999999984,32.399999999999984,35.99999999999998,39.59999999999998,46.799999999999976,57.599999999999966,104.39999999999993,305.99999999999983,327.5999999999998,323.99999999999983,334.7999999999998,334.7999999999998,334.7999999999998
Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07199999999999995,0.1799999999999999,0.3599999999999998,1.799999999999999,3.599999999999998,7.199999999999996,10.799999999999994,14.399999999999991,17.99999999999999,35.99999999999998,71.99999999999996,71.99999999999996,107.99999999999994,251.99999999999986,222.47999999999988,323.99999999999983,464.39999999999975,590.3999999999996,712.7999999999996,791.9999999999995,910.7999999999995,1133.9999999999993,1346.3999999999992,1652.3999999999992,2206.799999999999,3117.599999999998,3841.199999999998
Bulgaria,BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.799999999999994,53.99999999999997,359.9999999999998,2930.3999999999983,4899.599999999998,4507.199999999997,4978.799999999997,4989.599999999998,5050.079999999997,4834.079999999997,5192.999999999997,5331.239999999997,5279.759999999997,7212.801599999996,12347.007839999993
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8799999999999986,2.8799999999999986,29.879999999999985,29.879999999999985,29.879999999999985,29.879999999999985,39.59999999999998,64.79999999999997,64.79999999999997,140.39999999999992,298.79999999999984,323.99999999999983
The Bahamas,BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.799999999999999,2.159999999999999,3.239999999999998,7.199999999999996,7.199999999999996,7.199999999999996,7.199999999999996,7.559999999999996,14.399999999999991,17.99999999999999,21.599999999999987,35.99999999999998,64.79999999999997,64.79999999999997
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.199999999999996,28.799999999999983,32.399999999999984,86.39999999999995,75.59999999999995,75.59999999999995,107.99999999999994,161.99999999999991,259.1999999999999,421.19999999999976,583.1999999999997
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.199999999999996,28.799999999999983,100.79999999999994,320.3999999999998,637.1999999999996,651.5999999999997,633.5999999999997,633.5999999999997,752.3999999999995,822.7500227999996
