Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
Africa,AFRC,,,,,,,,,,,,,,,,,,,,,0.1361,0.1361,0.1393,0.1482,0.2258,0.2306,0.2945,0.4558,0.561,0.733,0.8608,0.9837,1.1066,1.732,2.3793,3.3052,3.8146,4.5615,5.455,5.5122,6.4981,6.893153,7.728653,8.640017
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009,0.0017,0.0017,0,0,0,0,0,0,0,0.099
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0141,0.0248,0.0258,0.0257,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0596,0.137,0.19,0.2152,0.1871,0.1874,0.2267,0.7503,1.6094,2.6239,3.292124,3.309315,3.706
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0029,0.0029,0.0029,0.0029,0.0029,0.002925,0.002925,0.002925
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4517,2.2567,2.5234,3.819,5.9524,7.8106,11.5233,15.6045,22.7982,33.5748,48.5383,68.8278,86.0428,103.4334,128.8148,166.6539,189.1536,210.4563,235.155,264.4081,342.514,395.637825,438.407014,521.205891
Antarctica,ATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.0006,0.0006,0.0006,0.0006,0.001,0.001,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0,0,0,0,0,0,0
