Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,--,--,--,--,--,--,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.209261228231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,AFRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1128,1229.3558825242717,1314.6134029126213,1303.477,1168.58,1362.45,1474.40125,1760.8059,1900.30015,2183.1733,2444.15115,2400.0074,2377.05265,2580.46705,2742.91605,3289.59225,3779.05815,3883.5234515,4022.73165,3680.173153,3990.7686065,3464.5064961,3571.0507,3161.6793637,3074.3355492,3040.973453,3261.0312771,3604.79285672,3535.58135743,3386.35015984,3300.59575608,3700.42452278,3391.9189394,3373.07142003,3152.22657486
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.257855,17.6575,0,32.136377,174.32912,187.33351,193.3085,219.657434,168.097972,148.32174,164.919649,163.8200552
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,126,120.7773,139.228,150.09,248.26,252.50225,275.81015,251.79595,265.5688,245.43925,250.0302,252.50225,251.08965,264.1562,252.1491,250.7365,269.1003,266.62825,247.55815,270.15975,450.97255,268.394,261.331,284.85079,273.903233,272.843792,264.8273551,265.1082113,271.4346713,240.9276383,267.4136633,247.9905783,251.4587203,286.0831049
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,23.66105,43.7906,120.42415,148.323,209.0648,206.2396,228.1349,274.39755,244.73295,216.8341,91.46585,33.54925,31.0772,14.8323,7.063,3.5315,3.072405,2.47205,2.8252,2.7545706,2.7192559,9.524857024,24.4111134,48.01216614,30.94255742,87.59673711,82.76611439,87.69691007
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1692.500911228231,1816.1664,1969.09986,2060.5596,2244.94612,2350.81911,2622.385955,2747.8919335,2771.6448025,2914.780029,2881.704,2903.8429735,3006.08343,3288.03839,3443.459705,3585.214115,3740.162209,4048.900065,3989.60618,3988.26421,4413.95122,4425.88769,4213.36202,4451.702955,4637.853735763192,5049.476723595452,5917.158286620338,6586.982485178674,6902.368269436491,7234.561742255,7287.130178806,7325.60030393,7260.39550326,6995.35560415,6995.018296012
