Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,--,--,--,--,--,--,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,AFRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,22.95475,24.7205,39.906,56.5,45.91,38.8465,32.13665,36.7276,38.8465,42.378,55.7977,59.68235,49.441,84.40285,151.3695564469914,110.05079751671438,150.9430682425979,164.5679,151.1482,173.39665,220.71875,249.39453,272.170857,297.01479464,428.08272421,601.635795903,586.749434453,446.949821742,358.065004852,461.032833849,472.006183527,533.948795238,649.853486859,855.654621649
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4,17.66,17.6575,17.6575,15.89175,15.89175,0,7.063,7.063,7.063,49.441,49.441,49.441,227.78175,591.52625,591.52625,597.17665,998.531625,657.5653,688.28935,711.2441,769.9724461,753.1273342,743.3507428,669.718088,687.7298615,701.6313155,702.3376095,683.3931598,692.0442753,770.8748553
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.52,76.99,77.69,73.102,69.92,69.92,72.0426,64.62645,76.2804,42.378,0,0,0,0,28.252,61.4481,63.567,59.3292,45.9095,93.9379,127.48715,267.33455,314.65665,395.528,411.34912,376.81105,347.499849,412.0903633,347.1383177,242.4471641,257.0185464,291.8971541,218.618406,184.9182679,103.8528796
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,65.6859,49.44,56.5,56.5,63.57,45.9095,49.441,45.55635,49.79415,49.441,38.49335,46.6158,46.96895,60.0355,60.0355,72.53701,68.15795,54.73825,64.2733,73.10205,86.52175,85.10915,88.2875,72.39575,78.2573752,83.1308038,86.1077547,88.21622626,89.85467123,95.96712138,97.07561104,93.77257118,94.00801884
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1903.2841957354347,2099.393432504489,2219.4351432664757,2339.090594092646,2548.2602410888253,2675.7564962034385,2982.316435,3237.5697235,3272.4821325,3526.788979,3754.97332,3977.8780685,4148.24116,4562.945205,4920.756785,5147.09062,5729.350214,6438.27765,6627.601365,6569.50819,7626.2570405558,9065.1677992968,9737.793415,10351.4046417537,10768.344804639,10680.4700318328,11265.1058234721,12505.9826337301,13991.097646988,14153.087908653,14621.97518493,15786.903210305,14625.535165397,14988.368221279,16220.28140503
Antarctica,ATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.295475,0.77693,0,45.732925,205.003575,193.632145,228.20553,199.282545,230.46569,205.215465,230.147855,222.5664556,253.5906229,244.3806713,218.8588257,220.9453156,194.8427226,236.8852051,214.2169203,103.3114368,18.40012774,0
Austria,AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,181,180.84811,190,176.01,224.74,232.09018,212.772875,219.765245,216.33969,219.58867,222.34324,231.419195,284.28575,296.893205,347.99401,381.68452,353.609095,359.93048,378.965265,438.435725,472.550015,500.48418,366.534385,357.3878,405.380885,509.7323798,494.5823735,275.2346457,399.8896319,228.2117844,167.9094974,430.488665,251.3565444,189.2413773
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,247.21,144.79,105.95,84.76,91.82,113.008,0,0,0,35.315,138.08165,143.73205,174.10295,161.0364,158.2112,0,0,8.82875,8.82875,8.82875,19.42325,15.89175,10.5945,7.063,17.5867806,64.95785918,57.69009392,35.26591819,4.843129112,18.36558541,35.84799923,76.99243367,19.13971218
Burundi,BDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340.15,358.52,378.26,391.93,404.71,431.27,491.72606,466.8643,514.61018,557.941685,549.64266,543.674425,565.145945,589.583925,602.68579,613.386235,622.17967,616.74116,641.850125,745.07587,837.777745,771.2796,668.23043,676.458825,597.777005,664.381095,646.9003185,639.307658,707.3100736,827.7201809,776.7189327,763.0592068,865.3270465,816.0842288,679.9601862
Benin,BEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386617,1.05441,1.124704,0.070294,1.411819843,0.673275932,1.968513176,5.821451722,6.46198975,5.589151625,5.4031491,5.4031491
Burkina Faso,BFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.53241308,172.9129046,200.8357092,220.0089657,209.1896452,240.2421651,243.840852
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.142,180.278261616162,194.2325,169.512,165.98,206.59,217.19,180.1065,133.84385,118.30525,113.008,102.4135,114.032310144928,110.820132394366,105.857352964824,106.875199211045,113.097609636185,107.71075,109.4765,72.7489,87.93435,99.23515,87.6152589494163,95.244555,94.6442,108.043668093385,109.2636818,115.4437543,110.0151328,104.1842145,103.8285995,116.7674572,103.3019935,90.27931889,95.24659002
Bahrain,BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895113432,0,0,0,0
The Bahamas,BHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.137,0.156,0.257,0.486,0.489,0.499,0.496
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,16.87,14.1596733870968,8.76,54.74,4.9441,4.9441,7.063,7.063,10.5945,10.5945,5.6504,5.6504,10.5945,14.126,14.126,11.3008,10.94765,7.41615,8.12245,9.1819,8.4756,8.4756,5.968235,7.063,7.3808323,8.0164969,8.003539623,7.557756955,6.926621911,8.349090182,8.134275018,7.338038647,7.368153537
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,634.96,575.63,487.35,441.44,483.82,526.1935,537.14115,600.355,685.111,628.607,591.52625,628.607,572.8093,710.89095,734.552,727.489,745.1465,621.544,762.804,742.3213,731.37365,715.83505,708.06575,610.9495,605.652295,618.8599928,661.6926293,659.4468452,613.7024968,626.3912195,602.4308887,549.4086085,526.5165831
Belize,BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,13.06655,75.92725,162.449,185.7569,187.8758,266.9814,312.1846,334.0799,353.8563,389.52445,298.0586,444.969,370.1012,484.87495,592.23255,603.6917246,663.1499123,462.2143706,369.2847265,376.2192592,341.9725957,273.2290919,586.2709724,311.7539431,224.4560979,291.8905421
Barbados,BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099577,0.242361368,0.190030786,0.212748219,0.241,0.297,0.385424575,0.482512057,0.615125652
Brunei,BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,11.27,58.59,28.71,36.66,23.8,43.01367,44.85005,27.96948,28.39326,57.457505,138.08165,233.079,341.8492,383.556215,336.34006,340.895695,478.553565,563.34488,735.2583,800.555735,1106.34832,1105.818595,942.875185,773.11598,693.09219,782.90857456273,931.42815736249,856.9287637,990.9369871,934.2999575,960.4765518,969.8932906,1036.752909,1012.121456
Switzerland,CHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.28,78.89,82.954935,87.02,85.88608,94.679515,102.48413,98.95263,101.883775,105.556535,104.920865,109.229295,107.21634,113.325835,116.927965,120.035685,116.716075,113.64367,121.095135,116.221665,129.81794,115.162215,126.251125,132.92566,115.162215,123.03746,129.2528472,129.8178824,123.1713738,126.3522828,123.6260167,134.4039925,110.7285939,102.5600566,103.9632509
Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,23.66105,43.7906,119.71785,143.73205,181.5191,184.944655,215.20961,240.35389,221.742885,202.77873,98.281645,27.5457,51.595215,126.321755,139.741455,138.328855,136.95157,122.437105,131.619005,153.5847484,157.0102743,154.9085891,165.5932771,163.3513486,182.3113873,203.8623668,201.5238959,196.4150562
China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.77232,138.4348,158.9175,263.52053,576.69395,1107.69029,1510.42255,1870.9887,2129.4945,2202.59655,2608.827474,3330.328185,4327.861059,4658.70394,4960.605412,5835.983888,4982.24061,5622.664784,6307.018236
Ivory Coast,CIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413700668576886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Kinshasa,COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,COG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,COK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4697023739342,1.7440507239184,11.42794114,7.330045976,14.2369717,2.247,5.703,33.85701687,81.22822981
Comoros,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central & South America,CSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.52,76.99,77.69,73.102,69.92,69.92,72.0426,88.2875,120.071,175.8687,233.43215,367.62915,393.656305,441.93191,568.43024,631.043735,638.91898,561.128195,563.50825,555.070715,808.819895,913.846255,1098.190555,1285.598299,1300.8701401755245,1285.7615921140984,1067.8844779786593,1042.1083089122944,1015.445153289,925.461530593,854.888462614,1256.294212442,930.770084056,884.207796518,922.156378567
Former Czechoslovakia,CSK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532,484,402,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cuba,CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,CYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,246.993,250.74,279.13,328.323555,330.83092,329.948045,323.4854,325.215835,336.234115,343.75621,336.375375,311.372355,330.513085,346.22826,304.69782,338.070495,306.18105,300.53065,329.171115,263.838365,299.04742,255.998435,263.94431,286.8635503,313.9146105,282.9497872,336.5560619,268.0496051,307.9174293,304.1427117,240.4463995,202.0877136
East,DDR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,2190,2245.57,2399.48,2516.794105,2726.14,2809.484825,2704.91711,2622.032805,2710.814715,2675.711605,2780.27932,2872.557415,2965.25929,3193.217615,3324.660045,3285.84886,3058.279,3205.154085,3095.606955,3320.52819,3165.813175,3121.881315,3452.994755,3174.67724,3620.387855,3438.940926,4191.689401,3119.997803,3347.396748,2935.413657,3073.555264,3107.261062,2648.207042,2622.367559
West,DEUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1859.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Djibouti,DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
