Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,--,--,--,--,--,--,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,AFRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1893075572,0.65000613449135,0.7000066063753,1.1300120804196,1.5999018329,1.300026427406,1.1000103814469,0.91000858828789,1.04000981518616,1.1000103814469,1.2000113252148,1.58001491153282,1.69001594967751,1.4000132127506,2.39002255605281,4.286308509819497,3.1162915514884624,4.274231708758976,4.66004397958414,4.28004039326612,4.91004633900389,6.25005898549375,7.062066648889098,7.707020406659536,8.410522377751382,12.121952833564675,17.03642854165416,16.614893728042357,12.656209540165559,10.13927181522234,13.05499603366542,13.365726693185506,15.119746127009256,18.40180149986142,24.229440663815772
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.1132673864,0.500075510956,0.5000047188395,0.5000047188395,0.45000424695555,0.45000424695555,0,0.2000018875358,0.2000018875358,0.2000018875358,1.4000132127506,1.4000132127506,1.4000132127506,6.45006087302955,16.75015808112325,16.75015808112325,16.91015959115189,28.275266850373725,18.62017572958298,19.49018394036371,20.14019007485506,21.803191642440467,21.326191192808334,21.049348953863653,18.964304363141302,19.474340990334746,19.867986330769703,19.887986349622203,19.351539273545885,19.596511584078268,21.828745025327297
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.449973567832,2.180114019734,2.199935812354,2.0700181201532,1.979913914272,1.979913914272,2.04001925286516,1.83001727095257,2.16002038538664,1.2000113252148,0,0,0,0,0.8000075501432,1.74001642156146,1.8000169878222,1.68001585530072,1.3000122689827,2.66002510422614,3.61003407002119,7.57007144323003,8.91008408971989,11.2001057020048,11.648109930084992,10.67010070003493,9.840099917656163,11.66909960290437,9.829862491292964,6.865339154424727,7.277954751763782,8.265606935626261,6.190583866638519,5.236302225662004,2.9407860606014693
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,1.86001755408294,1.399984895904,1.5999018329,1.5999018329,1.800101938362,1.3000122689827,1.4000132127506,1.29001217460591,1.41001330712739,1.4000132127506,1.09001028707011,1.32001245773628,1.33001255211307,1.7000160440543,1.7000160440543,2.054019384992666,1.93001821472047,1.55001462840245,1.82001717657578,2.07001953599553,2.45002312231355,2.41002274480639,2.5000235941975,2.05001934724195,2.2160020888570444,2.3540022189392973,2.438300080910329,2.4980053466353116,2.5444009415133433,2.7174862547610403,2.7488751864209466,2.655343513391641,2.6620106486621897
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.895006606844674,59.44820178127707,62.84740449052581,66.23566953642431,72.15869434379128,75.76898624194625,84.44979700255386,91.67776521715392,92.66637454724338,99.86754250891362,106.32900348953271,112.64096305921879,117.46510858752606,129.20821941419055,139.3403150367542,145.7493755228389,162.23713112751517,182.31172058325848,187.6727711786556,186.02775565367367,215.95155074958856,256.6969659759471,275.74360235504514,293.1191373350675,304.92556796886953,302.43723150730654,318.9922735360261,354.1299918215992,396.18376583538014,400.7708192256418,414.04822830066945,447.0353164952542,414.1490357214525,424.4233237062723,459.307220355067
Antarctica,ATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065000613449135,0.022000207628938,0,1.295012221794305,5.805054785726595,5.483051746793957,6.462060986281698,5.643053256822597,6.526061590293154,5.811054842352669,6.517061505354043,6.302380181530911,7.180886767857747,6.920089981207123,6.197391794403037,6.256474608833787,5.517331486990553,6.707842014626237,6.065947671259526,2.925454107891195,0.5210335946339847,0
Austria,AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2102997744,5.1253492346,5.121048188769926,5.380200854,4.984048170066,6.363928104884,6.572062024426388,6.025056862015975,6.223058730676417,6.126057815221554,6.218058683488022,6.296059419626984,6.553061845110487,8.05007597331595,8.407079342567354,9.854092998888866,10.808102002434632,10.013094499479827,10.192096188824369,10.73110127573335,12.415117168784786,13.381126285582699,14.172133750786788,10.37909795367034,10.12009550931148,11.47910833511724,14.434013605849538,14.005013201463406,7.79377724129225,11.323613363442767,6.462238091167073,4.754667480558899,12.19008148984379,7.117624709680889,5.358719051376823
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,7.000207647986,4.099996219214,3.00016989727,2.400135917816,2.600052854812,3.2000302005728,0,0,0,1.000009437679,3.91003690132489,4.07003841135353,4.93004652775747,4.56004303581624,4.48004228080192,0,0,0.25000235941975,0.25000235941975,0.25000235941975,0.55000519072345,0.45000424695555,0.3000028313037,0.2000018875358,0.49800216843805595,1.8394017338644617,1.6336015398722328,0.9986195955943796,0.1371421441284982,0.5200554647741681,1.0151022951128281,2.180182933594065,0.5419762937692116
Burundi,BDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.63197537099,10.152155843032,10.711130394916,11.098221687938,11.460110987486,12.212206433182,13.924131410242396,13.22012476611638,14.572137525858388,15.799149105890521,15.564146888035957,15.395145293068206,16.003151031177037,16.695157562050905,17.066161063429814,17.36916392304655,17.61816627302862,17.464164819626056,18.175171529815824,21.09819911615154,23.723223890058918,21.84020611890936,18.922178579762036,19.155180778741244,16.927159751592434,18.813177551055027,18.31817708445564,18.103176881791263,20.02879085276591,23.43842539026955,21.994230868581624,21.60743050567328,24.503333234571567,23.108931919608903,19.254328286732836
Benin,BEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109477742819522,0.029857566223506,0.0318480706384064,0.0019905044149004,0.039978285921067086,0.01906505128591603,0.0557420856348708,0.16484515540117983,0.18298317248152235,0.15826714918926574,0.15300014422162805,0.15300014422162805
Burkina Faso,BFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0061658905141935,4.896348194718635,5.687033969218609,6.229960132351562,5.923591093436826,6.802900535988574,6.904804000897303
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8000641762172,5.104911879499528,5.5000519072345,4.8000453008592,4.700030198668,5.849977339094,6.150135913054,5.1000481321629,3.79003576880341,3.35003161622465,3.2000302005728,2.9000273692691,3.22903543381755,3.138076689202953,2.9975464253869766,3.026368621403602,3.2025676628945323,3.05002878492095,3.1000292568049,2.06001944161874,2.49002349982071,2.81002651987799,2.4809878474898985,2.697025453420263,2.68002529297972,3.0594559755016975,3.094002916481812,3.2690030814411903,3.1152816391762284,2.9501684201379956,2.9400985247343367,3.3064861734044655,2.925186703413697,2.5564256241606125,2.697083078769431
Bahrain,BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08198048294354353,0,0,0,0
The Bahamas,BHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66336932e-05,0.0038794079842,0.0044174280696,0.0072774295762,0.0137619874476,0.0138469379874,0.0141301064534,0.0140451559136
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,0.477705202142,0.4009572992085225,0.248055576216,1.550064182884,0.14000132127506,0.14000132127506,0.2000018875358,0.2000018875358,0.3000028313037,0.3000028313037,0.16000151002864,0.16000151002864,0.3000028313037,0.4000037750716,0.4000037750716,0.32000302005728,0.31000292568049,0.21000198191259,0.23000217066617,0.26000245379654,0.24000226504296,0.24000226504296,0.169001594967751,0.2000018875358,0.20900189601942518,0.22700191298667555,0.22663500376151283,0.2140118443348181,0.19614009010998584,0.2364199059332601,0.23033701788691824,0.20779011471197056,0.20864287343247642
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,17.980064917136,16.300026408358,13.80021519051,12.500188763104,13.700256722012,14.9001406214171,15.21014354709759,17.000160440543,19.4001830909726,17.8001679906862,16.75015808112325,17.8001679906862,16.22015307915338,20.13018998047827,20.8001963037232,20.6001944161874,21.1001991350269,17.6001661031504,21.6002038538664,21.02019838001258,20.71019545433209,20.27019130175333,20.05018922546395,17.3001632718467,17.150163130452945,17.524163482994705,18.737048680238765,18.673455156382346,17.37811945992259,17.73742407416843,17.058943062419573,15.557519287613957,14.909289315998853
Belize,BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.37000349194123,2.15002029100985,4.6000434133234,5.26004964219154,5.32005020845228,7.56007134885324,8.84008342908236,9.46008928044334,10.02009456554358,11.03010409759937,8.44007965401076,12.6001189147554,10.48009890687592,13.73012957933267,16.77015826987683,17.094645959187645,18.778314339402552,13.08845342859575,10.456978952023455,10.653343050732039,9.68358553384072,7.736986281989602,16.601345191483635,8.827888583707828,6.355888892668882,8.265419704636543
Barbados,BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028197066338882,0.006862909679422149,0.005381072616439428,0.006024358681846205,0.0068243600306,0.0084101034402,0.010914008566145194,0.013663219900719456,0.017418418727408982
Brunei,BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63996073316,0.319130861182,1.659084042294,0.812976665886,1.038095596356,0.67394094908,1.218011495093022,1.27001198585233,0.792007474641768,0.804007587893916,1.627015355103733,3.91003690132489,6.6000622886814,9.68009135673272,10.861102502631619,9.524089884454796,9.653091101915386,13.551127889988129,15.952150549855409,20.82019649247678,22.66921394274525,31.32829566360771,31.313295522042527,26.699251976591622,21.89220660966867,19.626185223888054,22.169502007717487,26.37510825095429,24.265520348820548,28.060210653976878,26.45642857491402,27.197667180217554,27.464319528289423,29.35757308625676,28.66008801012065
Switzerland,CHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.990107979048,2.233916028274,2.349022169107971,2.464131991132,2.432022952435328,2.681025302417399,2.902027388144458,2.802026444376558,2.885027227703915,2.989028209222531,2.971028039344309,3.093029190741147,3.036028652793444,3.209030285511911,3.311031248155169,3.399032078670921,3.305031191529095,3.218030370451022,3.429032361801291,3.291031059401589,3.676034692908004,3.261030776271219,3.575033739702425,3.764035523423756,3.261030776271219,3.484032880873636,3.6600330467756397,3.67603306185764,3.487824897405859,3.5778982096074183,3.500698950662938,3.8058972380500506,3.1354846076999956,2.9041773900295174,2.943911427772612
Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.67000632324493,1.24001170272196,3.39003199373181,4.07003841135353,5.14004850967006,5.237049425124923,6.094057513215826,6.806064232843274,6.279059259186441,5.742054191152818,2.783026265060657,0.78000736138962,1.461013788449019,3.577033758577783,3.957037344895803,3.917036967388643,3.878036599319162,3.467032720433093,3.727035174229633,4.349035760542395,4.4460358519770224,4.386522754567132,4.689079425631993,4.625595080209325,5.162483587607288,5.772739368188533,5.706521246434669,5.5618550163457785
China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.928008758166112,3.92003699570168,4.5000424695555,7.462070423960698,16.33015411729807,31.366296022239514,42.77040364953083,52.98050000823342,60.3005690920437,62.37058862803923,73.8737673871235,94.30439234230143,122.55137771381655,131.9198048237956,140.4687024947338,165.2566605165676,141.08134307766042,159.21613617175012,178.5948678922146
Ivory Coast,CIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01171469837040912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Kinshasa,COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,COG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,COK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06993418327035059,0.049386016811816286,0.32360325621520913,0.20756378747333928,0.4031461436774412,0.0636279543102,0.1614909761598,0.9587239530414021,2.3001273231193173
Comoros,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
