Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,--,--,--,--,--,--,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,AFRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54770.05942120944,29934.119559500177,32236.74414100019,48123.7962708692,68134.9794342733,55364.19302349534,46846.114665371635,38754.5130413529,44290.872047260455,46846.114665371635,51104.8523622236,67288.05561026107,71972.66707679824,59622.32775592754,97885.0180711348,173647.7998472882,126216.8560116893,171209.39152940933,183897.7336074935,168883.72711297494,193460.3322942569,246060.02766958374,278672.3455287315,303836.1572375934,330942.8550112177,475213.36565558607,669252.1321618018,653760.193434526,499467.84375973017,401584.31817963585,514754.2056552935,526748.3197756126,594757.0363987747,723705.928495478,950940.7466691287
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4418.57391077256,19508.003816060853,19505.24220736662,19505.24220736662,17554.71798662996,17554.71798662996,0,7802.096882946647,7802.096882946647,7802.096882946647,54614.678180626535,54614.678180626535,54614.678180626535,251617.62447502938,653425.6139467817,653425.6139467817,659667.291453139,1103021.4468265823,726375.2198023329,760314.3412431509,785671.1561127275,850545.0405877978,831937.1975964517,821137.5496723709,739799.7178023204,759696.3059207816,775052.4564123327,775832.6594727666,754905.7966731758,764462.1949850208,851541.881024788
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93656.80161026814,84884.04384740842,85655.81720359995,80597.39412044747,77089.13294987397,77089.13294987397,79429.37027251988,71252.81745034872,84101.68617090341,46723.15898383522,0,0,0,0,31148.772655890152,67748.58052656108,70084.73847575283,65412.42257736932,50616.75556582149,103569.66908083475,140558.8366097043,294745.26125636057,346919.45545497653,436082.81718246214,453526.1298697606,415446.75529793487,383130.178198257,454343.3753403256,382731.577877158,267306.08790939377,283371.52308370924,321826.3518321618,241034.08703408932,203878.56034043923,114501.26491292412
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,72559.50101140383,54613.57353714884,62412.35648966241,62412.35648966241,70222.1858769529,50713.62973915321,54614.678180626535,50323.52489500588,55004.78302477387,54614.678180626535,42521.42801205923,51493.83942744788,51883.94427159521,66317.8235050465,66317.8235050465,80127.53498786208,75290.23492043515,60466.25084283652,70999.0816348145,80751.7027384978,95575.68681609644,94015.26743950711,97526.21103683309,79971.49305020313,86446.49909606489,91829.90021305809,95118.36960815582,97447.47896481131,99257.37651448093,106009.4547054029,107233.94057841218,103585.25914050272,103845.34486245982
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2127439.3573028482,2342378.3237277805,2477895.2786204503,2614000.9966384536,2849937.0586037375,2994846.48809853,3356192.3962488114,3648569.3559600827,3685971.8483272614,3974170.41629067,4233754.331920584,4474158.409417282,4707307.594976887,5173352.811525603,5582383.739360968,5832431.517857157,6512144.877671795,7300142.0497529525,7512828.365820298,7444142.117814481,8615909.966870224,10224390.441046463,10965257.687235326,11726505.30701373,12160478.480556767,11971483.48111618,12784566.058946501,14137617.16272834,15820071.836236484,15987571.363948837,16532104.716397103,17850947.582843937,16547960.393672597,16954070.58215586,18353168.616078056
Antarctica,ATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2530.8377782910748,859.0503616677073,0,50229.07257600746,225158.1206978558,212668.72967895668,250641.1328078457,218939.23878474583,253289.56544195444,225544.5273954095,252849.01987598592,269495.3333335959,242584.46738225123,240146.30526457258,235897.81880067862,238146.7498857532,210011.97060944338,255327.620490113,230894.5233866747,111354.62561464416,19832.647761117274,0
Austria,AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208495.91737135392,202423.0158836732,202253.14830421147,213089.6305536614,197399.5045986839,252051.38721384137,260294.79321754092,238629.9648715283,246472.07823992043,241488.9825416293,232373.34638689944,235288.29026245076,244892.65662163912,300837.15638702805,317624.2583278965,373761.87303189246,409544.3609540232,379419.66008814157,386202.4543711514,412224.2359220554,474046.9391493119,510932.1057395846,541135.1769330688,396658.4033675425,386739.8573956362,438686.0657770587,551610.8444374172,535216.1477307854,297847.30448668444,432743.66368618637,246961.1507765077,181704.56365008393,465856.6444504893,272007.43214656867,204789.02277291552
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,273078.91412052116,159941.32913518974,117036.97646158819,93629.58116927055,101428.36412178412,124833.55012714636,0,0,0,39010.48441473324,149908.6847081123,156952.92748122543,191035.86981014351,176698.4921570496,173598.51861043466,0,0,9752.62110368331,9752.62110368331,9752.62110368331,21455.76642810328,17554.71798662996,11703.145324419971,7802.096882946647,19427.122483410247,71755.27546809646,63726.985976232674,38956.26651344336,5349.930985196569,20287.42413717279,39599.258537768204,85049.1896852872,21142.55822456095
Burundi,BDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382204.26940615807,400954.1417382017,423030.55242076365,439559.04685735004,453892.12832301215,483679.8156256713,552520.3572255436,524584.8263804716,578233.7435715757,626922.5167916089,617597.4461259954,610891.3314771074,635017.4717523968,662476.828776246,677198.5360823848,689221.925068261,699102.5318586344,692991.6344862749,721204.9333937269,837192.9400132517,903594.9832944833,823420.9050699519,707937.0073368972,711808.3253468479,628354.7283493327,709690.7289547981,691017.7939324965,682907.3272056358,755547.389153592,884169.2561308007,829689.8115995525,815098.5161755101,924340.8444890893,871739.7523564164,726332.2870505776
Benin,BEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1549.1307397302876,738.7574609841765,2159.9670011903195,6387.634978442512,7090.470509520269,6132.741818462307,5928.6490437548255,5928.6490437548255
Burkina Faso,BFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38988.22759287606,189730.08287142386,220368.6060228103,241406.61676628416,229535.02985479173,263607.65842824953,267556.34673086513
Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238921.51887395934,188301.59866810832,202876.87453507402,177056.18141242824,173366.98871368892,215566.3847182454,227543.54756612403,188882.2824183846,140365.46085601524,124444.19046894774,118872.06253750232,107727.80667461148,116219.90069517499,116219.9006951743,111126.99268945667,114337.93468952701,121352.8079783769,115913.67432114146,118275.91377853791,78596.25238186713,95373.36883102289,107630.18731533106,95027.28350193366,103301.99828805974,102650.85480608087,117183.88328255144,118507.10699683256,125209.99766407422,119322.12881005391,112997.92988609006,112612.23077582377,126645.68240961898,112041.07526871387,97916.71603087419,103304.20546549425
Bahrain,BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3176.6866252475893,0,0,0,0
The Bahamas,BHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8054792606908305,123.6753293573219,140.8273823338848,232.00408499877173,438.73146034787186,441.43967923890807,450.46707554236224,447.75885665132597
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,17656.401895829804,14819.732308018185,9168.35095479959,57291.72731343945,5174.571227811034,5174.571227811034,7392.24461115862,7392.24461115862,11088.366916737928,11088.366916737928,5913.795688926895,5913.795688926895,11088.366916737928,15142.178477695881,15142.178477695881,12113.742782156705,11735.188320214309,7949.643700790338,8706.752624675131,9842.416010502324,9085.30708661753,9085.30708661753,6397.57040682651,7571.089238847941,7911.785360366884,8593.177603404769,8579.288222056974,8101.437399381096,7424.900553863862,8949.69656394042,8719.428295994541,7865.9132712094015,7898.1945284100375
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,694705.2399542403,629792.7070600657,533206.1841560082,482976.378237054,529344.036151349,575704.5824616692,587682.3288081872,656844.1544864683,749575.0939433814,687754.4676387727,647184.6816263731,687754.4676387727,627310.9449673716,778530.7843522313,804443.1353465678,796708.1051990046,816045.6805679125,680682.6529855574,835383.2559368204,812168.4780767978,800190.7317302799,783190.0594965124,774689.7233796287,668435.5219185824,662639.8874367067,677090.3360781835,723953.2203820848,721496.1239002972,671447.5562239516,685330.1978832944,659115.369614117,601104.0682892115,576058.0653936818
Belize,BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,14337.377653093936,83311.78906527557,178248.47893035703,203823.26068993,206148.24084989118,292947.5001551085,348475.776308848,372916.38505449117,394991.7735989431,434806.31365232955,332707.6416342395,496696.242250168,413125.1284747429,541241.222705937,661079.0462329617,689067.4852803918,748197.9903101736,519923.3044063596,412213.74067166564,419954.40650198393,381726.59946361516,304991.7257610201,654424.4406496428,347995.05593522725,250548.9154908891,325822.5526035161
Barbados,BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.9970835782498,267.72290440598687,209.91626831580086,235.01093250918177,266.21907812404675,328.0791128748626,425.75674291640047,533.0037966733506,679.4945394435402
Brunei,BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24178.081940980966,12068.836650912812,62866.5896858909,30805.594638708444,40032.08972154592,25637.646207495476,46425.606234517116,48407.65182088402,30217.58829438775,30645.47406613445,61833.29446573677,148888.8977373088,251321.41306041894,369686.7491528015,414790.06018063816,364438.70259044814,371532.91008142196,519037.9602526872,610408.0411300744,799786.4683531071,873173.3432467182,1207957.134673409,1213014.8630396288,1033555.1392881675,850731.3063032855,766932.3627563299,866317.5427089751,1030660.001325062,948223.6431755243,1096508.7412963677,1033837.7553044057,1062803.1333667568,1073223.1061229687,1147205.7679568853,1119950.1463816206
Switzerland,CHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75780.61047922054,85064.49004988202,89447.57564832184,93922.61238177723,92517.51820120391,102089.80430530048,110505.26374262663,106697.3635447415,109857.92070898616,113818.13691478671,113132.71487916738,117778.35312058724,115607.85000779272,122195.517350134,126079.57555197684,129430.52772611576,125851.10154010373,122538.22836794367,130572.8977854813,125317.99551239981,140005.629654473,124199.77102917206,136158.90261554436,143357.23341116332,124199.77102917206,132693.03963987593,139396.19020968387,140005.56753421362,132837.46255930123,136267.99895063962,133327.78435521352,144951.5806369885,119418.21376709625,110608.63623072063,112121.94865502093
Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,26211.915745716175,48511.605260728444,132624.46922086243,159227.607589649,201088.4282581808,204688.16076129506,238184.0083405255,266012.53048336337,245414.73389730218,224426.08728114495,108669.87075096497,30486.302347490957,57157.625230584075,139672.4285968189,154791.36296553334,153034.70347056596,151929.80470355463,135588.69647504724,145727.05624914344,170047.27599252615,173839.97907148264,171513.01726715665,183342.98155825987,180860.74397694663,201853.0818701013,225714.0797694595,223124.95154757937,217468.50269105023
China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36132.576280832574,152628.98601386175,175211.8461893821,290540.1769478154,635824.3218383577,1221265.503905813,1665291.2581155272,2062827.4691363252,2347838.73893772,2428436.188184836,2997833.245318704,3801564.2934988746,4940246.472771759,5317903.091970055,5662523.1391111305,6661766.268556363,5687219.68300432,6418262.852724817,7199451.222980253
Ivory Coast,CIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456.9917452607485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Kinshasa,COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,COG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,COK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2719.9996744747314,1920.8052967810695,12586.130421537742,8072.925255703925,15679.848227144605,2474.727049320041,6280.98280474953,37288.32908654826,89460.47951899933
Comoros,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
