Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,AFRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.4113,114.7548,127.862,136.338,139.214,155.448,167.002,178.559,184.342,192.57,233.5639,243.4266,260.2383,265.1632,275.1715,291.4389,314.9629,331.7314,351.5484,356.5064,366.4616,377.1011,376.27578,398.600897543
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402,0.084,1.6425,1.647,1.665,1.66553,1.66553
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3179,42.6527,45.8399,48.3354,51.2743,59.4908,65.5058,77.443,79.1194,84.2622,92.4311,97.5189,104.6919,109.395,115.6978,124.612,126.804,131.418,133.863,133.995,128.851,128.852,125.965,123.800067234
Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.06,43.137,40.567,47.585,54.936,56.122,57.123,59.779,65.854,65.121,64.47,67.409,75.132,74.896,76.573,78.77,83.847,91.4217,95.3476,90.9795,87.068,89.5662,76.90866,66.0482117
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,2.692,2.79,1.579,1.521,1.613,1.828,1.476,1.489,1.854,1.154,1.438,2.39,3.399,3.173,3.289,2.801,2.581,2.872,3.376,3.047,3.166,3.3837,3.879,3.716
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,585.1188,615.5285,674.7718,730.4542,781.9591,789.4399,846.581,927.6716,954.3269,1011.8682,1140.7618,1233.1997,1255.6363,1314.8948,1330.5786,1378.3627,1411.056,1433.1546,1473.3072,1447.593,1455.2183804,1472.361934185,1457.949787987,1460.517157019
