Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Aruba,ABW,--,--,--,--,--,--,,,,,,,,,,,,,,
Africa,AFRC,13693475.674,10633908.419,10545283.721,10575880.342,11456852.018,11989655.248,11829286.751,11728001.383,12503467.474,13335906.576,14368806.303,14868902.8,15091519.595,14837251.123,14852021.906,15444963.32,15890196.914,16401899.023,16334375.443,16153960.886
Angola,AGO,337572.732,292250.484,274314.534,397756.074,468444.82,518032.447,633033.54,808172.819,1017073.888,1021294.111,1065606.459,1122579.478,1183772.72,1142625.54,1202763.726,1449646.807,1595244.521,1602629.912,1650107.428,1672263.602
Albania,ALB,107125.86,106560.646,155093.217,182524.671,133992.099,133992.099,133992.099,130826.932,107615.702,113946.037,72798.857,46422.46,26376.398,26376.398,26376.398,24266.286,23211.23,22156.174,14770.783,13715.727
United Arab Emirates,ARE,3819681.41,3285444.073,2786402.632,2560620.669,2561675.725,2658740.868,2964707.079,3435262.01,3497510.309,4145314.631,4718209.985,5318536.792,5064268.32,4812109.96,4888073.985,4976698.68,5091699.773,5162388.519,5226746.929,4834266.134
Argentina,ARG,1136272.054,1144735.652,1133130.037,1133130.037,1105698.583,1061386.235,1001248.049,987532.322,1039230.062,1061386.235,1115194.086,1119414.31,1279782.807,1370517.614,1500289.49,1650107.428,1749282.682,1924421.962,1955018.583,1850568.049
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Asia & Oceania,ASOC,10911229.179,10815378.031,10462989.36,11101298.179,12123647.346,12835810.08,13343291.968,13314805.458,13602835.72,13969995.174,14420504.042,14847801.682,14796103.942,14901609.532,15220236.415,15709782.352,16121254.153,16344926.004,16353366.451,16356531.619
Australia,AUS,830092.197,858815.503,806062.708,893632.347,1059276.124,1235470.459,1117304.198,1175332.273,1158451.378,1052945.788,1235470.459,1171112.049,1152121.043,1080377.242,1151065.987,1206983.95,1228085.068,1262901.912,1169001.937,1157396.322
Austria,AUT,65576.071,58028.075,60138.186,58028.075,53807.851,50642.683,50642.683,48532.571,53807.851,53807.851,50642.683,60138.186,53807.851,50642.683,48532.571,53807.851,48532.571,44312.348,48532.571,42202.236
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,483215.602,452618.981,416747.081,396701.018,399866.186,391425.739,521197.615,624593.093
Benin,BEN,,,,9495.503,16880.894,18991.006,18991.006,16880.894,11605.615,9495.503,9495.503,9495.503,13715.727,13715.727,13715.727,7385.391,4220.224,3165.168,2110.112,2110.112
Bangladesh,BGD,,,,445.478,893.398,1055.056,1055.056,1055.056,1055.056,1055.056,2110.112,1055.056,2110.112,2110.112,3165.168,2110.112,3165.168,3165.168,3165.168,3165.168
Bulgaria,BGR,6815.169,6330.335,6330.335,6330.335,9495.503,13715.727,13715.727,13715.727,9495.503,11605.615,9495.503,3165.168,2110.112,2110.112,2110.112,2110.112,2110.112,1055.056,2110.112,2110.112
Bahrain,BHR,108634.936,104450.534,99175.255,94955.031,92844.919,94955.031,99175.255,94955.031,98120.199,97065.143,94955.031,86514.584,84404.472,92844.919,92844.919,92844.919,79129.193,90734.807,86514.584,83349.416
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,90734.807,90734.807,90734.807,86514.584,81239.304,81239.304,81239.304,83349.416
Bolivia,BOL,58114.872,47477.516,51697.739,47477.516,45367.404,43257.292,39037.068,41147.18,41147.18,43257.292,45367.404,45367.404,45367.404,47477.516,49587.627,60138.186,64358.41,62248.298,74908.969,66468.522
Brazil,BRA,415351.157,484270.658,591886.36,771245.863,1083542.409,1284003.03,1301938.981,1288223.254,1263956.968,1356801.887,1435931.08,1433820.968,1428545.689,1463362.533,1526665.887,1581528.794,1814696.148,1913871.403,2205066.831,2576446.508
Barbados,BRB,,,2110.112,2110.112,4220.224,4220.224,4220.224,3165.168,3165.168,2110.112,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,2110.112,2110.112,3165.168,4220.224
Brunei,BRN,532221.524,368214.509,348168.447,366104.397,361884.174,346058.335,374544.845,314406.658,310186.435,298580.82,338672.944,363994.286,373489.789,372434.733,377710.012,368214.509,351333.615,361884.174,354498.782,411471.801
Canada,CAN,3219471.533,2875027.328,2843375.651,3034340.768,3226360.942,3290719.352,3298104.743,3434206.955,3625172.072,3490124.917,3474299.079,3463748.52,3600905.787,3757054.06,3906871.998,4038753.985,4121048.345,4300407.848,4432289.836,4266646.06
Chile,CHL,73654.339,90734.807,96010.087,86514.584,84404.472,80184.248,68578.634,66468.522,53807.851,48532.571,44312.348,37982.012,33761.789,31651.677,26376.398,24266.286,20046.062,16880.894,17935.95,16880.894
China,CHN,4799157.456,4554676.32,4629585.289,4799449.289,5211976.146,5670925.463,5931524.27,6089782.655,6197398.357,6241710.704,6280747.773,6417905.04,6459052.22,6542401.636,6654237.561,6769238.654,7107911.598,7245068.865,7239793.586,7233463.25
Ivory Coast,CIV,2279.06,15825.839,20046.062,52752.795,61193.242,63303.354,45367.404,41147.18,27431.453,4220.224,4220.224,4220.224,3165.168,1055.056,15825.839,17935.95,36926.957,43257.292,45367.404,33761.789
Cameroon,CMR,133215.73,199405.565,250048.248,260598.807,310186.435,424132.472,405141.466,398811.13,374544.845,389315.627,369269.565,350278.559,321792.05,291195.428,246883.081,254268.472,247938.137,283810.037,277479.702,228947.13
Congo-Kinshasa,COD,45395.848,45367.404,51697.739,56973.019,72798.857,74908.969,72798.857,72798.857,68578.634,63303.354,65413.466,63303.354,59083.13,56973.019,59083.13,67523.578,68578.634,63303.354,59083.13,49587.627
Congo-Brazzaville,COG,145076.728,184634.783,198350.509,194130.286,270094.31,266929.143,264819.031,273259.478,321792.05,365049.341,367159.453,347113.391,388260.571,403031.354,400921.242,418857.192,448398.758,563399.851,589776.248,601381.863
Colombia,COL,293048.811,290140.373,327067.329,352388.671,390370.683,408306.633,707942.509,892577.291,878861.565,934779.527,1020239.055,971706.484,1007578.385,1057166.012,1043450.285,1356801.887,1448591.751,1511895.105,1699695.055,1892770.285
Central & South America,CSAM,8578704.318,8572329.189,8094388.866,8028975.402,8427786.531,8375033.735,8870910.009,8610311.201,9221188.567,9301372.813,10062068.12,10573770.231,10799552.195,11228959.944,11790249.683,12775671.892,13669304.239,14751791.596,14995509.507,14643120.838
Former Czechoslovakia,CSK,4800.623,5275.28,5275.28,5275.28,5275.28,5275.28,7385.391,7385.391,7385.391,7385.391,5275.28,6330.335,5275.28,--,--,--,--,--,--,--
Cuba,CUB,12343.299,20046.062,24266.286,29541.565,36926.957,42202.236,44312.348,44312.348,36926.957,36926.957,34816.845,34816.845,39037.068,49587.627,59083.13,64358.41,73853.913,73853.913,75964.025,93899.975
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,5275.28,5275.28,7385.391,10550.559,7385.391,8440.447,9495.503
East,DDR,2268.248,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,162478.609,144542.658,139267.379,131881.988,135047.155,137157.267,127661.764,135047.155,125551.652
West,DEUW,210561.667,203625.789,192020.174,184634.783,180414.559,184634.783,182524.671,168808.944,178304.447,170919.056,162478.609,--,--,--,--,--,--,--,--,--
Denmark,DNK,13157.691,32706.733,77019.081,98120.199,101285.366,126606.708,165643.776,212066.236,217341.515,255323.528,264819.031,312296.546,357663.95,380875.18,404086.41,406196.522,455784.149,503261.664,520142.559,656244.77
Algeria,DZA,2372442.777,2143873.589,2111166.856,2055248.893,2175525.266,2216672.446,2293691.527,2291581.415,2241993.788,2365435.328,2524748.769,2502592.595,2578556.62,2496262.259,2470940.918,2485711.7,2632364.471,2693557.713,2622868.967,2517363.377
Ecuador,ECU,471545.317,486380.77,486380.77,546518.956,596106.584,647804.323,675235.776,400921.242,698447.006,643584.099,657299.826,688951.503,741704.298,793402.037,840879.552,903127.85,915788.521,894687.403,864090.782,859870.559
Egypt,EGY,1360635.897,1364187.279,1527720.943,1657492.819,1880109.614,2022542.16,1853733.216,2043643.278,1939192.744,1972954.533,1990890.483,1993000.595,2015156.769,2029927.552,2043643.278,2098506.185,2108001.688,1951853.415,1902265.788,1943412.968
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,
Spain,ESP,73654.339,55917.963,66468.522,128716.82,102340.422,98120.199,84404.472,75964.025,66468.522,46422.46,35871.901,48532.571,49587.627,40092.124,37982.012,28486.509,22156.174,16880.894,24266.286,13715.727
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
European Union,EU27,4901321.67,5301655.899,5971616.397,6608870.16,7035112.741,7179655.402,7299931.772,7042498.132,6665843.176,5600236.718,5605511.999,5543263.697,5577025.487,5758495.103,6896900.42,7111076.766,7319977.834,7229243.027,7442364.319,7554200.247
Eurasia,EURA,26579230.393,26832181.649,26973559.139,27108606.295,26931356.903,26232909.898,26934522.071,27285855.686,27367094.99,26527270.494,24851841.725,22625673.776,19392982.498,17155208.935,15839554.228,15565239.692,15383770.078,15661249.779,15704507.072,16525340.562
Europe,EURO,6354042.095,6732311.7,7501447.452,8409850.581,8977470.653,9273941.363,9548255.895,9592568.243,9472291.87,9209582.952,9517659.276,9976608.589,10556889.336,11028499.323,12786222.455,13389714.427,14317108.563,14309723.173,14220043.42,14323438.902
France,FRA,58924.243,77019.081,77019.081,79129.193,79129.193,112890.981,136102.211,146652.77,151928.05,146652.77,138212.323,132937.043,131881.988,124496.596,126606.708,112890.981,97065.143,81239.304,77019.081,67523.578
Gabon,GAB,397889.433,342893.168,353443.727,355553.838,356608.894,390370.683,376654.956,351333.615,361884.174,471609.987,611932.422,666795.329,677345.888,710052.621,745924.521,827163.826,836659.329,838769.441,797622.26,750144.745
United Kingdom,GBR,3675966.249,4047194.432,4614814.507,5120186.283,5556979.425,5654044.568,5674090.63,5376564.866,5002020.022,4027148.37,4067240.495,4015542.755,4089396.668,4279306.73,5306931.177,5562254.705,5754274.879,5626613.115,5846064.742,5997992.792
Georgia,GEO,--,--,--,--,--,--,--,--,--,--,--,--,6330.335,4220.224,4220.224,2110.112,3165.168,6330.335,5275.28,5275.28
