Country,Code,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,1.6,0,0,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,,,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,NA,NA,NA,NA,NA,NA
Africa,AFRC,,,76,84.3,77.1,88.5,93.5,90.5,45.6,80.7,80.6,85.9,84.2,79.2,73.4,76.6,35.7,41.7,55.7,86.3,119.7,98.2,139.6,35.5,30.6,1.9,NA,NA,NA,NA,NA
Angola,AGO,,,7.3,7.7,7.9,8.2,8.3,8.3,4.9,8.4,8.3,8.1,8.3,8.4,4.6,4.6,0,0,0,0,7.2,7.7,7.2,0,0.3,NA,NA,NA,NA,NA,NA
Albania,ALB,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.2,0.8,1.8,0,0,NA,NA,NA,NA,NA,NA
United Arab Emirates,ARE,,,14,14,14,14,14,15,2.4,6.8,6.8,7.3,4.3,6,10,10,1.9,1.9,2,30,30,7.5,80,2.2,2.4,NA,NA,NA,NA,NA,NA
Argentina,ARG,,,4.3,5.2,5.1,6.4,5.4,4.6,5.3,9.1,6.7,2.5,4.2,5.6,6.1,5.7,4.5,4.6,4.6,3.8,4,3.5,3.4,4.5,4.8,NA,NA,NA,NA,NA,NA
Armenia,ARM,,,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.8,0,0,NA,NA,NA,NA,NA,NA
American Samoa,ASM,,,0,0,0,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.8,2,2,2,0,NA,NA,NA,NA,NA,NA
Asia & Oceania,ASOC,19.2,20.7,176.7,170.8,194,200.5,177.7,181.4,117.5,186.4,209.7,231.5,236.9,235,292.3,286,238.2,136.1,239.1,276.2,366.7,244,441.3,129.1,107.3,11,NA,NA,NA,NA,NA
Antarctica,ATA,,,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.5,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,0.9,1.5,1.5,1.1,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,,,1.2,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA
Australia,AUS,2,2,1.6,3,2.2,2.6,2.6,1.9,2,2,2.3,2.9,2.6,2.7,1.8,2.3,2.1,1.5,1.3,1.2,0.9,1.2,1.2,1.5,1.3,NA,NA,NA,NA,NA,NA
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Azerbaijan,AZE,,,--,--,--,--,--,--,0,0,0,0,11,13,11,11,11,11,12,13,14,11,11,0,0,NA,NA,NA,NA,NA,NA
Burundi,BDI,,,0.04345,0.04345,0,0.04345,0.04345,0.04345,0,0.04345,0.04345,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0,0,NA,NA,NA,NA,NA,NA
