Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,4.892761394101877,4.892761394101877,9.812332439678285,9.785522788203753,9.785522788203753,19.571045576407506,19.62466487935657,14.67828418230563,19.571045576407506,19.571045576407506,19.62466487935657,19.571045576407506,19.571045576407506,19.571045576407506,16.999999999999993,17.999999999999993,21.00000000000001,28.999999999999986,28.999999999999982,47.7,47.7,53.60000000000005,48.69999999999998,51.49999999999983,26.600000000000012,26.000000000000018,21.999999999999996,21.999999999999982,22.199999999999996,22.699999,22.637978,23.50000000180965,23.7,22.2,20.9,22.8,23.6,23.2,23.38809188
Afghanistan,AFG,171.74700997077747,195.74600671514744,190.85235650201074,269.1507592272118,269.8881585675603,318.08726086930295,332.70777479892763,337.6005361930295,318.9008042895442,322.92225201072387,327.8150134048257,308.24396782841825,122.65415549597856,122.31903485254692,117.42627345844504,112.53351206434316,107.93565683646112,102.7479892761394,97.85522788203754,97.85522788203754,95.00000000000011,89.99999999999997,84.99999999999987,86.00000000000018,82.99999999999993,109.00000000000009,199.9999999999999,112.99999999999989,273.00000000000017,501.99999999999767,747.9999999999998,800.9999999999984,872.9999999999995,558.7999999999984,455.70000000000005,609.5999999999991,484.07377,338.2999999994638,438,589,534.2,517,511,557,571.9050687
Africa,AFRC,20514.736309335924,21608.333860851875,22640.527297365283,23036.066301382038,23815.58570226756,24558.262689329087,24337.76209785523,25199.921943699734,25886.75708847185,27293.852084450402,28066.98862600536,27920.256179624666,29526.30818766756,29572.84945710456,30145.302540214478,30947.715408847183,31052.125882037533,33266.884309651476,32669.967419571047,34230.75871313673,38993.274181140485,41340.74139337739,42902.67228606165,44650.81963785062,47414.20014393441,48808.2640124397,50743.40129150131,53846.880914176945,56834.992925729246,59537.639462251995,64412.93247333779,66061.1124843056,68700.51242230415,76672.11805254692,78350.66703421746,82513.75462039633,81169.23842404022,83106.41541999718,81671.49256500187,84560.46770400187,76379.64543122421,83142.70322738422,86219.2972429242,86411.816612,88841.29618334
Angola,AGO,263.86104041903485,263.1401086146113,276.29711404289543,289.45411947117964,250.66798835147452,328.92513575603215,313.1367292225201,308.24396782841825,313.9946380697051,318.02949061662196,322.92225201072387,322.92225201072387,328.7131367292225,322.92225201072387,318.02949061662196,313.1367292225201,318.9008042895442,440.3485254691689,489.2761394101877,684.9865951742628,638.3652410187648,725.3724777479896,777.3885903485238,947.3415123324414,787.3623340482552,654.3592394101853,1220.3574294906155,1440.3718150134066,1872.3635206434333,2326.364050938338,2542,2739,2838,3766,4081,4097,3436,2803,2490.503,2644.361,1677.193,2175.214,2648.827,2632,2694.039475
Albania,ALB,530.3271057571045,505.88342349262734,494.3860729664879,505.88342349262734,495.74055535817695,482.88872244034854,440.3485254691689,327.8150134048257,323.8069705093834,318.02949061662196,220.17426273458446,122.31903485254692,323.8069705093834,122.31903485254692,102.7479892761394,112.53351206434316,98.12332439678285,205.4959785522788,352.2788203753351,102.7479892761394,490.0582621983916,522.0562230562986,522.0675721179616,597.0687152814991,677.0845911528176,675.0727924932969,577.0736713136748,608.0789876675605,746.0562512064325,701.0631683646101,650.0274270777492,715.0543442359268,688.0197310991952,764.0068718498654,773.0621587131367,798,834,759,713,702.350321,540.43492,707.461,712.817675,651.006,651.006
United Arab Emirates,ARE,566.9137663817694,1032.7330742372653,1115.6532480697051,1123.191445699732,1156.5040833932976,1394.5665600871314,1565.6836461126006,2054.959785522788,2256.8364611260054,2299.597855227882,2299.597855227882,2593.1635388739946,2698.3914209115283,2984.5844504021447,3082.4396782841823,3033.5120643431637,3041.823056300268,1957.1045576407507,1272.1179624664878,1174.2627345844503,3157.9156394101883,3202.106038069706,3594.4779865951746,4013.531460053622,4099.643606970509,4358.514343699732,4579.689031635387,4784.999999999998,4965.392169436999,4663.917224664879,4914.234982037526,4722.679201072384,4365.636297319033,4421.8025879356555,3647.7828184986583,6097.877197587136,6258.109383378016,3871,3116,3064,2880,3399,3228,3551,3587.862131
Argentina,ARG,8089.533102624933,7808.755425209785,7566.247492764745,7711.752252251341,7505.919492020911,6709.386131403486,7241.286863270778,7534.85254691689,7261.12600536193,6800.938337801608,6213.806970509383,6898.793565683646,7310.187667560322,7485.924932975871,8024.128686327078,8170.9115281501345,9174.530831099195,9834.450402144772,10421.581769436998,10617.292225201072,10424.662475335126,8790.998433243964,8478.582267560338,9147.804253351216,9742.91144611259,10289.894917426256,10497.112942091144,11066.515028418227,11966.17561876676,11458.812827077752,11297.006253619316,11820.99602064342,11107.403182037551,11671.097455227879,11351.215195442373,13200,13176,12806,12931,12615,11187,13381,14457,11935,10698
Armenia,ARM,,,,,,,--,--,--,--,--,--,206.05898123324397,97.85522788203754,88.06970509383378,107.64075067024129,132.46648793565683,146.7828418230563,161.46112600536193,29.35656836461126,68.99999999999996,66.00000000000024,81.00000000000007,109.00000000000009,108.0000000000002,115.99999999999984,112.99999999999989,120.99999999999996,128.99999999999991,117.99999999999999,131.00000000000017,134.99999999999997,149.40821917808216,137.99999999999991,145.00000000000017,129,119,135,115,134,200,196,181,176,161
American Samoa,ASM,94.44369973190348,111.00452412868633,154.73357908847186,97.54943029490616,111.30864611260054,104.27697721179625,107.64075067024129,112.53351206434316,107.93565683646112,127.21179624664879,132.10455764075067,132.10455764075067,137.37265415549598,136.99731903485255,132.10455764075067,127.21179624664879,127.5603217158177,132.10455764075067,132.10455764075067,132.10455764075067,124.99999999999984,125.00000000000024,128.0000000000002,128.0000000000002,128,129.99999999999986,132.10455764075067,132.10455764075067,132.46648793565683,132.10455764075067,120.2,118,118.4,117.9,111.9,111.9,111.9,111.9,111.9,112.5,110.4,111,111,112.9,112.880783
Asia & Oceania,ASOC,110853.21932960911,112609.67952783579,112772.35494636059,114494.18162111662,120673.77349701742,123625.02574019303,128581.14101876675,138550.3744302949,150616.11173726543,160896.8087466488,171376.06368632708,183244.29558981233,195138.20326005362,209171.57038873996,223169.6343230563,241650.03151474532,250268.9432064343,256291.32105898124,251611.64813672923,273611.43163538876,280720.7702074414,285047.51927442726,294205.5283186774,304885.5432863789,331387.78178967896,337262.1509884555,338268.6724612347,350545.0711425456,358850.0340586122,363865.46401721775,385113.3475412811,399989.62763092446,423214.6958489188,426322.9564213997,428577.48649282014,436777.5044902637,438286.17336840817,451222.57494805264,458431.0497600099,443903.5317362268,414269.3425367268,429865.7548964268,451651.7963692615,463948.17504933,477714.27133575047
Antarctica,ATA,49.061662198391424,48.92761394101877,48.92761394101877,48.92761394101877,63.78016085790885,68.49865951742628,63.605898123324394,63.605898123324394,68.68632707774799,63.605898123324394,68.49865951742628,68.49865951742628,68.68632707774799,68.49865951742628,68.49865951742628,73.39142091152814,73.59249329758713,73.39142091152814,73.39142091152814,73.39142091152814,73.00000000000003,75.00000000000014,75.00000000000014,75.00000000000014,76.00000000000018,75.99999999999997,75.99999999999997,76.99999999999979,1.7317601632185047,2.2401214477211795,2.2401214477211795,2.2401214477211795,2.246258766756032,2.2401214477211795,2.2401214477211795,2.2401214477211795,2.4040214477211794,2.24012144772118,2.24012144772118,2.24012144772118,1.88658144435045,2.007623373458128,1.88658144435045,2.08235925,2.08235925
Antigua and Barbuda,ATG,30.708642192225202,27.343516792895443,37.187182808981234,21.874813434316355,24.12821888284182,24.062294787533514,24.463806970509385,34.24932975871314,34.343163538873995,34.24932975871314,39.14209115281501,34.24932975871314,34.343163538873995,34.24932975871314,39.14209115281501,39.14209115281501,39.24932975871314,39.14209115281501,39.14209115281501,39.14209115281501,43.99999999999999,44.000000000000014,48.99999999999978,53.00000000000006,54.999999999999986,56.00000000000003,56.00000000000003,56.00000000000003,56.99999999999977,58.99999999999999,62.99999999999979,61.000000000000135,63.000000000000114,62.99999999999979,62.99999999999979,64.99999999999993,65.49731903485255,65.99999999758714,38.2,39.8,37.9,38.7,39.2,39.5,39.85863704
Australia,AUS,6476.139410187668,6507.372654155496,7094.504021447721,6262.7345844504025,7092,7215,7437,7696,8086,8654,8578,8385,8633,9025,9430,9739,10344,10723,10791,11270,11253,11805,12577,13426,14123,14620,15059,15772,16530,16720,17493,18671,19861,20824,21022,21637,21433,23860,24670,24483,24211,25622,26095,27114,27796
Austria,AUT,2698.3914209115283,2348.5254691689006,2446.380697050938,2544.2359249329756,2360,2564,2756,2843,3020,3156,3344,3849,3864,4218,4245,4543,5541,5308,5834,5753,5984,6497,6930,7585,7722,8191,7995,7869,7725,7453,7699,7368,7292,7651,7415,7610,7839,8095,8034,8075,7302,7653,7149,6634,6286
