Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,,,,,,,0,0,0,0,0,0.00165564,0.00207522,0.00206955,0.00248346,0.00248346,0,0.002690415,0.002690415,0.002690415,0.0029675646,0.003057490800000003,0.003192380100000001,0.0032823063,0.003282306300000007,0.003372232499999999,0.003372232499999999,0.0034621586999999975,0.003495431394000007,0.0035646745679999907,0.0034621586999999975,0.0032823063,0.0036420111,0.0036779815799999993,0.0037229446799999988,0.003812,0.003793,0.003956752800085049,0.00399272,0.00373194,0.0035296,0.00384435,0.00391179,0.00391179,0.003943504,
Afghanistan,AFG,0.00299130150799242,0.00340928977580415,0.0033240575300121,0.0046877734419894,0.00470061665689896,0.00554009588542305,0.00579474,0.006829515,0.00622566,0.00620865,0.006415605,0.006001695,0.004565484,0.00455301,0.004346055,0.0041391,0.003735396,0.003518235,0.003518235,0.003518235,0.0030574907999999933,0.0029226015000000044,0.002248154999999992,0.0021582287999999937,0.002787712199999993,0.0029226015000000044,0.0029226015000000044,0.0030125277000000034,0.0032373432,0.004181568300000009,0.0014388192000000005,0.0026977860000000076,0.0022931181,0.0022931180999999916,0.0023155996499999915,0.002985,0.002977,0.003021520320008505,0.01346195,0.00239653,0.00287764,0.00240553,0.00175356,0.00188845,0.001938984,
Africa,AFRC,0.17720004945673423,0.1859181049003635,0.1942182127468926,0.1947036405008142,0.19927800479341945,0.208187854734825,0.207975784842,0.2151042049485,0.204123100923,0.2217816494145,0.2227001364,0.2366421359715,0.2491370507304,0.2479499088255,0.2587115688255,0.2589183996525,0.2401202198304,0.2843739888255,0.2995266544515,0.2815216236,0.32124786717957565,0.3055873351596319,0.3032403459252231,0.3167031176975732,0.3427215684727188,0.35123895736808697,0.3656321042811068,0.39969028696936015,0.42343947000025395,0.415540392619413,0.4392859043248599,0.4327667535292104,0.41949073396847464,0.41235294857257415,0.41877469389667876,0.4111804116,0.41399291784,0.44764167344683525,0.45717988240002266,0.4434950924,0.23260097385955675,0.31588126046383774,0.3872158004399592,0.44949178,0.4652215126,
Angola,AGO,0.00575481176533368,0.0057390882359202,0.0060260426473023,0.0063129970586844,0.00546707117748204,0.00717386029490025,0.006829515,0.00662256,0.006848226,0.00703647,0.00703647,0.00703647,0.00726327,0.007243425,0.007243425,0.00703647,0.00726327,0.0082782,0.00951993,0.013038165,0.020188431899999994,0.021852066600000015,0.01879457579999999,0.02086287840000007,0.0264383028,0.018434870999999995,0.012724557300000005,0.014298265800000006,0.0195589485,0.0182550186,0.024834,0.022765,0.016556,0.018625,0.020695,0.020695,0.014486,0.014486,0.01416338,0.01335525,0.00463349,0.00513775,0.00449631,0.00948721,0.009710835,
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000206955,0.000620865,0.000620865,0.000622566,0,0,0,0.0017985240000000008,0.0019334133000000005,0.0019334133000000005,0.002113265699999994,0.0021582288,0.002562896700000009,0.002023339499999999,0.0008542988999999996,0.0011690405999999992,0.0008542988999999996,0.0007643727000000007,0.000899261999999999,0.0008992619999999993,0.0009442251000000005,0.0003597047999999996,8.99261999999999e-05,0.000314,0.0003147417,0.0004046679,0.00094423,0.00071042,0.00072166,0.00165801,0.0029226,0.00301253,
United Arab Emirates,ARE,0.01198971593658468,0.02184137506035135,0.023595062108751,0.0237544882042482,0.0244590205111308,0.02949382763593875,0.0331128,0.03518235,0.03735396,0.0372519,0.0372519,0.0538083,0.05395572,0.0372519,0.04346055,0.01117557,0.011828754,0.00869211,0.03104325,0.02276505,0.14050968749999992,0.14383695689999998,0.1455005915999999,0.1490077133999999,0.15354898650000007,0.13165195680000003,0.14734407869999996,0.16843177260000003,0.17634527820000007,0.17337771359999996,0.17971751069999997,0.1877659056,0.2112816069000007,0.21281035230000026,0.26357369220000054,0.36469570409999985,0.37427837832,0.3476097261,0.32316778,0.33888491,0.21340476,0.24079925,0.35030751,0.43371406,0.438216348,
Argentina,ARG,0.0323676868053105,0.03124424447455815,0.0302739263233029,0.03085611721405605,0.03003254306815266,0.02684546885553435,0.0289737,0.0331128,0.02905308,0.02690415,0.0289737,0.02690415,0.02697786,0.0331128,0.041391,0.04346055,0.06433182,0.0538083,0.06829515,0.06415605,0.07976453940000007,0.05827217759999997,0.04847022180000005,0.04806555389999993,0.05229208529999993,0.05332623660000003,0.05094319230000002,0.0544952772000001,0.05629380120000007,0.058901661000000084,0.0610598898000001,0.060430406399999984,0.06155448390000007,0.06348789719999999,0.0673996869000001,0.062086,0.066225,0.06946798950000001,0.0617793,0.06101493,0.02556177,0.02624861,0.05146931,0.06560116,0.06906332,
Armenia,ARM,,,,,,,--,--,--,--,--,--,0.00726327,0.00289737,0.00206955,0.001448685,0.002905308,0.00082782,0.001034775,0.001034775,0.002742749100000007,0.0026078598000000086,0.0022931180999999916,0.0011690405999999997,0.0017085977999999993,0.0019783763999999997,0.0017535609000000007,0.0025179336000000097,0.0025179335999999932,0.0013039299000000002,0.0019334133000000005,0.0019783763999999997,0.0021190554690410897,0.002068302600000001,0.001888450200000001,0.002069,0.002069,0.0024280074,0.00278771,0.00310245,0.00166363,0.00233808,0.00440638,0.00508083,0.00454127,
American Samoa,ASM,0.001452654,0.00170737875,0.0023799825,0.00150042375,0.0017120565,0.00160390125,0.00165564,0.00165564,0.001660176,0.00124173,0.00124173,0.00124173,0.001245132,0.001034775,0.001034775,0.001034775,0.00103761,0.001034775,0.001034775,0.001034775,0.0011690405999999992,0.0011690405999999997,0.0011240775000000004,0.0011240775000000004,0.0011240775000000006,0.0011690405999999997,0.001158948,0.001158948,0.0011621232,0.001158948,0.001158948,0.00098918819433,0.000991898298972,0.00098918819433,0.0008992620042525,0.0008992620042525,0.000901725735771,0.0008992620042525,0.0008992620042525,0.0008992620042525,0.0008115531518178,0.0008093357934795,0.0008093357934795,0.0008318173565205,0.00083395433408112,
Asia & Oceania,ASOC,0.8240454978754396,0.8370415235805462,0.7782707261757834,0.7665651164528847,0.889980784682986,0.9122887254729591,0.93504091652685,0.89736849224505,0.99791306058906,1.0899498031695,1.1572867225458,1.17967842365625,1.23202282695912,1.36362975040215,1.54707693062895,1.70163669867345,1.7879583874509,1.9184173984773,1.8005036696703,1.8947759940711,1.9732022679850227,2.026438260562778,2.1168488167913964,2.0918022056405214,2.4261685873431267,2.5314665676380095,2.7170572351117888,2.809228216354748,2.795645947468225,2.841608702533317,3.023169044424205,3.119526083679108,3.2783178515567757,3.540820845149337,3.683959076257887,3.9339887294876,4.272848986673017,4.5763936732401005,4.878434721581158,4.992786105886628,3.031445154693973,3.072139291658706,2.9807426010365408,4.3325933008505,4.653548236334234,
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,ATG,0.00285762463660044,0.00254447939242035,0.0034604919722016,0.00203558351269455,0.00224527649900022,0.00223914186375705,0.002276505,0.002690415,0.002697786,0.002690415,0.002690415,0.002690415,0.002697786,0.002690415,0.00289737,0.00289737,0.002905308,0.003104325,0.003104325,0.003104325,0.0030574907999999933,0.003057490800000003,0.0031474170000000017,0.0032373432000000007,0.003327269399999993,0.003372232499999999,0.0034621586999999975,0.0035520848999999965,0.0036420111,0.0037319372999999943,0.003372232499999999,0.0034171955999999985,0.003462158699999993,0.0034621586999999975,0.003507121799999997,0.003597,0.003632,0.00337223250001134,0.00215823,0.00215823,0.0020683,0.00211327,0.00211327,0.00215823,0.002177825,
Australia,AUS,0.07885836,0.07657335,0.06001695,0.0662256,0.07817229019278,0.0838989899433,0.08888291957475,0.0936740706237,0.10449809946702,0.10026260929125,0.1115402391495,0.1201983298866,0.12662811065772,0.13280273997165,0.1441994393196,0.16099398036855,0.1711546203402,0.17422775923455,0.17233965082215,0.1733942707371,0.1879718400567,0.18276110991495,0.1591455597165,0.1476808197732,0.16238313024948,0.1761669006804,0.2065070707371,0.2088204302835,0.2197068306237,0.2273953493196,0.2498315395464,0.2575257290928,0.26909819969382,0.287259210567,0.28847258980155,0.29456784087885,0.3134205907371,0.32638220934795,0.33639542900775,0.3347738103402,0.1448855102268,0.13134554912115,0.22208823048195,0.30126410997165,0.33371351964846,
Austria,AUT,0.00622566,0.00620865,0.00620865,0.0082782,0.00862407061236,0.01031939923455,0.00937250974485,0.0100925993196,0.01107918038556,0.0134605808505,0.0133641894897,0.01500849042525,0.01621620072576,0.01724247031185,0.0180022497165,0.01996973985825,0.02211300061236,0.0230088595464,0.0242222408505,0.02345112031185,0.02542994925156,0.0247041893763,0.023184630567,0.0219769198299,0.02586654026082,0.0291721491495,0.03052160957475,0.0323586890928,0.03239838029484,0.02825928099225,0.0301814107371,0.0315422102268,0.03066903098658,0.0293025597732,0.02927420900775,0.03139478997165,0.0341787592629,0.03304475940465,0.0371271599433,0.04248530974485,0.0143734510206,0.0180476101134,0.0272386803402,0.03809105906445,0.04229252912682,
Azerbaijan,AZE,,,,,,,--,--,--,--,--,--,0.02282742,0.0248346,0.018832905,0.02276505,0.02282742,0.02690415,0.03104325,0.02276505,0.005170756500000007,0.009487214100000004,0.004900977900000001,0.010026771299999997,0.009667066499999993,0.019109317500000007,0.021447398699999894,0.02045821049999999,0.0222567345,0.0163665684,0.021897029700000098,0.02378547990000003,0.021957021562191877,0.024459926400000023,0.023335848900000036,0.020695,0.018625,0.022031919,0.021132657,0.02757137,0.02103823,0.02312902,0.02625845,0.02711275,0.01982873,
Burundi,BDI,6.23453571594e-05,7.10571590127e-05,6.21750146535e-05,7.10571590127e-05,8.906479623846e-05,8.882144980065e-05,8.99219475e-05,0,8.99192826e-05,0.00041391,0.00041391,0.00041391,0.000415044,0.00041391,0.00041391,0.00041391,0.000415044,0.00041391,0.00041391,0.00041391,0.0005395572,0.0002697786000000007,0.0001471957004700001,0.0002000588171400001,0.000316161634698,0.00029963409839999904,0.00028191863700000014,0.0002967564600000004,0.0002451837842999993,0.00026896926420000007,0.00020062535219999992,0.00022189289849999908,0.0001691511822,0.0001879907211,0.00019379096100000004,0.000116,6.7e-05,0.000192442068082215,0.00022032,0.00023282,9.703e-05,0.00011938,0.00013489,0.00022401,0.000232645,
Belgium,BEL,0.01660176,0.02276505,0.01862595,0.0165564,0.01867698,0.0214382697732,0.02332070968815,0.02220939031185,0.02930823037422,0.0323360109639,0.04782077934795,0.04571721008505,0.04356828099792,0.04145904059535,0.0393554692629,0.04387446,0.05032691975052,0.05423921963145,0.06085610906445,0.06840288042525,0.06885648027216,0.0631638001134,0.0527366704536,0.0574030793763,0.05598557984124,0.0533547001701,0.0555489902268,0.05949530957475,0.06416172044226,0.0584123409639,0.0616272296031,0.06529572014175,0.06017571049896,0.0569891693763,0.05941025934795,0.0645359407371,0.06423543018144,0.0704043898299,0.07502544042525,0.07559243917785,0.05239080074844,0.06545447946135,0.07571717923455,0.07585326042525,0.08128512019278,
