Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,0.308879627,0.353005288,0.344180156,0.485382272,0.485382272,0.573633594,0.6,0.6,0.5,0.5,0.5,0.5,0.2,0.2,0.1,0.1,0.08448,0.06353,0.06353,0.0635342465753425,0.004224043715847,0,0.00211780821917808,0.00635342465753425,0.25344262295082,0.423561643835617,0.614164383561644,0.275315068493151,0.464644808743169,1.96956164383562,1.05890410958904,0.76241095890411,0.549125683060109,0.550630136986301,0.360027397260274,0.122832,0.200642,0.7581753425,0.49752603,0.45624658,0.43452055,0.34761644,0.36934247,0.38020548,0.390379607
Africa,AFRC,97.499572493,107.485965564,112.6939383,118.185121449,122.751445109,128.053870269,126.11126,126.21345,133.80816,124.82029,127.17328,136.96589,129.54352,124.18118,125.20236,125.66549,152.58576,111.40236,122.31765,110.11767123287672,123.85927282921666,125.19789793424627,120.01095749972589,104.83336433616469,94.26890578830854,108.25601159178107,100.43964623835598,93.28722141643823,96.07969984643256,80.39058331747908,100.88197980876662,88.58424736449338,90.13525193853906,91.19526509726016,98.49962901750762,89.5372981918904,60.10465571248078,59.2163015856659,53.5653699917,46.2070600988,43.946226403954725,49.06977570149559,55.917121938993695,56.8832972,57.854053837
Angola,AGO,0.672268908,0.672268908,0.705882353,0.739495798,0.638655462,0.840336134,0.8,1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,0.5,0.6,0.7,2.42882513661202,2.88021917808219,3.24024657534247,1.50364383561644,2.21762295081967,1.546,1.52482191780822,1.60953424657534,1.58401639344262,1.33421917808219,1,2,1,1,0.782136986,0.869041096,1.194931507,0.803863014,0.54315068,0.54315068,0.49969863,0.54315068,0.54315068,0.56487671,0.578191548
Albania,ALB,2.041775457,1.953002611,1.908616188,1.953002611,1.908616188,1.864229765,1.7,1.5,1.6,1.5,1,0.2,0.7,1.1,0.6,0.6,1.5,1.2,1.4,1.6,0.21120218579235,0.190602739726027,0.211780821917808,0.148246575342466,0.147841530054645,0,0.211780821917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,0.108329321,0.19788156,0.21376986,0.215214251,0.220991815,0.267212325,0.3,0.7,0.7,0.7,0.8,0.7,0.7,0.8,1.7,1.7,1.8,0.6,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,9.803974101,9.489618218,9.194909578,9.371734762,9.096673365,8.153605716,8.8,11,9.6,9.5,11,8.7,10,7.8,7.2,6.8,5.7,5.8,5.2,5.3,2.23874316939891,1.77895890410959,0.931835616438356,0.592986301369863,0.612486338797814,0.50827397260274,0.487095890410959,0.444739726027397,0.16896174863388,0.232958904109589,0.931835616438356,0.868301369863014,0.29568306010929,0.25413698630137,0.487095890410959,0.55063,0.304164,0.238986301369863,0.2389863,0.19553425,0.19025482,0.15208219,0.13035616,0.13035616,0.13035616
Armenia,ARM,,,,,,,--,--,--,--,--,--,0.4,0.1,0.1,0.08448,0.04224,0.04235,0.04235,0.1,0,0,0.127068493150685,0.0635342465753425,0,0,0,0,0,0,0,0,0,0,0,0,0.152082,0.1520821917808219,0,0.02172603,0.02172603,0,0,0,0
American Samoa,ASM,0,0,0,0,0,0,0,0.02117,0.02112,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0844808743169399,0.0847123287671233,0.0847123287671233,0.0847123287671233,0.0844808743169399,0.105890410958904,0.11,0.11,0.11,0.11,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,ASOC,764.129967476,809.925553945,789.34000588,779.856283242,846.879974589,835.238303272,868.554733,873.076586,933.892279,941.060843,973.199934,976.877548,1035.52174,1066.516365,1100.957346,1140.9743,1231.503877,1193.548905,1165.450594,1294.5903840684932,1283.3786367128428,1258.880359988335,1202.395872182649,1182.7368985367527,1083.638095118466,1085.8521398691328,980.6761235067424,898.2876935601643,830.3072867593551,761.8028465535126,734.1288150929729,686.1001116266635,659.162936602777,606.4040767970215,563.3226453420943,538.634243069816,526.753663633294,487.88624910914217,534.4399900203134,510.5692363573981,460.75047074767224,433.73878881438355,397.86612762997095,369.39711249,354.721146950432
