Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,0,0,0,6.293103448275862,1.3523879310344828,2.324043103448276,2.2625741379310345,3.146551724137931,12.586206896551724,12.586206896551724,12.620689655172415,15.732758620689655,15.732758620689655,15.732758620689655,7.790000000000001,8.000000000000007,8.06999999999999,8.260000000000003,8.579999999999993,8.669999999999991,8.740000000000006,9.070000000000014,9.259999999999993,9.299999999999986,9.25,8.579999999999984,9.590000000000005,9.700000000000008,10.300000000000011,10.709999,10.660792,11.00000000012931,11.297,10.894,8.609,9.372,9.4,9.5,9.577020383
Afghanistan,AFG,0,0,0,0,0,0,0,0,0.9998741379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627.3,614.2,675.1,679.5,620,605,610,626.3233248
Africa,AFRC,2310.4808560660344,2422.3341595788793,2589.215317395259,2605.8904031551724,2753.0751406339655,2922.332413623276,2945.382603448276,3165.2321724137933,3426.3197275862067,3618.068793103448,3714.7138706896553,3882.344525862069,4229.995148275862,4592.8384224137935,4566.600271551724,5176.4155258620685,5114.951912068966,5985.028344827586,6662.249344827586,6290.017667241379,7240.786267382416,7719.409893880105,8992.314059270691,9413.1320324104,9360.459265720277,9518.89530479309,9924.592053982768,10372.7774696207,10895.126543172415,11586.635580551721,11516.093383586209,11726.129118965519,12156.416498869155,12223.832520000002,12197.077682362238,12201.632514965517,12507.85121233887,13142.309772375034,12880.070815,13537.55694,14329.381468,14809.964244,14762.648481,15733.808912,16157.545399419
Angola,AGO,15.908432348793104,15.864966686637931,16.65821501939655,17.451463352155173,15.113010732931034,19.831208350431034,18.879310344827587,18.879310344827587,22.086206896551722,22.025862068965516,22.025862068965516,22.025862068965516,22.086206896551722,22.025862068965516,22.025862068965516,22.025862068965516,25.24137931034483,40.9051724137931,59.78448275862069,56.63793103448276,53.64421431034474,68.67679206896561,78.7493265517241,84.53739431034474,89.63112793103454,17.617196724137933,116.60904896551718,170.67380862068967,145.63646965517248,201.63885689655186,144,151,254,266,226,249,236,326,357,291.221,427.992,436.791,474.2,485.376894,496.817824
Albania,ALB,11.368506349655172,10.84451248275862,10.598046264224138,10.84451248275862,10.627082007413794,10.351580077155173,9.439655172413794,6.293103448275862,3.1551724137931036,3.146551724137931,2.643103448275862,0.7985948275862069,0.8285482758620689,0.6790258620689655,0.4691508620689655,0.4373706896551724,0.40512413793103447,0.3687758620689655,28.31896551724138,0.2548579310344826,24.262280344827595,27.25310068965516,38.30419103448267,44.3093372413792,50.38080603448262,57.32769172413807,64.33164793103441,65.35558068965527,73.25322741379316,93.28436655172412,97.12346913793107,101.24464275862083,88.08882396551738,112.03093517241379,121.27982137931028,136,140,162,196,168.24,161.12,178.8,180.416199,179,168
United Arab Emirates,ARE,15.950558664827586,29.056746310344828,31.389769735344828,31.60186277112069,32.53913966741379,39.237212153448276,44.05172413793103,40.9051724137931,88.34482758620689,91.25,91.25,110.12931034482759,145.13793103448276,377.58620689655174,566.3793103448276,503.44827586206895,599.4827586206897,409.05172413793105,100.6896551724138,97.54310344827586,142.12540431034478,2166.982526551725,1717.656936206898,562.8976589655158,81.40251344827588,81.820605862069,83.60700275862054,81.99999999999987,140.27061103448264,801.6342648275853,740.0647208620701,1226.0644724137917,1265.8713315517246,1365.6199260344818,1602.5309294827575,1506.9626946551712,1546.5708620689654,1669,882.7,1941.9,2365.69,2760.597,813,829,837.6056621
Argentina,ARG,1091,1033,1011,1032,1052,1071,1101,1145,1112,1084,1161,1132,1203,1214,1220,1287,1309,1378,1485,1460,1541,1399,1278,1622,2077,1701,1857,1737,1521.800932068965,1551.1677439655161,2076,1639,1877.825359137932,1896.44906137931,1769.979095344829,1677,1728,1651,1557,1538,1353.407611,1731.193023,1806.750317,1829,1694
Armenia,ARM,,,,,,,--,--,--,--,--,--,9.46551724137931,3.146551724137931,0.9971422413793103,0.9971422413793103,0.9998741379310345,0.9999741379310345,0.9999741379310345,0.9999999999999994,1.0000000000000016,0.9999999999999994,0.9999999999999994,0.9999999999999994,1.0000000000000016,19.99999999999999,14.999999999999991,12.000000000000012,8.999999999999991,8.000000000000007,7.000000000000015,7.000000000000015,7.019178082191796,7.000000000000015,8.000000000000007,7,4,6,16,30,52,74,90,142,221
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0.9999741379310345,0.9999741379310345,0.9999741379310345,0.9998741379310345,0.9999741379310345,0.9999741379310345,0.9999741379310345,0.9998741379310345,0.9999741379310345,0.9999741379310345,0.9999999999999994,1.0000000000000016,0.9999999999999994,0.9999999999999994,0.9999999999999994,1.0000000000000016,0.9999999999999994,1.5732758620689655,1.5732758620689655,1.5775862068965518,1.5732758620689655,1.5732758620689655,0,0,0,0,0,0,0,0,,,0,0,0,18.49685107
Asia & Oceania,ASOC,5516.098023954828,5226.892002655172,5175.382634419397,5297.771171445259,25658.394106616724,25964.26696746724,26861.674094827587,28578.869318965517,27823.080827586207,31199.169375,33478.039426724135,34685.913435344824,37313.45177241379,39621.57165517241,41160.81605172414,43851.70610775862,48469.97142413793,50203.83706465517,50162.48190517241,54088.387023448275,58255.32957528517,59277.493688825634,62859.89858630122,65323.84773187715,67425.7960939572,68693.47467770206,73375.58787963832,76864.27944818465,76301.11085125738,79233.15696043096,84553.97464310628,88037.97130588481,90388.27740355834,94493.06363639045,99678.82409270266,104977.68419603449,120966.78548975999,127837.01682844703,133740.86288176104,141624.37273535103,140863.3057636853,151385.1118517671,156151.22709085429,154670.25054985,162627.15255370302
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,2.5104717434482757,2.235368335775862,3.040100921551724,1.7882946560344828,1.9725135217241379,1.9671241405172413,1.999948275862069,1.999948275862069,1.999748275862069,1.999948275862069,1.999948275862069,1.999948275862069,1.999748275862069,1.999948275862069,1.999948275862069,1.999948275862069,1.999748275862069,1.999948275862069,1.999948275862069,1.999999999999999,2,1.999999999999999,1.999999999999999,1.999999999999999,2,1.999999999999999,2.9999999999999982,3.0000000000000013,3.1000000000000005,3.2999999999999963,3.0000000000000013,3.1999999999999904,3.2999999999999927,3.2999999999999963,3.4000000000000017,3.5000000000000075,3.533793103448276,3.59999999987069,3.7,3.7,3.6,3.6,3.7,3.75,3.784047821
Australia,AUS,44.172413793103445,0,0,0,873,1078,1097,1251,1359,1410,1735,1610,1852,2082,2233,2366,2215,2239,2332,2341,2364,2296,2135,2086,1939,2332,2076,2103,1865,1855,1974,1967,1975,1920,1760,1495,1308,1157,889,953,815,776,768,742,792
Austria,AUT,2.2086206896551723,0,0,0,116,118,111,119,164,116,131,165,162,169,172,186,159,131,145,150,171,143,170,178,177,221,218,228,207,233,191,163,131,109,109,107,105,101,87,99,84,99,155,125,122
Azerbaijan,AZE,,,,,,,--,--,--,--,--,--,410.17241379310343,409.05172413793105,503.44827586206895,308.36206896551727,410.17241379310343,185.64655172413794,53.491379310344826,147.88793103448276,87.2241581034482,98.54337965517242,107.65406534482743,148.65015017241376,172.62497913793095,164.57668948275852,165.27853965517247,149.4737231034484,101.49248551724149,92.42964172413781,94.5862232758621,144.7065255172414,132.93889844780355,156.90131017241367,158.0206770689654,152,140,133,133,206.8,209.2,279.1,243,254,230
