Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,,,,,,,0,0,0,0.00030149,6.4790201e-05,0.000111340257,0.0001083954018,0.000150745,0.00060298,0.00060298,0.000604632,0.000753725,0.000753725,0.000753725,0.00037320332000000003,0.00038326400000000035,0.0003866175599999995,0.0003957200800000002,0.0004110506399999997,0.0004153623599999996,0.00041871592000000023,0.0004345255600000007,0.0004436280799999997,0.00044554439999999935,0.00044314899999999994,0.0004110506399999992,0.00045943772000000025,0.0004647076000000004,0.0004934524000000005,0.000513,0.00051,0.000526988000006195,0.00054122,0.00052191,0.00041244,0.00044899,0.00045034,0.00045513,0.00045882,
Afghanistan,AFG,0,0,0,0,0,0,0,0,4.79019702e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03005269,0.02942509,0.03234269,0.03255349,0.02970296,0.02898434,0.02922388,0.030005898,
Africa,AFRC,0.11069051685241157,0.11604918491710495,0.12404412742577205,0.124842997434358,0.13189432383749203,0.1400031012718639,0.141107389766,0.151639942916,0.1641481255092,0.17333443974,0.177964512117,0.185995361545,0.2026506075636,0.220033703141,0.2187766858095,0.247991715013,0.2450471162034,0.286730737944,0.319175041612,0.3013421664022,0.34689158849775675,0.36982148919600805,0.43080378195154023,0.4509643294087174,0.448440882502127,0.45603123626202735,0.4754673561222064,0.4969390230145885,0.5219637224303041,0.555092537393072,0.5550719218208481,0.5633408658314001,0.5826509456278235,0.58640349636816,0.5861644616066102,0.5856156970548,0.59628262744,0.6284500084879628,0.61502924,0.64855728,0.68649201,0.70951578,0.70724893,0.753775333,0.774075701447,
Angola,AGO,0.00076214117696598,0.00076005882402345,0.00079806176514925,0.00083606470627505,0.00072403411819326,0.00095007352965245,0.00090447,0.00090447,0.001058106,0.001055215,0.001055215,0.001055215,0.001058106,0.001055215,0.001055215,0.001055215,0.001209264,0.001959685,0.002864155,0.00271341,0.002569987019179996,0.0032901677544400045,0.003772722736439998,0.0040500174866199955,0.0042940480769200024,0.0008440046606600001,0.005586506317839996,0.008176640823400002,0.006977151988240002,0.009660114356200006,0.007537,0.007537,0.012059,0.012059,0.010552,0.012059,0.010552,0.015074,0.015074,0.01395182,0.02050424,0.02092578,0.02271797,0.023253433,0.023801545,
Albania,ALB,0.00054464240219928,0.000519538904024,0.00050773120042645,0.000519538904024,0.00050912224481118,0.00049592349833635,0.000452235,0.00030149,0.000151158,0.000150745,0.0001266258,3.8259081e-05,3.96940908e-05,3.2530771e-05,2.24760795e-05,2.0953555e-05,1.94086872e-05,1.7667314e-05,0.001356705,1.2209733759999991e-05,0.0011623573267600005,0.0013056415478399995,0.0018350771840799959,0.0021227717285599947,0.0024136436554999933,0.0027464550551200067,0.0030820005890799963,0.003131055159680005,0.0035094156189400027,0.004469067432759999,0.004652991159460002,0.004850428345280006,0.004220159378540006,0.00536717804224,0.005810273682639997,0.006029,0.006029,0.007761095999999999,0.009389968,0.00806004,0.00771894,0.00856595,0.00864338,0.00857553,0.00804854,
United Arab Emirates,ARE,0.00076415936451456,0.001392050602236,0.0015038210884809,0.00151398204163885,0.00155888510318646,0.0018797763598474,0.00211043,0.001959685,0.004232424,0.004371605,0.004371605,0.005276075,0.006953268,0.0180894,0.0271341,0.0241192,0.02872002,0.01959685,0.00482384,0.004673095,0.006808943869699997,0.10381579888204005,0.08228950849980007,0.02696730104571993,0.003899831614280001,0.003919861585640001,0.004005444288159993,0.003928455999999994,0.006720084433439993,0.038404694359359955,0.035455020647060055,0.05873829674439993,0.06064536375198003,0.06542411941645995,0.07677405176965996,0.07219556877553994,0.07409311686,0.079958452,0.07258062,0.05473935,0.04341859,0.01697002,0.0389492,0.03971573,0.04012801,
Argentina,ARG,0.052267628,0.049488964,0.048434988,0.049441056,0.050399216,0.051309468,0.052746708,0.05485466,0.053273696,0.051932272,0.055621188,0.054231856,0.057633324,0.058160312,0.05844776,0.061657596,0.062711572,0.066017224,0.07114338,0.06994568,0.073826228,0.067023292,0.061226424,0.077706776,0.099504916,0.081491508,0.088965156,0.083216196,0.07290643905355998,0.07431334427789994,0.099457008,0.078521212,0.08996285730558005,0.09085508163255998,0.08479615849978006,0.081402,0.082909,0.07909610799999998,0.07459276,0.0736825,0.06483905,0.082938,0.08655779,0.08762373,0.08115615,
Armenia,ARM,,,,,,,--,--,--,--,--,--,0.000453474,0.000150745,4.77710905e-05,4.77710905e-05,4.79019702e-05,4.7906761e-05,4.7906761e-05,4.790799999999997e-05,4.790800000000007e-05,4.790799999999997e-05,4.790799999999997e-05,4.790799999999997e-05,4.790800000000007e-05,0.0009581599999999995,0.0007186199999999996,0.0005748960000000005,0.0004311719999999996,0.00038326400000000035,0.0003353560000000007,0.0003353560000000007,0.00033627478356164456,0.0003353560000000007,0.00038326400000000035,0.0003353560000000007,0.000191,0.000287448,0.00076653,0.00143724,0.00249122,0.00354519,0.00431172,0.00680294,0.01058767,
American Samoa,ASM,0,0,0,0,0,0,0,0,0,4.7906761e-05,4.7906761e-05,4.7906761e-05,4.79019702e-05,4.7906761e-05,4.7906761e-05,4.7906761e-05,4.79019702e-05,4.7906761e-05,4.7906761e-05,4.790799999999997e-05,4.790800000000007e-05,4.790799999999997e-05,4.790799999999997e-05,4.790799999999997e-05,4.790800000000007e-05,4.790799999999997e-05,7.53725e-05,7.53725e-05,7.5579e-05,7.53725e-05,7.53725e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00060744821865168,
Asia & Oceania,ASOC,0.2642652241316279,0.250409942063204,0.24794223124976444,0.25380562128159945,1.228995370711114,1.2443421428686205,1.287693607361,1.3689367538049,1.33314887344548,1.4950788522936,1.60386508650445,1.66215978193125,1.78752942087678,1.8977103477822,1.9718629921081,2.1010424727061,2.3224735681203,2.4055643857868,2.40318831144035,2.59141677630101,2.790154582980762,2.8401792220419084,3.0114507226542186,3.12954150513012,3.2303482005083413,3.29066301760405,3.5152644479112127,3.68237425199748,3.654969407056671,3.7941559215448764,4.0510794439839355,4.217366429616169,4.330164846021429,4.527060909516094,4.7766691761005,5.03401576455985,5.79457396822302,6.126274287876922,6.406628476604526,6.7826341076,6.740450216115152,7.252756573478915,7.45939866689628,7.4097701187197,7.791064003996409,
