Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,0,0,0,0.2,0.04298,0.07386,0.07171,0.1,0.4,0.4,0.4,0.5,0.5,0.5,0.246896174863388,0.254246575342466,0.256471232876712,0.262509589041096,0.271934426229508,0.275539726027397,0.277764383561644,0.288252054794521,0.293486338797814,0.295561643835616,0.293972602739726,0.272679452054794,0.303945355191257,0.30827397260274,0.327342465753425,0.340372,0.338808,0.3495890411,0.35902795,0.34622027,0.2736011,0.29784986,0.29873973,0.30191781,0.304365581
Afghanistan,AFG,0,0,0,0,0,0,0,0,0.03169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93610959,19.51978082,21.45523288,21.59506849,19.70410959,19.22739726,19.38630137,19.90507005
Africa,AFRC,73.228355001,76.983770551,82.287390909,82.81733884,87.255933419,92.874126022,93.60668,100.59368,108.59374,114.9852,118.05666,123.3841,134.06542,145.96418,145.13031,164.51074,162.11323,190.20912,211.73176,199.90193134246576,229.49348196794034,245.32919114797048,285.7831317466851,299.15707281085054,296.672985485887,302.5183165358901,315.4116926745207,329.6553935550686,345.36021097231816,368.2328020120552,368.2210499989042,373.7054733698639,385.75286575501184,389.0056362520557,389.0287701787596,388.4084596443024,396.0674889426748,417.25696810815475,409.339236835,430.23468634,455.39952056,470.67283627,469.16910237,500.0333791,513.500072906
Angola,AGO,0.504201681,0.504201681,0.529411765,0.554621849,0.478991597,0.630252101,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,1.3,1.9,1.8,1.7001991420765,2.18260489863014,2.50271832328767,2.6866678739726,2.84076798907104,0.559888991780822,3.70593141917808,5.42415391780822,4.61580067759563,6.40824860273973,5,5,8,8,7.182465753,7.913424658,7.500273973,10.360547945,11.345753425,9.25524274,13.60193753,13.88157699,15.07046575,15.42567663,15.78927879
Albania,ALB,0.360313316,0.34464752,0.336814621,0.34464752,0.336814621,0.328981723,0.3,0.2,0.1,0.1,0.084,0.02538,0.02626,0.02158,0.01491,0.0139,0.01284,0.01172,0.9,0.00809959452054794,0.768968448087432,0.866125939726027,1.2173386739726,1.40818715616438,1.59676871584699,1.82192116164384,2.04451264657534,2.07705407123288,2.32168698907104,2.96465384109589,3.08666367671233,3.21763796164384,2.79188622404372,3.5604352,3.85437240547945,4,4,5.148493150684931,6.229041095890411,5.34680548,5.12052603,5.68241096,5.73377509,5.68876712,5.33917808
United Arab Emirates,ARE,0.505536832,0.92344728,0.997592682,1.004333173,1.031295137,1.246990852,1.4,1.3,2.8,2.9,2.9,3.5,4.6,12,18,16,19,13,3.2,3.1,4.50452101092896,68.8684857753425,54.5885492054795,17.8893502575342,2.5799703715847,2.60032610410959,2.65709926575342,2.60602739726027,4.44573521311475,25.4765958136986,23.5198651013699,38.9653366575342,40.120512147541,43.4005236767123,50.9297500876712,47.8925130356164,49.017,53.04219178082191,48.14794520547945,36.31254466,28.80267288,11.25743452,25.83780822,26.34630137,26.61979639
Argentina,ARG,34.67287671232877,32.82958904109589,32.13041095890411,32.79780821917808,33.43342465753425,34.03726027397261,34.99068493150685,36.38904109589041,35.34027397260274,34.45041095890411,36.89753424657534,35.9758904109589,38.23232876712329,38.58191780821918,38.77260273972603,40.90191780821918,41.60109589041096,43.79397260273973,47.1945205479452,46.4,48.97424657534246,44.4613698630137,40.61589041095891,51.54849315068493,66.00876712328767,54.05917808219178,59.01698630136986,55.20328767123288,48.2319421092896,49.2973858356164,65.97698630136986,52.08876712328767,59.5157764098361,60.2707098958904,56.2513904273973,54,55,52.47013698630136,49.48273973,48.87890411,43.01240627,55.01873717,57.42001007,58.12712329,53.83671233
Armenia,ARM,,,,,,,--,--,--,--,--,--,0.3,0.1,0.03169,0.03169,0.03169,0.03178,0.03178,0.0317808219178082,0.0316939890710383,0.0317808219178082,0.0317808219178082,0.0317808219178082,0.0316939890710383,0.635616438356164,0.476712328767123,0.381369863013699,0.285245901639344,0.254246575342466,0.222465753424658,0.222465753424658,0.222465753424658,0.222465753424658,0.254246575342466,0.222465,0.127123,0.1906849315068493,0.50849315,0.95342466,1.65260274,2.35178082,2.86027397,4.51287671,7.02356164
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.03178,0.03169,0.03178,0.03178,0.0317808219178082,0.0316939890710383,0.0317808219178082,0.0317808219178082,0.0317808219178082,0.0316939890710383,0.0317808219178082,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401863096
Asia & Oceania,ASOC,174.827150486,166.11492392,164.477913861,168.367522161,813.053474319,825.461635788,854.21978,908.114202,881.957206,991.793328,1063.885089,1102.408207,1182.491367,1258.887756,1308.078538,1393.772578,1536.454285,1595.783864,1594.207643,1719.0731210328768,1845.8530985145405,1884.0951421791162,1997.7118462769702,2076.0499553007526,2137.0673395863078,2182.9334423324494,2331.590738256999,2442.506963736827,2417.9782666078095,2518.0926603726,2687.3723453654325,2797.328453740668,2865.9784885526174,3002.2403777873405,3168.1094776035643,3339.32648220726,3841.343237501507,4064.1747812205954,4250.387424108811,4499.679007663286,4469.468779683614,4811.455062055859,4948.645619639317,4915.88357875,5166.601137450428
