Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,,,,,,,0,0,0,318.0887890064038,68.35728075747618,117.47018978006493,114.36320306618649,159.0443945032019,636.1775780128075,636.1775780128075,637.9205302813358,795.2219725160095,795.2219725160095,795.2219725160095,393.75034698321474,404.36492629855206,407.9031194036635,417.5067864032548,433.68138345519634,438.23048887605495,441.76868198116796,458.4487351909837,468.0524021905732,470.0742268220656,467.54694603270036,433.6813834551958,484.7324554003891,490.2924731369944,520.6198426093858,541.24365239406,538.0784848362,556.0017736670446,571.0173285549964,550.6442000409043,435.1472358545928,473.7095272678538,475.1338526688908,480.1875702029406,484.0807262991084,
Afghanistan,AFG,0,0,0,0,0,0,0,0,50.53925401153883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31707.266471474548,31045.113418370234,34123.344373974345,34345.75014770665,31338.281788137756,30580.09755132797,30832.825630264564,31657.898298018754,
Africa,AFRC,116784.67763466958,122438.37173857221,130873.48262370186,131716.33510174305,139155.87829210353,147711.09138183057,148876.1774205498,159988.6092644885,173185.44051508378,182877.51510829572,187762.50006770375,196235.49475822513,213807.709546975,232147.84627256374,230821.62278011988,261645.11032573678,258538.3941180504,302516.94319386873,336747.4956629726,317932.81630383106,365990.00066920696,390182.3266008924,454522.05147880287,475792.55506552086,473130.17763794685,481138.4247957859,501644.6168064916,524298.4246268064,550700.8802054134,585653.6303222467,585631.8797421169,594356.0775154368,614729.2902192125,618688.4408400581,618436.2458159053,617857.2685638076,629111.475896203,663049.8595343139,648890.1991944306,684264.1540233081,724287.4129273676,748578.7762152443,746187.1228557327,795275.0766422395,816693.0991825891,
Angola,AGO,804.1015092806523,801.9045106214156,841.9997360729642,882.0949615245128,763.8964338963598,1002.3806378791585,954.2663670192114,954.2663670192114,1116.3609279923378,1113.3107615224133,1113.3107615224133,1113.3107615224133,1116.3609279923378,1113.3107615224133,1113.3107615224133,1113.3107615224133,1275.8410605626716,2067.577128541625,3021.843495560836,2862.7991010576343,2711.479845743283,3471.3107454235296,3980.4332033935616,4272.994652471769,4530.460554986104,890.4720568678902,5894.076186335695,8626.812755499786,7361.2850398118835,10191.9601884873,7951.95596119694,7951.95596119694,12722.91852674458,12722.91852674458,11132.94935684624,12722.91852674458,11132.94935684624,15903.91192239388,15903.91192239388,14719.949345700768,21633.11841552511,22077.866659638545,23968.72720814558,24533.670580157046,25111.959353648297,
Albania,ALB,574.6281540253664,548.1425613543016,535.6847745677043,548.1425613543016,537.1524040870679,523.2269893715509,477.1331835096057,318.0887890064038,159.48013257033395,159.0443945032019,133.5972913826896,40.36546732491264,41.8794828129697,34.32178033379097,23.713519220427404,22.107170835945062,20.47724902203088,18.640003035775262,1431.3995505288171,12.88195106241999,1226.3519004338762,1377.524756472427,1936.1089230730288,2239.6427359934964,2546.528864874399,2897.6634798621476,3251.6827592871377,3303.438071096438,3702.6294880386895,4715.115750686876,4909.165554977395,5117.472813401613,4452.503851317816,5662.672605518866,6130.1632541932895,6360.93173544598,6360.93173544598,8188.38975754567,9906.940694314517,8503.792374351306,8143.912823022622,9037.555680750289,9119.248655418656,9047.663115818388,8491.659232046175,
United Arab Emirates,ARE,806.2308098654664,1468.6911350322875,1586.6152406951524,1597.3356137926453,1644.7108516790072,1983.2690500737185,2226.6215230448265,2067.577128541625,4465.443711969351,4612.287440592855,4612.287440592855,5566.5538076120665,7336.086098235362,19085.32734038423,28627.99101057634,25447.103120512304,30301.225188363453,20675.771285416246,5089.42062410246,4930.376229599259,7183.816079888053,109531.4662049172,86820.0275519373,28452.00879765226,4114.540168878617,4135.672907389797,4225.96743856655,4144.740494560148,7090.064411601422,40519.09755192502,37407.02703844365,61972.183753109435,63984.24596079533,69026.10009284585,81000.91264893059,76170.35736986314,78172.3765820006,84360.63274903534,76576.60791778822,57753.071586114595,45809.0374920082,17904.31892007845,41093.5814148669,41902.313377575716,42337.291804493885,
Argentina,ARG,55145.26682396499,52213.62110830049,51101.617560979466,52163.07549251317,53173.987808259546,54134.3545082186,55650.722981838175,57874.730076480206,56206.72475549868,54791.44751345375,58683.45992907731,57217.637071245066,60806.37579214471,61362.37756580522,61665.65126052913,65052.2075182795,66164.21106560051,69651.85855492552,75060.23944416866,73796.59904948568,77890.79392825851,70713.31648645923,64597.29697619363,81984.98880703136,104983.24399026149,85978.09245422955,93863.2085170513,87797.73462257304,76920.36521714178,78404.72880816332,104932.69837447416,82844.26427541579,94915.83911867016,95857.18561670027,89464.68330488612,85883.65651497323,87473.62568487159,83450.81166486358,78699.52800107902,77739.15286067314,68408.8191808208,87504.22230459756,91323.30292935291,92447.92916489467,85624.27103360661,
Armenia,ARM,,,,,,,--,--,--,--,--,--,478.4403977110019,159.0443945032019,50.40116861806468,50.40116861806468,50.53925401153883,50.54430857311756,50.54430857311756,50.54561578731893,50.545615787319036,50.54561578731893,50.54561578731893,50.54561578731893,50.545615787319036,1010.9123157463786,758.1842368097839,606.5473894478281,454.91054208587025,404.36492629855206,353.8193105112335,353.8193105112335,354.78867848523686,353.8193105112335,404.36492629855206,353.8193105112335,201.51566785042,303.27369472391376,808.7319627088086,1516.3684736195687,2628.3762411639964,3740.373458149898,4549.105420858707,7177.481662022703,11170.583199109195,
American Samoa,ASM,0,0,0,0,0,0,0,0,0,50.54430857311756,50.54430857311756,50.54430857311756,50.53925401153883,50.54430857311756,50.54430857311756,50.54430857311756,50.53925401153883,50.54430857311756,50.54430857311756,50.54561578731893,50.545615787319036,50.54561578731893,50.54561578731893,50.54561578731893,50.545615787319036,50.54561578731893,79.52219725160094,79.52219725160094,79.74006628516698,79.52219725160094,79.52219725160094,0,0,0,0,0,0,0,0,0,0,0,0,0,640.8917982520484,
Asia & Oceania,ASOC,278814.57136401004,264196.4749280185,261592.90219172544,267779.1061610067,1296658.7587116475,1312850.4604952503,1358588.6768275835,1444304.7339684837,1406546.5213424133,1577391.6932407552,1692167.2463294026,1753671.4059161483,1885943.3772264859,2002190.4090051458,2080425.5903884359,2216717.1574317673,2450339.330600577,2538004.784078599,2535497.8929331168,2734089.436414034,2943768.9224883686,2996547.7107050344,3177248.709813062,3301841.081004737,3408197.7749468107,3471833.2757233432,3708800.329275738,3885110.506107136,3856196.864062192,4003046.410778751,4274115.076803827,4449557.134209652,4568565.76360429,4776302.107752175,5039652.770274385,5311167.794580214,6113599.178613195,6463561.542179969,6759350.86980356,7156057.8114034105,7111551.449806035,7652063.270477106,7870082.220534746,7817721.330324012,8220007.675553422,
