Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,AFRC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360.9,375.8,380.8,390.4,369.2,378.1,367.1,393,399.3,390.6,367.9,361.2,351.3,NA,NA
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,4,19,21,21,19,16,17,17,20,NA
Albania,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
United Arab Emirates,ARE,11.3773411,27,33,50,46,46,58,61,51,62,72,81,96,106,84,94,99,102,126,183,241,246,212,198,190,193,137,154,153,127,119,122,126,127,NA
Argentina,ARG,11.86169638,16,20,21,23,23,22,22,22,22,23,23,24,27,26,31,31,34,33,37,40,52,47,62,70,69,75,63,63,64,63,45,52,51,NA
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.3,233.7,210.2,229.6,233.6,263.2,279.5,298,272.7,281.5,320.6,305.5,324.1,318.4,328,370.2,409.9,416.8,NA,NA
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Australia,AUS,50.44724164,49,50,48,51,63,65,64,64,62,61,58,26,31,33,33,30,8.6,21,19,48,53,59,62,67,55,62,63,53,56,54,63,62,58,62
Austria,AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
