Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,NA,NA
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Africa,AFRC,NA,NA,NA,NA,NA,NA,107.4,127.5,118.5,123.6,128.3,135.3,126.1,130.9,137.2,129.1,128.2,171,223.4,238.4,295.1,298.9,286.9,312.9,288,280.4,290.2,315.6,318.7,298.2,267.6,259.4,249.9,NA,NA
Angola,AGO,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,14,14,14,14,NA,NA
Albania,ALB,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
United Arab Emirates,ARE,11.7385331,28,35,53,50,50,89,92,113,104,139,170,92,84,102,131,131,115,115,88,202,207,255,196,203,211,219,227,236,145,130,135,126,NA,NA
Argentina,ARG,NA,0.060210332,0.8,0.7,1.5,0.8,0.5,0.01236,1.5,4.4,7.5,6.3,8.8,13,16,12,19,19,23,26,25,48,45,49,57,65,35,47,49,49,39,38,29,NA,NA
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317808219178082,0,0,NA,NA
American Samoa,ASM,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Asia & Oceania,ASOC,NA,NA,NA,NA,NA,NA,NA,74.9,91,144.8,157,135.7,134.5,109.2,99.3,137.8,184.5,220,214.4,227,200.5,204,202.2,179,177.6,199.9,141.8,164.1,145.8,151.3,115.6,121.5,123.1,NA,NA
Antarctica,ATA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Australia,AUS,45.22646112,42,43,38,47,43,44,39,37,31,36,24,25,25,22,20,37,47,45,44,50,52,56,55,47,52,48,48,41,48,44,37,39,41,NA
Austria,AUT,1.902651595,2.4,1.8,1.6,0.8,1.1,0.0953424657534246,0.1,0.0316939890710383,0.0317808219178082,0.4,0.2,0.0316939890710383,0,0.2,0.3,0.2,0.3,0.6,0.6,0.5,0.2,0.3,0.3,0.5,0.6,0.7,0.7,1.1,0.2,0.1,0.7,0.4,0.4,NA
Azerbaijan,AZE,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0.4,0,0,0.1,0.3,0.3,0.5,0.5,1.5,1.5,3.1,3.5,5,3.5,2.9,NA,NA
Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Belgium,BEL,7.112989808,9,8.7,7.6,5.9,7.1,9.3,7.5,6.7,6.8,6.2,9.1,9.2,11,9.3,11,15,13,13,11,15,8.7,10,11,12,12,12,11,31,19,18,36,27,23,NA
Benin,BEN,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.2,0.1,0.2,0,0,0,0,NA,NA
Burkina Faso,BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Bangladesh,BGD,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Bulgaria,BGR,1.053782631,0.7,0.9,0.9,0.9,1,0.5,0.5,0.5,0,0,0,1,1.5,0.4,0.5,0,0,0,0.0953424657534247,0.0633879781420765,0,0,0,0.0316939890710383,0.0317808219178082,0.2,0.2,0.4,0.9,0.5,0.4,0.6,NA,NA
Bahrain,BHR,1.143748144,0.3,0.4,0.7,0.8,0.4,5.4,5.4,4.9,4.9,5.1,4.7,7.2,0.7,0.8,0.8,0.8,0.6,6.1,0.6,9,8,8.6,5.2,5.2,5.2,5.2,5.4,4.8,4.8,7.3,8.1,7,NA,NA
The Bahamas,BHS,NA,NA,NA,NA,NA,NA,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Bosnia and Herzegovina,BIH,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635616438356164,0,0,NA,NA
Belarus,BLR,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0.2,0,0,1.2,2,0.7,1.3,2.2,5.7,8.4,10,7.8,8.8,7.3,7.6,7.4,9.4,NA,NA
Belize,BLZ,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0.03178,0.03169,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
