Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,0.2,0.2,0.5,0.5,0.5,0.7,0.8,1.1,1.1,1.1,1,1.2,1.2,1.2,1.18860655737705,1.21523287671233,1.26197260273973,1.28534246575342,1.2818306010929,1.30871232876712,1.30871232876712,1.33208219178082,1.34032868852459,1.36386520547945,1.38606657534247,1.28534246575342,1.40535245901639,1.41621369863014,1.43280630136986,1.467627,1.461286,1.5190410959,1.53306301,1.4325726,1.35545205,1.47697534,1.5190411,1.42789863,1.439475188
Afghanistan,AFG,1.286998448,1.470855369,1.434083984,2.022426132,2.022426132,2.390139974,2.5,2.9,2.5,2.6,2.6,2.5,1.9,1.9,1.8,1.8,1.6,1.5,1.4,1.4,0.302978142076503,0.444027397260274,0.280438356164384,1.7527397260274,0.839016393442623,2.24350684931507,1.98643835616438,4.83756164383562,13.0047540983607,21.7807123287671,25.4965205479452,37.1580821917808,29.3888797814208,21.7807123287671,16.6627123287671,20.373846,13.526808,13.3021260274,18.0672411,19.60497808,23.98215342,21.7339726,20.79917808,20.93939726,21.49972608
Africa,AFRC,340.801860382,366.368850961,387.821615712,384.605447391,401.799272658,414.637335227,410.7,402.2,414,433.9,443.4,502.8,511.1,503.9,504.5,522.3,514.3,514.8,527.6,522.8,565.7351981730669,603.5438401013696,617.6839369698628,621.8762800657543,649.589489488241,678.5319488082192,673.1811335589026,703.3224432426019,763.6449512097463,806.8784713033975,836.8841695726039,893.6543757984645,910.3619730573195,1053.8746957232868,1116.7722757693655,1146.9115716299034,1208.168898657274,1187.9967635018422,1257.6798414281,1250.6647752281,1183.8886070712333,1294.6298661059702,1316.375522869586,1294.13346214,1325.301233556
Angola,AGO,1.512605042,1.512605042,1.588235294,1.663865546,1.43697479,1.890756303,1.8,1.8,1.6,1.6,1.7,1.6,1.7,1.8,1.6,1.7,1.7,1.5,2.5,3.8,3.28614754098361,3.50547945205479,4.22994520547945,3.4821095890411,8.48338797814208,7.59520547945205,8.10934246575343,10.4930684931507,14.2399726775956,17.527397260274,21,23,23,22,24.58509589,22.575287671,19.210027397,15.12030137,29.53333721,25.95714055,17.38717808,24.37039696,28.15813762,30.61452055,31.33614243
Albania,ALB,5.644908616,5.399477807,5.276762402,5.399477807,5.276762402,5.154046997,4.7,4.9,5,4.9,4,1.9,2.8,2.3,3.5,3.6,3.6,4.1,3.2,2.9,2.35390710382514,2.45383561643836,3.29515068493151,3.3886301369863,3.63573770491803,4.22994520547945,4.04298630136986,3.66906849315068,2.26068306010929,2.29024657534247,2.75764383561644,2.78101369863014,2.33060109289617,2.61742465753425,2.80438356164384,3,2,2.477205479452055,2.453835616438356,2.559,1.91936685,1.92567671,1.97788758,1.96306849,2.07991781
United Arab Emirates,ARE,7.944150217,14.511314396,15.676456428,15.78237843,16.206066442,19.595570534,22,21,21,22,23,30,33,26,25,27,27,27,39,35,45.5166393442623,55.5034246575342,65.8329041095891,72.4933150684931,71.9922677595628,75.2743287671233,79.0368767123288,79.3874246575342,86.9547267759563,114.302,117.784109589041,118.485205479452,123.032431693989,169.96901369863,177.470739726027,169.828794520548,173.815,180.4153424657534,204.0656438,190.1839452,157.5362466,186.117589,182.3316712,194.4606301,196.4792821
Argentina,ARG,120.321500335,116.463496316,112.846617549,115.016744809,111.640991293,100.066979236,108,108,100,99,91,102,109,124,125,120,128,103,94,87,84.064781420765,80.2053698630137,62.0703561643836,53.9376438356164,56.2840163934426,54.4985205479452,78.242301369863,79.7847123287671,99.0272404371585,103.575232876712,114.979726027397,117.854219178082,133.939644808743,138.793616438356,122.341232876712,146,148,157.7933150684931,166.69723288,161.85967123,143.86501693,150.82909589,153.91391781,192.6845206,192.6845206
Armenia,ARM,,,,,,,--,--,--,--,--,--,13,9.1,6.2,8.9,10,11,13,0.5,4.35822404371585,4.34679452054795,4.15983561643836,4.48701369863014,4.42814207650273,4.30005479452055,4.01961643835616,3.94950684931507,4.61459016393443,4.30005479452055,4.41690410958904,3.83265753424657,3.17830136986301,3.08482191780822,3.01471232876712,3,3,3.318520547945206,3.24841096,4.08972603,5.16473973,5.28158904,5.25821918,5.14136986,4.95441096
American Samoa,ASM,0.175,0.20625,0.2875,0.18125,0.20625,0.19375,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.419508196721311,0.420657534246575,0.444027397260274,0.444027397260274,0.442814207650273,0.584246575342466,0.6,0.6,0.6,0.6,0.6,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.2983,0.3454,0.3453785811732606,0.35054795,0.350488282
Asia & Oceania,ASOC,1608.125232438,1618.528589923,1622.716854673,1635.540064283,1662.800122781,1700.299364751,1744.058904,1832.765753,1937.447541,2084.549316,2187.841095,2294.932877,2432.668307,2616.969863,2757.230137,2834.060274,2977.925136,3135.938356,3144.063015,3300.835617,3369.501333607652,3465.088087559507,3592.093086388094,3745.085393501392,3988.2583526240983,4059.552114352178,4139.5730035342685,4336.694301255537,4465.641168287916,4664.263244451654,4967.083994149462,5246.507999713848,5491.7140996258695,5929.05710107952,6157.3114266081175,6382.223294975671,6651.832504329799,6863.268588549327,7044.145679005992,7269.042146098124,6732.595499900317,7185.642484139589,7152.446428275024,7664.59105027,7880.258865346242
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103103412722961,0.0001034,0.0001034,0.0001034,0.0001034,0.0001034,0.0001034,0.000103,0.000103,0.0001034,0.0001034,0.0001034,8.418913426364991e-05,8.959065840759491e-05,9.428219762106387e-05,9e-05,9e-05
Antigua and Barbuda,ATG,0.375551591,0.335313921,0.456026932,0.268251137,0.29507625,0.29507625,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.675874316939891,0.67772602739726,0.747835616438356,0.747835616438356,0.769098360655738,0.771205479452055,0.794575342465753,0.817945205479452,0.839016393442623,0.888054794520548,0.864684931506849,0.864684931506849,0.885628415300546,0.888054794520548,0.911424657534247,0.934794,0.955546,0.9581643836,1.16849315,1.16849315,1.12175342,1.21523288,1.21523288,1.23860274,1.249848533
Australia,AUS,255,257,260,258,266.934426,272.706849,275.627397,278.060274,286.893443,297.983562,297.887671,289.610959,291.213115,296.147945,301.6,302.857534,305.811475,305.539726,308.413699,315.309589,307.978142,313.252055,325.073973,337.29863,335.909836,327.890411,326.887671,331.186301,328.213115,332.586301,333.632877,331,331.806011,324.627397,319.556164,318.09589,317.849727,321.065753,315.139726,303.767123,259.355191,263.430137,270.350685,273.558904,275.696721
Austria,AUT,57,57,57,58,56.562842,56.252055,57.019178,57.961644,59.101093,60.09589,59.060274,64.610959,61.800546,59.49589,57.435616,55.39726,51.251366,48.734247,51.024658,47.575342,45.734973,46.073973,49.657534,50.835616,49.86612,48.772603,46.117808,45.515068,43.978142,43.224658,42.906849,39.80274,39.598361,38.553425,37.569863,37.978082,37.808743,37.476712,38.389041,38.19726,31.830601,33.438356,34.79726,39.394521,39.948087
Azerbaijan,AZE,,,,,,,--,--,--,--,--,--,22,21,25,16,17,11,18,19,7.48122950819672,9.23109589041096,9.30120547945205,10.5398082191781,10.9305191256831,13.4610410958904,16.826301369863,18.532301369863,22.1873224043716,23.2997534246575,24.6552054794521,27.4362191780822,29.4927671232877,30.7781095890411,32.4607397260274,30,29,30.54441095890411,30.33408219178082,31.51426027,27.35442466,32.91177808,36.17654795,37.3450411,38.1629863
Burundi,BDI,0.276573257,0.316083723,0.276573257,0.316083723,0.395104653,0.395104653,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.792404371584699,0.467397260273973,0.521147945205479,0.469734246575342,0.389210382513661,0.415983561643836,0.577235616438356,0.607616438356164,0.45679781420765,0.539843835616438,0.86935890411,0.90441369863,1.156808219178,1.068002739726,1.219906849315,1.217569863014,1.443089041096,1.642901369863,2.24423132,2.24820419,2.51160592,2.61160556,2.68753425,2.70372956,2.807948698
Belgium,BEL,74,61,65,62,59.84153,57.928767,62.969863,65.682192,67.740437,66.60274,63.131507,63.383562,67.027322,65.720548,65.728767,65.586301,63.237705,58.690411,58.156164,55.427397,51.830601,50.608219,48.317808,48.734247,44.606557,41.479452,38.589041,36.490411,33.385246,32.443836,30.290411,29.221918,28.412568,28.435616,29.860274,31.660274,34.02459,35.90411,40.167123,44.994521,37.68306,45.945205,51.838356,56.336986,62.172131
Benin,BEN,1.321097039,1.321097039,0.880731359,1.321097039,1.321097039,1.541279879,1.5,1.1,1.4,1.5,2.1,2.4,2.5,3.1,3.4,3.7,4.1,4.1,4.6,1.6,5.15062841530055,5.25821917808219,6.33323287671233,7.50172602739726,7.57445355191257,7.82890410958904,10.4463287671233,11.6381917808219,11.7229234972678,11.9653698630137,13.6713698630137,13.9985479452055,14.3331967213115,15.8447671232877,16.8496712328767,18,27.249260273973,28.277534246575,30.66126027,26.78186301,27.83350685,23.04268493,24.23454795,31.57268493,32.37469739
Burkina Faso,BFA,1.748363823,1.748363823,1.748363823,1.748363823,1.748363823,1.690085029,2,1.3,2.1,1.7,1.5,1.3,1.3,1.3,1.6,1.6,1.6,1.6,1.6,1.6,1.88079508196721,2.07524383561644,2.33464931506849,2.2645397260274,2.20008743169399,2.33464931506849,2.2411698630137,3.4539722739726,3.88704642076503,3.11508589041096,3.61950101369863,3.8970181369863,4.42965696721311,5.97081304109589,4.84457260273973,7.340473,6.503832876712,8.539347945205,9.88545205,10.00230137,10.03034521,12.60570411,12.26450411,13.97751507,14.30859189
Bangladesh,BGD,1.023255814,1.055232558,1.087209302,0.959302326,0.99127907,1.023255814,1.1,1.4,1.6,1.7,2.2,1.8,2.4,2.8,2.7,3.1,4.6,5.2,6.6,6.4,6.26931693989071,6.19301369863014,6.00605479452055,6.7772602739726,5.66336065573771,5.79572602739726,6.12290410958904,4.81419178082192,4.59128415300546,3.80928767123288,4.51038356164384,6.21638356164384,5.3603825136612,5.49191780821918,3.87939726027397,7,7,3.692438356164383,5.30909537,8.04514545,9.64857512,10.68722532,15.91487671,19.81764384,20.31816343
Bulgaria,BGR,42.782243971,41.104508913,41.244320168,41.244320168,41.104508913,40.545263894,40,41,40,33,31,17,20,21,23,27,23,20,19,18,15.4285792349727,13.648,14.4192054794521,13.7648493150685,13.2145081967213,12.7132054794521,14.1855068493151,13.9518082191781,14.2166666666667,14.6295342465753,13.9050684931507,12.5729863013699,11.9559836065574,9.86208219178082,11.2642739726027,13,12,12.19439452054795,11.96665520547945,11.66726389,11.17289781,11.9005886,11.66156164,11.93015148,12.78331507
