Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,4,4,0.9586191780821918,5,15,5,10.027397260273972,10,0.9585,0.9585,0.9586191780821918,0.9585,0.9585,0.95890410958904,0.9589041095890416,0.95890410958904,0.95890410958904,0.95890410958904,0.9589041095890416,0.95890410958904,0.95890410958904,1.91780821917808,1.352054794520548,1.42876712328767,1.534246575342465,0.95890410958904,0.9589041095890416,0.95890410958904,0,0,0,0,1,0.94,0.88,0.96,1.2,1,1.008107409
Afghanistan,AFG,2.5172970106849317,2.8690505,2.7973242,3.9449444,3.955752466849315,4.66220705,4.8765,3.397,30.08219178082192,30,30,25,15.04109589041096,15,10,10,10.027397260273972,10,10,10,7.3287671232876646,7.32876712328765,7.32876712328765,6.36986301369865,10.205479452054794,10.2054794520548,10.2054794520548,10.2054794520548,10.205479452054794,10.2054794520548,10.2054794520548,10.2054794520548,10.205479452054794,10.2054794520548,10.2054794520548,26.4,26.1,60.8,241,231.5,209.4,171,147,152.2,156.272803325
Africa,AFRC,5394.24493839863,5880.44594345,6211.02818915,6337.28684525,6720.99755113726,6944.89277385,7010.9395,8086.418,8396.022953424657,8951.6015,9290.5845,7928.0715,8263.81573150685,9277.1895,8972.6895,11302.6845,15294.450115068494,13957.6895,13132.6795,13402.682191780821,12164.61433997918,12352.385495639126,13255.732195989041,12574.972626779563,13027.22978935733,13800.855061917806,12583.455774191787,15284.329446575335,16653.245760189544,17437.379231643823,18165.534573150682,15595.141430000001,15582.349384016887,14553.624633698628,16144.903953549203,14192.937124521402,15671.640273972604,14874.6,14466.6,16344.279796,16986.84205399513,16579.45799332129,17054.443426,17352.23137117,17348.672964631
Angola,AGO,37.918729135068496,37.81512605,39.70588235,41.59663865,36.022792680821915,47.26890755,45,50,50.136986301369866,50,55,55,90.24657534246575,55,55,55,55.15068493150685,75,170,125,307.1495819178082,345.182764931507,388.49306630137,370.9243742465755,293.40267287671213,255.080914520548,262.524578630137,231.9604438356165,224.9088854794522,320.689495890411,297.734644931507,248.7390575342465,341.40682849314953,286.902768767123,388.4552224657535,300,365,382,296,433.91,264.945,203.534,278.377,258.787103,264.887033074
Albania,ALB,517.8640151531507,493.99477805,482.767624,493.99477805,484.09027502465756,471.54046995,430,380,315.86301369863014,150,80,390,240.65753424657535,325,195,250,10.027397260273972,105,55,60,320.1567309589039,337.6832087671235,425.466450410959,398.301317260274,436.3468904109587,407.8578126027395,424.1367243835615,430.693869589041,323.2114909589042,330.3596898630135,308.011007671233,210.6453983561645,144.70636219178098,244.75469369863,268.0105073972605,167,244,587.8272506082725,449.8272506082725,194.3,108.83,139.795,184.435542,117,137
United Arab Emirates,ARE,217.25222757123288,395.7631199,427.53972075,430.42850265,443.19454430547944,534.42465095,600,265,295.8082191780822,305,310,345,330.90410958904107,700,385,485,330.90410958904107,850,700,800,2192.3301945205476,3510.56130739726,2820.683326027395,2391.37605369863,2435.040384657535,2440.730206027395,2491.121667945205,2217.708561643835,2647.4163813698647,2409.354040547945,2250.30804328767,3494.34196438356,3703.7631819178096,3704.964322739725,1597,2249,1587,2453,2561,6061.282,6230.194,6029.722,1708,1737,577.93780305
Argentina,ARG,3909.990916490959,3774.2799732,3657.06630945,3727.3945077,3627.907403510137,3242.91136415,3500,3000,3459.4520547945203,3200,3250,2400,3258.904109589041,5150,2400,2300,2105.753424657534,2800,4400,2750,6076.617851506846,7408.53113863015,7110.5079747945,7919.8131479452,8166.741491506865,8525.40501150685,8110.7837052055,8558.44056328765,8531.862276164404,8548.7198547945,10620.8004317808,10071.56124164385,10746.897669589056,10355.0498652055,11053.2472750685,10953.1101490411,8504,9275,8746,8398,4541.519618,8714.107978,8562.206854,8936,10266
Armenia,ARM,,,,,,,--,--,--,--,--,--,100.27397260273973,50,40,30,65.17808219178082,115,65,15,23.052054794520533,22.84794520547945,0,0,8.63013698630139,35.5808219178082,38.07123287671235,53.3,45.67123287671234,43.75342465753425,38.1904109589041,36.53013698630135,62.915736535935594,34.1068493150685,31.74520547945205,42,25,33,33,42.022,60.587647,72.25608,67,80,80
American Samoa,ASM,0,0,0,0,0,0,0,0,0,4.8765,4.8765,4.8765,4.876323287671233,4.8765,4.8765,4.8765,4.876323287671233,4.8765,4.8765,4.876712328767125,4.8767123287671215,4.876712328767125,4.876712328767125,4.876712328767125,4.8767123287671215,6.0958904109589,6,6,6.016438356164383,6,6,0.09,0.09024657534246576,0.09,0.09,0.09,0.0913721005479452,,0,0.082125,0.07801875,0.0903375,0.090331898,0.0985,18.49685107
Asia & Oceania,ASOC,101265.64637918219,109015.19962015,123548.01860475,106566.47628825,93423.69734366027,91395.1944783,96180.376,97531.747,109768.0596739726,114432.819,115627.696,119874.3515,132109.00633150685,131457.878,148785.138,153283.1245,177525.23410958904,161600.7925,179024.294,185782.29589041095,205745.17440534933,207552.96921845764,221137.30565725596,241492.6966384783,265488.4037253051,270597.1706403106,287505.4516371257,306459.4187389293,297856.3626422336,311256.6563318451,328689.5165425274,340450.05626274185,358235.9667481999,368730.9573463559,388215.1793038475,402115.87939804496,421047.76896749955,439055.28104891087,421606.3471402982,445961.1607622438,449138.08959701745,471334.08402646746,465326.629902898,465823.75507926,468980.8453311594
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14471870423020594,0.1041673287671235,0.1041673287671235,0.1041673287671235,0.10442556164383578,0.1041673287671235,0.1041673287671235,0.1041673287671235,0.10027397260273972,0,0,0,0,0,,0,0
Antigua and Barbuda,ATG,4.5911439090410955,4.08803555,5.55972835,3.27042845,3.6073273857534245,3.5974713,3.6575,5,5.013698630136986,5,5,5,5.013698630136986,5,5,5,5.013698630136986,5,5,5,6.013698630136995,6.013698630137,6.013698630137,7.23287671232875,7.232876712328756,7.23287671232875,8.1917808219178,8.1917808219178,7.947945205479431,7.94794520547945,5.66438356164385,5.4205479452055,6.257534246575347,6.25753424657535,8.2972602739726,6.6232876712329,6.668219178082192,0,6.8,6.8,6.6,6.6,6.8,6.8,6.861740048
Australia,AUS,3860.5479452054797,4350,5700,5350,3994,3847,4005,4334,4781,4929,5080,4778,4525,4984,4889,5279,5395,5792,5801,5887,5826,5389,5733,6262,6318,6343,6240,5913,5935,5940,6707,7669,7702,7374,6918,6268,6148,5942,6222,6021,5843,5765,5183,4879,4824
Austria,AUT,1303.5616438356165,1950,1450,1700,1736,1524,1640,1781,1698,1701,1816,1702,1830,1680,1731,1579,1786,2006,1899,1827,1848,1968,2030,1911,2112,1663,2082,1991,1911,1865,1879,1793,1848,1828,1860,1726,1755,1590,1786,2039,1990,2086,1846,1825,2040
Azerbaijan,AZE,,,,,,,--,--,--,--,--,--,1654.5205479452054,1350,1300,460,416.13698630136986,260,600,550,1117.973179726026,904.05447561644,989.37929369863,841.533062465755,1192.559677260275,1264.33051561644,1153.44370958904,822.84292931507,1063.294654246577,1090.80810849315,1100.716906849315,1089.038702465755,1151.0684813300786,1119.331995068495,1081.537996164385,1091.44499068493,1002.7397260273973,1223,1339,785,835,899,803,891,806
Burundi,BDI,0.05546619698630137,0.06321675,0.05531465,0.06321675,0.07923744575342466,0.07902095,0.08,0.146,30.08219178082192,35,40,40,45.12328767123287,50,50,50,50.136986301369866,50,50,50,16.569863013698605,11.2054794520548,8.8904109589041,6.7178082191781,6.244657534246575,2.61068493150685,3.85358904109589,43.6849315068493,7.792082191780846,4.91168493150685,7.3358219178082,16.51124657534245,8.372863013698616,19.5960684931507,7.0395205479452,6.63223287671235,7.26986301369863,0,6,4.44,17.773,7.688,16.194,11.35,11.787502045
Belgium,BEL,2907.945205479452,4950,3750,3800,2916,3233,3431,3600,3618,3576,3443,3848,3835,3748,5707,5675,6151,6010,5817,6326,7234,6898,7060,6911,7095,7365,6949,6711,7633,6460,7096,6449,6786,7168,7653,7133,7456,6939,6440,5553,5241,5949,5018,4555,5076
Benin,BEN,3.8067935753424655,3.7963925,2.53092835,3.7963925,3.8067935753424655,4.4291246,4.3105,10,1.2188301369863013,1.219,0.45,1.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66301369863015,31,27,27,27,34,32.2,121.262,157,32,32.81286716
