Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,--,--,--,--,--,--,178.6842591997232,178.6842591997232,42.822539422565995,223.355323999654,670.065971998962,223.355323999654,447.9345127883472,446.710647999308,42.81721561073367,42.81721561073367,42.822539422565995,42.81721561073367,42.81721561073367,42.83526761637195,42.83526761637202,42.83526761637195,42.83526761637195,42.83526761637195,42.83526761637202,42.83526761637195,42.83526761637195,85.6705352327439,60.397727339084526,63.82454874839423,68.53642818619517,42.83526761637195,42.83526761637202,42.83526761637195,0,0,0,0,44.787120943719,42.1072790780642,39.4168866538832,43.0040765527912,53.755095690989,44.787120943719,45.150271168190805,
Afghanistan,AFG,112.45033788497867,128.16354079977387,124.95945060461459,176.22486692452412,176.70767477911187,208.26575324124423,217.83844749686256,151.74760712536494,1343.8035383650415,1340.131943997924,1340.131943997924,1116.77661999827,671.9017691825208,670.065971998962,446.710647999308,446.710647999308,447.9345127883472,446.710647999308,446.710647999308,446.710647999308,327.3838310679857,327.38383106798506,327.38383106798506,284.5485634516149,455.889633917102,455.88963391710223,455.88963391710223,455.88963391710223,455.889633917102,455.88963391710223,455.88963391710223,455.88963391710223,455.889633917102,455.88963391710223,455.88963391710223,1189.3338660388001,1175.8961471719053,2730.192296109384,11123.707067577288,10616.847685420114,9606.325740339205,7879.37866909521,6800.383599179262,7037.560154848238,7225.882349261646,
Africa,AFRC,240966.66518990393,262685.78179234517,277453.2427117165,283093.3513199118,300234.11712702876,310235.7551292245,313186.13271289447,361228.9024773268,375059.2854141393,399877.5706696577,415020.3022287327,354155.39571498457,369153.44803683,414421.93331573764,400819.5940841587,504902.9517126735,683219.3721695337,623504.8521118137,586650.7769412228,598712.0846819197,543406.2754473774,551794.2129094207,592147.6718975555,561737.4170682259,581940.2260839702,616498.8907653834,562116.3682959847,682767.2711314572,743918.2204826,778946.2975977287,811473.7720425974,696651.5733836156,696080.1390685801,650125.9090858205,727633.5798261305,633558.61938832,668525.0266322892,634056.6277673262,616068.1873344673,721217.9389353401,730386.185847238,730005.8273950798,758781.9662707556,772047.9882850228,772799.6124261488,
Angola,AGO,1693.8700063236686,1689.2419461971012,1773.7040433952786,1858.166140593456,1609.1765061194687,2111.5524321879884,2010.197915996886,2233.55323999654,2239.672563941736,2233.55323999654,2456.908563996194,2456.908563996194,4031.4106150951247,2456.908563996194,2456.908563996194,2456.908563996194,2463.6398203359095,3350.32985999481,7594.081015988236,5583.88309999135,13720.698877122062,15419.68166007463,17354.39893907231,16569.586757842557,13106.609812548506,11394.736061773008,11727.252463561379,10361.920017601533,10046.919397332826,14325.541251577692,13300.123616919738,11111.43855738604,15251.006558756342,12816.252174875714,16912.909311767755,14651.29897148249,12340.524083520988,13569.659931599877,13569.659931599877,19700.962980946526,11963.489324028704,9104.55172739166,12557.66512854871,11665.099482846568,11940.060753765425,
Albania,ALB,23133.53697845874,22067.272741098983,21565.74381501263,22067.272741098983,21624.8280446428,21064.21488892627,19208.557863970243,16975.004623973706,14109.937152832937,6700.65971998962,3573.685183994464,17421.71527197301,10750.428306920332,14518.09605997751,8710.857635986506,11167.7661999827,447.9345127883472,4690.461803992734,2456.908563996194,2680.263887995848,14301.742074799207,15084.668500684735,19006.039376504494,17792.543953231496,19492.08021679624,18219.442775935007,18946.639098968466,19239.553757344995,14438.201456707457,14757.519113155719,13759.179682773633,9409.75423977546,6464.187282431305,10933.452782298715,11972.314743005356,7369.602893953824,8934.21295998616,25427.467222825788,20053.275545093515,8015.280413471192,4089.1643724675437,5978.495089988282,7490.759396341159,4633.657596887673,5334.045874090934,
United Arab Emirates,ARE,9704.888335763857,17679.159974475682,19098.654570167568,19227.699533615338,19797.972207645875,23873.31821326785,26802.63887995848,11837.832171981661,13214.068127256241,13624.674763978894,13848.030087978548,15411.517355976126,14781.838922015457,31269.74535995156,17198.359947973357,21665.46642796644,14781.838922015457,37970.40507994118,31269.74535995156,35736.85183994464,97933.72418227227,156820.5116468728,126002.92763705409,106825.3146557743,108775.84681348517,109030.01719259821,111281.05745329196,99067.40286455308,118262.90872457153,107628.41047129236,100523.65642150899,156095.97632409548,165451.04510304835,165504.701342538,96591.9353405814,133749.78915562728,73479.3648557199,144107.31466303192,150945.068340511,99583.18749169553,79312.28333916368,80402.45145055887,80197.04262661228,81441.25944304852,24722.24176775167,
Argentina,ARG,174663.45759770845,168601.1052558983,163365.04608708475,166506.68158837286,162062.48671035003,144864.30368837665,156348.7267997578,134013.1943997924,154537.40691197978,142947.40735977856,145180.9605997751,107210.55551983391,145578.71665621284,230055.9837196436,107210.55551983391,102743.44903984084,94066.24768555291,125078.98143980624,196552.68511969552,122845.4281998097,271448.9898090786,330946.97456605255,317633.96250246983,353786.486335204,364817.03837138665,380838.91971467726,362317.3444734577,382314.6529889789,381127.37260262517,381880.4185899801,474442.46431521315,449907.36486194393,480075.362196438,462571.1035351096,493760.3252742435,489287.0932285947,474853.2078120939,305068.83680727,229522.18812853555,376306.22232493205,194363.79239394038,389371.5381275274,380321.91260782315,397794.00679675874,462720.4769787464,
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,4479.345127883472,2233.55323999654,1786.842591997232,1340.131943997924,2911.574333124257,5137.172451992042,2903.619211995502,670.065971998962,1029.7598334975821,1020.6420408192407,0,0,385.5174085473489,1589.4332015252082,1700.6825108488733,2380.9677538363117,2040.1826033283467,1954.5120680956024,1706.0063226811924,1631.8401164654165,2810.5129437321525,1523.5892758749003,1418.0921310597207,2233.55323999654,1259.73668802828,1470.577572537667,1470.577572537667,1808.67169758794,2594.456195502263,3087.9163683311635,2866.3335381639113,3420.258961906464,3420.258961906464,
American Samoa,ASM,0,0,0,0,0,0,0,0,0,217.83844749686256,217.83844749686256,217.83844749686256,217.83055356897324,217.83844749686256,217.83844749686256,217.83844749686256,217.83055356897324,217.83844749686256,217.83844749686256,217.84793244897767,217.84793244897753,217.84793244897767,217.84793244897767,217.84793244897767,217.84793244897753,272.3099155612218,268.0263887995848,268.0263887995848,268.7607076730083,268.0263887995848,268.0263887995848,4.020395831993772,4.031410615095125,4.020395831993772,4.020395831993772,4.020395831993772,4.031410615095125,4.020395831993772,4.020395831993772,4.020395831993772,3.8298400843403684,4.422435415193149,4.422161172639808,4.400099882793183,900.041750571884,
Asia & Oceania,ASOC,4523644.251411325,4869825.046409112,5519021.544995843,4760437.967772705,4266512.535602442,4170784.4572499846,4392246.006032085,4453010.943169918,5017551.511248409,5230744.127349291,5383648.911605659,5616248.606468865,6184102.780533036,6146919.092549272,6934450.374476584,7162737.882112523,8271985.28342582,7587033.912058744,8364548.243757449,8678585.91151408,9561487.389795104,9626597.937973855,10238262.965659866,11153094.821424743,12225295.117578194,12374600.789944135,13123153.714706263,13995914.469030805,13571656.702672703,14165325.274970854,14943094.438470904,15436776.448555423,16209671.21938875,16650355.61275998,17478493.138424836,18232662.898892406,18890587.341587935,19787451.731748767,18799665.448459677,18390286.63770919,20025695.309633154,20773051.37565931,20421166.597863063,20663796.818126347,20537341.08185342,
