Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,--,--,--,--,--,--,1533.911942336934,1533.911942336934,5876.822033092935,7812.160533196864,8251.249142255145,9001.004596941475,9886.942745560717,10045.367187345819,11021.732638197864,12474.38945404527,8221.60474736311,13296.183008209513,13296.183008209513,13296.201060215151,15902.530801530009,16454.558000434216,17009.209534715654,18941.394774622047,19752.74973278719,21331.085455933302,21290.44696230992,21939.318086094532,20609.619979688334,20238.205598205488,18196.19604697457,14181.476491537409,17859.92766347602,17078.264010096253,17288.459415549718,17715.44282134242,17430.57774113502,18157.981356633645,17100.492967084327,16238.691694988733,15862.37437347623,16796.16210639609,17200.0691384546,16997.846583182927,17135.65396943991
Afghanistan,AFG,15429.240314522589,17585.2387708217,17145.607795075084,24179.703309016837,24245.949071507293,28576.0130013156,29889.4764642309,30253.845246560802,28881.769770027833,29223.589262392463,29666.2564088366,27862.455082495464,15492.349529966266,15450.262815583208,14363.60065478627,13920.933508342128,12856.332770135963,12130.746401425233,11704.137732585894,11704.154633050823,8576.665831181423,8479.51725892356,7212.402860733531,10108.113152496087,9459.18357861722,14044.135492720097,18112.359549197718,19246.23448874803,43828.65285896906,76287.86540181673,90200.77394438552,116901.79491943821,103759.91739576332,73801.3263327388,58328.81513231638,73765.57091191597,54353.87628677776,81743.94304288585,114971.08214713148,115457.87436697182,121339.56808248222,110589.72005628083,105946.02887823475,109082.93148980306,112001.94185657658
Africa,AFRC,3241108.3161500436,3461738.1151484833,3640862.8474923153,3729706.237795657,3874350.5255388645,4012672.576195458,3995006.9652118604,4034747.9509487483,4193410.5451824,4343405.9425166175,4538020.132247675,4631286.7592547685,4726435.845547152,4747366.069694509,4824611.96071286,4961592.972671508,5110391.450178349,5229329.789969726,5294348.251329792,5347871.5242473055,5484852.254264558,5633203.725606619,5819060.170655549,5937181.1646682685,6220744.375125919,6452936.497509514,6456880.286863784,6779454.715788756,7252585.287890112,7482896.037981146,7870539.8940115925,7819688.957762514,8103173.805054009,8671038.447459986,9017046.579543898,9012082.99012857,8896377.80590735,9042691.19560017,8964280.124089314,9192237.615859812,8226406.243087293,8979889.239585657,9454950.424373621,9598579.629995078,9835502.776345048
Angola,AGO,45608.066467820274,45483.45426435628,47757.62697515308,50031.799685949874,43327.663139990385,56854.31782715125,54125.310569449946,54342.6969149634,54689.25142739025,55200.843473585526,55124.479058500816,58069.611553129354,58015.474105197376,56271.447156777656,55642.54788156415,60244.360727652194,56376.26547865726,67519.7368020161,55269.775547716454,68149.09819169305,84858.37848588165,95188.45572492281,98830.4552535437,111512.41963151646,118305.69350726299,92692.85780115433,123933.41803682286,146519.82810573513,181105.22854069632,214510.74810605883,232972.2476350773,243802.95179687443,260570.4832982535,303337.48680817155,344216.3039766059,340928.8939549658,295217.81154101033,242149.77191394297,240511.68850446967,244381.83805271523,171743.4476665602,207357.05843236033,242239.56824508737,251643.5068414419,257575.0540561003
Albania,ALB,104764.1736475181,99935.41392101403,97664.15451208432,99935.41392101403,97931.72753814483,95392.89510474504,86989.23529967973,76984.11058019247,71893.10315208767,61259.89577061683,45382.34368016156,40666.27280192888,46202.65086193412,37601.84006722594,29269.628586503397,32860.07647203542,25921.44092003568,26981.440054117455,32716.818292698972,20153.37064965191,48280.617695790155,50960.239206568906,58992.990337094205,59644.980995008926,66734.37843150698,66569.64564578296,61792.19753291174,60284.14627328944,59584.95490854706,57443.16614746737,55563.06142650514,55034.14018558027,48554.408340213406,57981.124623241136,59933.047261300744,56002.42094258171,57848.7123991546,74063.98770469188,68084.07631281031,55029.89857659269,41764.955656123115,52341.95388198977,55168.99714020211,50759.26459747451,51676.66731300318
United Arab Emirates,ARE,174207.90485285476,317350.3199353603,342831.00255548744,345147.42824879126,355384.1259001002,428538.7531927048,481121.61642454437,487042.4579874662,549426.4334746931,562481.4888591218,562525.004637763,697071.171052065,705791.8765793799,711789.1316174836,725502.7634156761,726003.3874177443,702432.3677334673,734007.9801154285,753494.9619436258,758004.8140114879,979222.8347730011,1126055.5866781299,1076345.0213157404,1093982.3994267161,1151608.4767419032,1197801.0728542393,1283791.5068697208,1341297.2364856096,1440014.3390978067,1394618.9296344784,1448243.346365195,1572573.546624655,1608616.0736568042,1724636.7649010213,1712720.618635352,2001694.2793194882,1990507.1663511838,1941447.1741043369,1937748.4122600255,1839101.7345453496,1587340.4560393032,1709606.806283844,1853922.76879229,1997852.7180159378,1961027.5349168375
Argentina,ARG,1162726.260571955,1121351.8499861194,1087036.7958562411,1108020.0841373177,1080849.3387253545,972752.0873981594,1047093.8134900195,1054454.2228458812,1011800.8669045621,923571.6450348872,879949.0483188326,891805.9854421936,931952.1193160168,1068171.5441743904,953119.109835631,933016.0028209556,1015530.9050355797,1046880.30816746,1141606.5576472338,1045193.9343240843,1188844.2348191987,1124662.4361169254,1012312.7736137505,1083661.284338671,1211124.8260545556,1221354.1494597143,1294850.7816645235,1367980.4416920547,1500704.5289550547,1430354.8691249362,1583049.5879497163,1577090.562257314,1647933.9672664923,1655445.2400880381,1662937.5404663924,1723996.8013768757,1682888.993894436,1479931.9252603413,1346039.7813644288,1475258.834254625,1179282.9714138424,1527654.2583672255,1579126.1076875597,1554179.0588389551,1536780.2382789839
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,97868.28493806504,55194.68194740622,40187.58394858761,55095.43566509714,64037.98471474729,66609.32351868697,71733.98037062731,10198.694761711598,15977.928764352611,15641.679415011222,14875.923759785137,15496.797182925538,16216.630814728325,18704.49328256442,17620.980379083077,19181.03494901027,20470.541124627736,17887.316568406783,19084.790559618097,18059.574693419352,18697.95077034029,16626.763900182083,16561.16140296253,17568.110601859153,14530.22920228264,17569.994910510813,17064.123714766323,21062.35430037474,26642.66076102571,28965.25016442485,30999.587758329682,34427.86514471606,36785.79891917797
American Samoa,ASM,6217.562727767495,7307.820360651783,10186.65868454491,6422.023953300051,7327.841786297404,6864.9221569759175,7086.37125881385,7356.913822357368,7152.027644488155,8235.967787139707,8662.576455979046,8662.576455979046,8910.493930947554,8668.545434465243,8444.227372000074,8219.909309534904,8241.681365301503,8444.227372000074,8444.227372000074,8444.23816416639,8268.581514342453,8268.581514342472,8405.958743777785,8405.958743777785,8405.958743777775,8929.445531857711,9080.818773514899,9080.818773514899,9105.697729058775,9080.818773514899,8535.03141543495,7096.76939137817,7134.601602667935,7092.184689090282,6722.225981898872,6722.225981898872,6740.643039383526,6722.225981898872,6722.6730612448955,6750.181230108612,6544.947233467228,6650.454945385823,6650.411342868781,6771.674897802139,8325.593792155856
Asia & Oceania,ASOC,24629040.4098008,24299163.937931664,23720331.07047659,23526073.566775333,24144408.09694963,23846938.004723564,24421572.75093602,25261623.79386976,27261511.28616038,28873747.41498164,30282883.48329696,31376102.392501608,33335841.511638306,34940043.398113154,37304190.144195825,39037405.10080243,41360234.13869917,41888087.35679555,41787474.13998638,44122800.358342096,45938161.384338856,46120312.67813241,47278932.242562436,49374305.91458063,52651539.391788326,53087074.44472622,54491358.443572,56319638.33429013,55951762.971528,56559845.15920929,59579876.5641187,61145388.15342189,63729820.32270577,65040573.65767854,66346812.75784072,68368165.54899539,71039235.4452503,73449393.24808373,74158646.07651325,73533534.8251988,70380757.33939457,73927574.99528803,74647098.46419233,77788538.06053773,78869325.57991521
Antarctica,ATA,2249.326324993209,2243.1806246516976,2243.1806246516976,2243.1806246516976,2924.1242224911716,3140.4528745123766,2916.1348120472067,2916.1348120472067,3149.0568549904924,2916.1348120472067,3140.4528745123766,3140.4528745123766,3149.0568549904924,3140.4528745123766,3140.4528745123766,3364.770936977546,3373.9894874898137,3364.770936977546,3364.770936977546,3364.770936977546,3346.8254919803335,3438.5193410756906,3438.5193410756906,3438.5193410756906,3484.3662656233687,3484.3662656233587,3484.3662656233587,3530.2131901710263,156.57983760731733,201.43022789395116,201.43022789395116,201.43022789395116,201.98087839700122,201.43022789395116,201.43022789395116,199.83859822809188,199.66467786258346,196.7769624005593,196.7769624005593,196.77709549954778,165.65720542144652,176.27785912862907,185.62131733494192,182.9361342857818,182.9361342857818
Antigua and Barbuda,ATG,6124.44670290774,5453.315396598104,7416.508934551657,4362.6523156992835,4812.065266325879,4798.9175470189775,4878.994030484833,6072.814335319542,6089.055644924618,6072.814335319542,6297.132397784712,6275.104941693711,6291.900472138169,6275.104941693711,6717.772088137854,7162.172163819923,7181.398015420891,7380.521247798896,7380.521247798896,7380.541509619017,7690.620873771926,7690.620873771935,8244.911146378872,8665.991364752725,8988.190788518188,9125.652981601319,9405.36275294662,9856.75176125929,10083.08973870485,10564.279702702588,10212.546231281645,10180.760696546817,10462.623820006414,10462.623820006405,10697.685421263775,10903.400854991707,11066.831538696591,10515.27556981131,10466.76599038492,10849.350343661985,10470.20547246446,10875.958852265061,10913.149571069915,11028.541029670965,11128.672476936474
