Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,16.44144144144144,16.44144144144144,98.91891891891892,131.53153153153153,137.012012012012,104.12912912912913,104.41441441441441,98.64864864864865,104.12912912912913,137.012012012012,104.41441441441441,142.4924924924925,142.4924924924925,142.4924924924925,207,215.00000000000017,219,250.99999999999977,268.9999999999997,281.9999999999999,281.00000000000017,285,258.99999999999994,245.00000000000003,225.99999999999997,146,218.00000000000003,198.99999999999972,201.9999999999999,206.999999,201.448087,209.999999999024,183,176.4,180.27,185.4,189.9,190,191.5404077
Afghanistan,AFG,22.632621336036035,25.79518124174174,25.150301707957958,35.46837419369369,35.56554782162162,41.917169531531535,43.84384384384384,5.48048048048048,2.999990990990991,3.9996546546546545,3.9996546546546545,2.999466966966967,1.9998108108108108,1.9998273273273273,1.9998273273273273,1.9998273273273273,1.9998108108108108,1.9998273273273273,1.9998273273273273,1.9999999999999996,0.9999999999999994,1.0000000000000024,1.0000000000000024,1.0000000000000024,0,1.0000000000000024,1.0000000000000024,1.0000000000000024,0.9999999999999994,1.0000000000000024,1.0000000000000024,1.0000000000000024,0.9999999999999994,1.0000000000000024,1.0000000000000024,1.0000000000000024,0.997267,0.9999999976726728,20,12,9,9.2,9.2,11.2,11.49970695
Africa,AFRC,19265.63290392973,20688.73881469895,21709.043940596846,23027.16196973874,23746.681923435135,24691.26471275225,24708.433858858858,23588.13924924925,25131.568054054052,25466.7525975976,28043.13743243243,27955.613611111112,27312.11636936937,27002.483521021022,28159.917702702704,26531.20385135135,25224.517765765766,27015.49692192192,27678.63506006006,28676.083517479743,23316.72056666484,22165.280911280704,22046.469088414415,23349.622698553,25041.241977132377,25760.901231351378,24896.318776216194,23893.429013513512,25944.46409009006,25861.80070450448,25950.35562522521,23526.83615675674,26266.569707921135,25354.565136936955,26331.203976148205,24657.6196050991,22352.585598171172,21523.957000005106,18368.443336999626,18371.577999998124,12081.077639214875,14264.016786944809,18183.777884840874,19313.05655974,19802.103123121
Angola,AGO,461.8063441846847,460.54457821696695,483.5718071141141,506.59903601126126,438.7160269342342,575.6807227575075,548.048048048048,548.048048048048,549.5495495495495,548.048048048048,531.6066066066066,602.8528528528528,549.5495495495495,548.048048048048,548.048048048048,657.6576576576576,549.5495495495495,657.6576576576576,131.53153153153153,120.57057057057057,133.00151171171166,149.53650810810834,144.72767927927933,337.2472990990988,330.78660540540557,276.5578252252253,389.42402162162153,490.4875135135133,562.8743279279266,581.9135315315309,571,541,831,896,1254,1249,1320,823,475,474,455,465,484,489,500.5263311
Albania,ALB,924.0467621711712,881.45586840991,861.422780493994,881.45586840991,863.7828429063063,841.3896925780781,767.2672672672672,712.4624624624624,659.4594594594595,602.8528528528528,482.28228228228227,301.4264264264264,302.2522522522523,230.18018018018017,153.45345345345345,164.4144144144144,219.81981981981983,43.84384384384384,71.24624624624624,76.72672672672672,71.30720360360361,71.15645405405405,111.99546666666693,64.07997837837851,83.2536486486486,73.38139819819797,53.446367567567584,34.83939459459457,32.15853513513512,6.66990630630628,16.027627027027023,26.01755675675675,9.458679279279272,1.5080216216216216,7.5952648648648795,1,1,6.9514252246997,1,3.11,2.77,5.3,2.9,4,14
United Arab Emirates,ARE,2460.6696248495496,4482.542243729729,4842.454394680931,4875.173681165916,5019.766034686487,6053.067993364865,6795.795795795796,6740.990990990991,7803.603603603604,8001.5015015015015,7946.696696696697,9919.669669669669,9836.936936936936,9755.255255255255,9919.669669669669,10632.132132132132,10111.711711711712,11783.033033033033,12385.885885885886,12714.714714714715,11063.54718018016,10160.622958558557,9327.120342342369,10658.073524324309,12285.364313513523,13437.808147747723,14554.722464864886,15402.000000000025,16401.776057657644,14000.592302702706,14875.083446846838,15849.923639639655,15993.751854054068,16276.045374774765,16542.583861261282,17744.272823423424,18210.533333333333,18195,18417,18087,17800,18673,19155,19484,19686.25901
Argentina,ARG,5938.791437106306,5732.663339819069,5554.630316852853,5661.450130621622,5510.34155388018,4925.580302339339,5316.066066066066,5425.675675675676,4836.036036036036,3726.7267267267266,3452.7027027027025,3562.3123123123123,2692.7927927927926,2959.4594594594596,2356.6066066066064,1972.972972972973,2143.2432432432433,2795.045045045045,2685.4354354354355,2411.4114114114113,2308.6150684684662,2090.451740540538,1417.6854738738737,1525.096423423421,2806.020962162165,2606.799030630631,3266.917142342344,3862.6425513513527,5283.550699099101,3905.730261261264,4226.029884684687,4489.273381981983,5125.3739801801785,4835.772230630631,5424.476520720719,4673,3900,2519,952,1146,1928.865594,2357.847772,1782.181435,1301,793
Armenia,ARM,,,,,,,--,--,--,--,--,--,1099.099099099099,602.8528528528528,438.4384384384384,657.6576576576576,714.4144144144144,712.4624624624624,767.2672672672672,131.53153153153153,0,0,0,0,0.9999999999999994,0,0,0,0.9999999999999994,1.0000000000000024,1.0000000000000024,1.0000000000000024,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08987987987987987,0.09012612612612612,0.08987987987987987,0.08987987987987987,0.08987987987987987,0.089879,0.08987987987987989,0.1,0.1,0.1,0.1,0.1,0.1,0.099982979
Asia & Oceania,ASOC,202365.73303454235,182825.2331460353,157146.49438778003,168154.94687713662,155590.60813797207,146300.47158835735,143963.03293543545,146023.00517267268,156299.59323423423,164510.41644894896,171557.23355105106,171694.70517267266,176987.8376126126,184269.5128978979,191073.72054804806,194109.64847597596,193607.98745945946,204665.90973723723,193496.00583333333,196109.05105105106,200036.4850387382,193146.1008674747,186737.55770753964,194128.95271067004,199258.3044461331,192956.87279366422,198512.4986614314,196245.6322488648,186691.51360784343,172351.94951169894,178061.08538242168,170153.22475641625,169988.73940694495,158739.38511700783,149499.46255886447,148592.29875352522,155194.5892245,152793.1825176597,159235.7879342302,147945.94318683,153736.09508102,160829.3049651,163651.624785849,162322.17885866,149228.761309524
Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.595935558199712,2.124765840840841,2.124765840840841,2.124765840840841,2.130587117117117,2.124765840840841,2.124765840840841,2.124765840840841,2.253153153153153,2.124765840840841,2.124765840840841,2.124765840840841,1.790219999161877,1.905079435988528,1.790219999161877,1.97571321,1.97571321
Antigua and Barbuda,ATG,13.758947214414414,12.251209325825826,16.66164468093093,9.8009674496997,10.810601351351352,10.78106418918919,10.96096096096096,10.96096096096096,10.99099099099099,10.96096096096096,10.96096096096096,10.96096096096096,10.99099099099099,10.96096096096096,10.96096096096096,16.44144144144144,16.486486486486488,16.44144144144144,16.44144144144144,16.44144144144144,16.000000000000025,15.999999999999996,18.000000000000025,19.999999999999996,22,22.999999999999982,23.999999999999996,30.999999999999982,31.999999999999993,36.30000000000001,36.5,36.80000000000002,38.00000000000002,38.00000000000002,38.99999999999998,39.99999999999999,40.33693693693694,40.99999999774774,81,88,86,89,89,89.1,89.90897622
Australia,AUS,4945.945945945946,3452.7027027027025,3343.093093093093,3397.897897897898,3739,2895,2622,2411,2381,2554,2287,2333,2102,2034,2393,2072,2100,1921,1879,2119,2010,1857,1951,1967,2036,1993,1948,2083,2072,1825,1570,1700,1650,1568,1270,911,749,699,1008,1018,737,704,874,854,851
Austria,AUT,5000.9009009009005,4274.774774774774,3836.3363363363364,3233.4834834834833,3017,2773,2835,2736,2221,2010,2287,2285,2003,2187,2043,1986,1986,2111,2119,1766,1430,1647,1253,1426,1380,1424,1432,1134,1102,856,960,820,649,605,525,453,385,346,277,294,263,269,306,333,279
Azerbaijan,AZE,,,,,,,--,--,--,--,--,--,3077.4774774774774,4548.798798798799,4219.96996996997,3562.3123123123123,4066.6666666666665,3233.4834834834833,4274.774774774774,4165.1651651651655,4214.636109909911,2052.0341369369366,1853.8518324324339,2409.787536936937,2449.3741747747727,2097.0032918918914,1651.5291711711716,1467.312363963964,834.6204828828855,355.16631711711705,171.73772072072057,227.71334054054032,233.20169824509458,131.9121207207208,118.87238018018016,407,678,339,42,77.1,58.7,37.2,8,24,28
Burundi,BDI,3.7997677063063064,4.330726698948949,3.7893858273273273,4.330726698948949,5.428239588288288,5.413408332582582,5.48048048048048,5.48048048048048,4.999801801801802,0.9996396396396396,0,5.48048048048048,5.495495495495495,5.48048048048048,5.48048048048048,5.48048048048048,10.99099099099099,10.96096096096096,10.96096096096096,10.96096096096096,9.999999999999995,10.000000000000025,2.500000000000001,1.9999999999999996,18.649999999999977,1.4999999999999984,1.8999999999999984,4.9,4.100000000000001,2.100000000000001,8.100000000000021,6.099999999999994,2.1000000000000023,7.1000000000000085,11.100000000000007,10.299999999999986,11.265765765765765,23.99999999894895,31,32,22.7,30.6,32,24.2,25.13282374
Belgium,BEL,10496.396396396396,7398.648648648648,7727.477477477478,6138.138138138138,5209,4781,5825,5781,6178,5863,5838,6480,6369,6380,6378,5786,6410,6894,7339,6489,6474,6656,7722,8950,9301,9111,9417,10289,10503,7746,7971,7018,6046,6126,5131,4610,5544,6803,8415,7407,5251,6320,6487,5910,6281
Benin,BEN,14.520165664864864,14.48049308108108,9.653662054054054,14.48049308108108,14.520165664864864,16.893908594594595,16.44144144144144,1.3547747747747747,10.99099099099099,10.96096096096096,10.96096096096096,10.96096096096096,10.99099099099099,10.96096096096096,10.96096096096096,10.96096096096096,10.99099099099099,10.96096096096096,16.44144144144144,16.44144144144144,7.999999999999985,18.000000000000025,14.000000000000025,10.000000000000025,11.000000000000027,57.000000000000114,42.00000000000002,57.000000000000114,28.00000000000003,45.00000000000001,45.00000000000001,78.00000000000007,49.99999999999997,53.00000000000001,55.99999999999988,24,23,23,27,34,44,44,36,38,38.96527975
Burkina Faso,BFA,14.412188245945947,14.372810682432432,14.372810682432432,14.372810682432432,14.412188245945947,13.893716998498498,16.44144144144144,16.44144144144144,21.98198198198198,27.4024024024024,32.88288288288288,27.4024024024024,27.47747747747748,27.4024024024024,27.4024024024024,27.4024024024024,27.47747747747748,32.88288288288288,32.88288288288288,32.88288288288288,41.999999999999986,24.399999999999977,22.599999999999998,27.699999999999978,22.39999999999999,38.90000000000001,50.299999999999976,99.49999999999986,77.34700000000008,73.28399999999999,51.525000000000006,47.248000000000005,46.652999999999984,61.539,135.99999999999986,200.7999999999998,143.554,204,277,262,254.1,304.9,311,322.5,330.1388595
Bangladesh,BGD,270.9407081423423,278.644196545045,287.0879600518018,253.31290591516517,262.4738110369369,270.2004329834835,290.46546546546546,279.5045045045045,296.7567567567568,164.4144144144144,175.37537537537537,400.07507507507506,428.64864864864865,279.5045045045045,317.86786786786786,317.86786786786786,368.1981981981982,295.94594594594594,274.024024024024,350.75075075075074,354.0822234234236,391.7798324324326,392.43081621621616,420.6010756756759,368.11113333333316,353.65574414414425,368.9345081081083,356.3396162162162,307.9099027027027,204.76122882882905,359.69791891891884,617.9148558558537,973.5698144144126,1146.8505603603612,1993,2263,2635,3048,3311,3480,2872,5297,6903,5554,5554
Bulgaria,BGR,7817.395165154955,7490.3092536997,7515.786496046547,7515.786496046547,7510.830648915316,7388.400284257507,7289.039039039039,7124.624624624625,7144.144144144144,4493.993993993994,3507.5075075075074,2630.6306306306305,2363.063063063063,2082.5825825825827,2521.021021021021,2246.996996996997,1373.873873873874,1589.3393393393394,1370.1201201201202,1205.7057057057057,850.0622036036012,749.0989351351346,792.93502162162,474.2934900900899,385.5636954954956,435.47395495495476,435.76454234234245,365.5021387387389,469.2064648648646,478.26423063063066,241.76994954954955,205.2084828828831,227.63155135135167,212.741888288288,183.81589009008994,109,99,30.7,52.248,37.487,32.292,48.982,49,38,16
Bahrain,BHR,0.9508859702702702,0.9482879211711712,0.9482879211711712,0.8890199226726727,0.9508859702702702,0.9482879211711712,0.9552477477477478,54.8048048048048,32.972972972972975,43.84384384384384,54.8048048048048,65.76576576576576,170.36036036036037,180.85585585585585,219.2192192192192,208.25825825825825,181.35135135135135,197.2972972972973,186.33633633633633,191.8168168168168,81.0000000000001,78.00000000000007,79.99999999999999,81.00000000000021,77.99999999999989,78.00000000000007,297.00000000000006,184.00000000000009,73.99999999999999,76.00000000000016,78.99999999999976,78.00000000000007,81.9999999999998,85,86,87,80,22.049,92.714,37.808,232.597,394,97.491,53.441,54.01105449
The Bahamas,BHS,743.8935624333334,768.3561044669669,662.3759520983483,503.40572362762765,451.6496628882883,397.425571259009,400.07507507507506,449.3993993993994,274.77477477477476,290.46546546546546,438.4384384384384,312.3873873873874,203.33333333333334,230.18018018018017,389.1141141141141,602.8528528528528,604.5045045045046,542.5675675675676,767.2672672672672,602.8528528528528,699.2492492492496,715.6156156156133,717.7177177177175,343.84384384384407,414.5645645645648,378.52852852852834,500.00000000000017,606.4564564564546,498.0480480480478,405.2552552552555,403.7537537537536,451.6516516516517,607.9579579579555,518.9189189189188,462.3123123123126,368.318318,373.45132,418.4684684708709,194.54,182.18,186.01,274.43,204.32,227.46,227.9562544
