Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,,,,,,,0.01734805597600665,0.01734805597600665,0.10437350937893317,0.1387844478080532,0.14456713313338876,0.10987102118137546,0.11017203767776278,0.1040883358560399,0.10987102118137546,0.14456713313338876,0.11017203767776278,0.1503498184587243,0.1503498184587243,0.1503498184587243,0.21841440118394784,0.2268555374615885,0.2310761056004086,0.26484065071097035,0.28383320733566136,0.29755005378682736,0.2964949117521226,0.30071547989094266,0.273281786988611,0.2585097985027402,0.238462099843344,0.15405073706693906,0.23002096356570356,0.20997326490630705,0.2131386910104224,0.2184047260587,0.2125332248274,0.2215798272870332,0.193090995878967,0.186127093023732,0.190210432334976,0.195623301281256,0.20037140541001797,0.200476991633877,0.2021023390927509,
Afghanistan,AFG,0.023880630127214263,0.02721758002099723,0.026537140517580955,0.037424172514414475,0.03752670449390602,0.04422856754857721,0.0462614826026844,0.00578268532533555,0.0031654165983310894,0.0042202037504298845,0.0042202037504298845,0.0031648636785561466,0.002110084447944099,0.0021101018752149423,0.0021101018752149423,0.0021101018752149423,0.002110084447944099,0.0021101018752149423,0.0021101018752149423,0.0021102840694101235,0.0010551420347050613,0.0010551420347050648,0.0010551420347050648,0.0010551420347050648,0,0.0010551420347050648,0.0010551420347050648,0.0010551420347050648,0.0010551420347050613,0.0010551420347050648,0.0010551420347050648,0.0010551420347050648,0.0010551420347050613,0.0010551420347050648,0.0010551420347050648,0.0010331826201,0.0010331826201,0.001055142032249401,0.021102881013423,0.012661779007206,0.009496208257524,0.009707380705242,0.009707380705242,0.011817593207856,0.0121338226883349,
Africa,AFRC,20.327979102133206,21.829557968423043,22.906124794982954,24.296926534233155,25.056122282187264,26.05279128845471,26.070907176211783,24.888837242359187,26.51737385188333,26.871041153159553,29.589493089970446,29.497143027056303,28.818162038077826,28.491455404460027,29.712712861956824,27.994188414889642,26.615448999824075,28.505186390765036,29.204891315130638,30.257341110005868,24.602451981360105,23.387519600537992,23.26215625201184,24.637168403746713,26.422067011293265,27.18140974108423,26.269152450202593,25.21096130539961,27.375094630358024,27.28787301749565,27.308913375804632,24.843223789710603,27.71727944461561,26.741830758021354,27.785086066117657,25.47273589724584,23.466397745269525,22.613755509647532,19.381316200953272,19.37365062043785,12.747257776011875,15.050565495962006,19.188426283752097,20.378029066673356,20.89404359496581,
Angola,AGO,0.48727128564273436,0.4859399433322351,0.5102369404843902,0.5345339376365452,0.46290772131710867,0.6074249291508371,0.578268532533555,0.578268532533555,0.579852829882962,0.578268532533555,0.5609204765575484,0.6360953857869105,0.579852829882962,0.578268532533555,0.578268532533555,0.693922239040266,0.579852829882962,0.693922239040266,0.1387844478080532,0.1272190771573821,0.14033548568634457,0.15778225542787944,0.15270825799288043,0.35584380137020977,0.3490268518806401,0.2918077864217512,0.41089765453686583,0.517533993006075,0.5939123636531167,0.6140014276825878,0.5782546727667,0.5782546727667,0.8673946089381,0.9252276360876,1.323148119584012,1.3178724119304444,1.3927874757308514,0.868381928329698,0.501192353086812,0.500137246835505,0.48008972406915,0.490641038577981,0.510688813340097,0.515964344596632,0.5281262648123184,
Albania,ALB,0.975000580799914,0.9300611384967498,0.9089233853517248,0.9300611384967498,0.9114135864074829,0.8877856322066999,0.809575945546977,0.7517490922936215,0.6958233958595544,0.6360953857869105,0.5088763086295284,0.31804769289345525,0.3189190564356291,0.2428727836640931,0.1619151891093954,0.1734805597600665,0.2319411319531848,0.0462614826026844,0.07517490922936215,0.0809575945546977,0.07523922789943445,0.07508016571299185,0.1181711245764099,0.06761347877001868,0.08784442423175542,0.07742779780434898,0.05639350902283789,0.036760509700433056,0.0339318221956207,0.007037698511328133,0.01691142299279114,0.027452217774378753,0.00998025010036134,0.001591177002217065,0.008014083223637397,0.005193414798288771,0.0010331826201,0.007334740955689737,0.001055142034705062,0.003281488799742,0.002922646836078,0.005592289928112,0.003059984525823,0.004220677000989,0.01477199150982,
United Arab Emirates,ARE,2.5963559547006954,4.729718743700381,5.109477182970107,5.1440006774859715,5.29656614758246,6.38684647872709,7.170529803416082,7.112702950162727,8.233910184338061,8.442720574989902,8.384893721736548,10.466660438857346,10.379365654905019,10.293179879097279,10.466660438857346,11.218409531150966,10.6692920698465,12.432773449471432,13.068868835258343,13.415829954778475,11.673613682750746,10.720900382364443,9.841436735958101,11.245781384491702,12.962804298853616,14.178796230990793,15.35729947614501,16.251297618527392,17.306203362253658,14.77261344934976,15.69532581451356,16.72392067904925,16.875679873854466,17.17353963369176,17.45477559465035,18.722728131268724,19.21469919439769,19.198309321458606,19.432550799236033,19.084353892503955,18.781528318548407,19.702667323413785,20.211245672255505,20.558387472736275,20.771799457181434,
Argentina,ARG,6.266268480637347,6.048774060655809,5.860923934558542,5.973634010205337,5.814192999080986,5.197186822313505,5.609204765575483,5.724858472082195,5.102704902970066,3.932226021228174,3.6430917549613966,3.7587454614681075,2.8412788664265136,3.122650075681197,2.4865546898942865,2.081766717120798,2.261426036543552,2.9491695159211306,2.8335158094144197,2.544381543147642,2.4359168006945833,2.205723502966682,1.495859535475089,1.609193343332401,2.9607506674408426,2.750543233246787,3.4470616007839476,4.075636520971218,5.574896435114778,4.121100174876343,4.4590617712505995,4.736821050611745,5.407997530071696,5.1024265507978415,5.7235931932830955,4.9152781166094,4.1056913352447,2.6579027854220514,1.004495170671999,1.209192839306865,2.035227131996274,2.487864185866323,1.880454611534967,1.372739852166192,0.836727732807444,
Armenia,ARM,,,,,,,--,--,--,--,--,--,1.159705659765924,0.6360953857869105,0.462614826026844,0.693922239040266,0.7538086788478506,0.7517490922936215,0.809575945546977,0.1387844478080532,0,0,0,0,0.0010551420347050613,0,0,0,0.0010551420347050613,0.0010551420347050648,0.0010551420347050648,0.0010551420347050648,0,0,0,0,0,0,0,0,0,0,0,0,0,
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.483603933550302e-05,9.509586410080577e-05,9.483603933550302e-05,9.483603933550302e-05,9.483603933550302e-05,9.509586410080577e-05,9.483603933550302e-05,0.00010551434605726765,0.00010551434605726765,0.00010580342645742454,0.00010551434605726765,0.00010551434605726765,0.00010551434605726765,0.00010578539303441519,
Asia & Oceania,ASOC,213.52459130864838,192.906588497135,165.81187183508982,177.42735279366357,164.39916300027872,154.53761712796717,152.00571324324116,154.08798305398528,164.92069170385184,173.58972633452154,181.00976426387828,181.16693302487263,186.7327188948662,194.42850626333288,201.67001297773956,204.43144327755965,203.99674347615007,215.90056789673238,204.15902334278408,206.91768131631918,211.06577895865996,203.79383849264522,197.04223221891698,204.8289603028693,210.24675389302092,203.6049048793039,209.45193935357756,207.05359672631667,196.97669398265506,181.8625105167721,187.87993233873453,179.53066894412063,179.3516772101997,167.49210458336526,157.73775957106585,157.02103935011587,163.412480399038,161.03110760309232,167.859588172883,154.3320613605586,153.95309898127636,169.40858139684946,173.834277100853,171.2723010138092,157.45280752685883,
