Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,,,,,,,0.3,0.3,1.8,2.4,2.5,1.9,1.9,1.8,1.9,2.5,1.9,2.6,2.6,2.6,3.76672131147541,3.92301369863014,3.996,4.5798904109589,4.89491803278688,5.14553424657534,5.12728767123288,5.20027397260274,4.71295081967213,4.47041095890411,4.12372602739726,2.664,3.96688524590164,3.63106849315068,3.68580821917808,3.777041,3.675737,3.8317808219,3.33912329,3.21869589,3.28931014,3.38291507,3.46502466,3.46684932,3.494956484
Afghanistan,AFG,0.411839503,0.470673718,0.458906875,0.647176362,0.647176362,0.764844792,0.8,0.1,0.05459,0.07298,0.07298,0.05473,0.03639,0.03649,0.03649,0.03649,0.03639,0.03649,0.03649,0.0364931506849315,0.0181967213114754,0.0182465753424658,0.0182465753424658,0.0182465753424658,0,0.0182465753424658,0.0182465753424658,0.0182465753424658,0.0181967213114754,0.0182465753424658,0.0182465753424658,0.0182465753424658,0.0181967213114754,0.0182465753424658,0.0182465753424658,0.018246,0.018196,0.0182465753,0.36493151,0.2189589,0.16421918,0.16786849,0.16786849,0.20436164,0.209830265
Africa,AFRC,350.571352842,377.498631523,396.115705875,420.166845804,432.111753033,450.531021882,450.8443,430.40276,457.31214,464.68102,511.69122,510.09421,496.99097,492.70285,513.82206,484.10361,459.00352,492.9403,505.0403,523.2403184285345,424.28786604914706,404.44046813460136,402.2725592570959,426.05064978729587,455.66850155109734,470.04822520767175,454.27255630027355,435.9732526849315,472.10433218504284,471.8892950465745,472.2539957917801,429.61476384657425,478.25623881267626,462.44740770410925,480.48848898899183,440.5081785893009,405.811141876657,391.0597633413267,335.16118525204797,335.028617755034,220.43829334875707,260.2694570094587,331.82553207226226,352.39714158,361.320566596
Angola,AGO,8.403361345,8.403361345,8.823529412,9.243697479,7.983193277,10.504201681,10,10,10,10,9.7,11,10,10,10,12,10,12,2.4,2.2,2.42019144262295,2.72852916164384,2.64078450410959,6.15360825205479,6.01923167213115,5.04623319452055,7.10565475068493,8.94971736986301,10.2424672786885,10.6179290958904,10,10,15,16,22.881205479,22.789972603,24.085479452,15.01693151,8.66712329,8.64887671,8.30219178,8.48465753,8.83134247,8.92257534,9.132891408
Albania,ALB,16.81462141,16.083550914,15.718015666,16.083550914,15.718015666,15.352480418,14,13,12,11,8.8,5.5,5.5,4.2,2.8,3,4,0.8,1.3,1.4,1.29755731147541,1.2983616,2.04353372054795,1.16924015342466,1.51494344262295,1.3389592109589,0.97521317260274,0.635699638356164,0.585179901639344,0.121702947945205,0.292449304109589,0.474731309589041,0.172116950819672,0.0275162301369863,0.13858757260274,0.018246,0.018246,0.1268397041,0.01824657534246576,0.05674685,0.05054301,0.09670685,0.05291507,0.0729863,0.25545205
United Arab Emirates,ARE,44.776119403,81.791044776,88.358208955,88.955223881,91.343283582,110.447761194,124,123,142,146,145,181,179,178,181,194,184,215,226,232,201.320284754098,185.396572339726,170.188004054795,194.473341567123,223.553350622951,245.193978805479,265.573840043836,281.033753424658,298.458547934426,255.462862290411,271.419330838356,289.206825863014,291.033845213115,296.982088208219,301.845502783562,323.772210969863,331.372,331.9964383561644,336.0471781,330.0258082,324.7890411,340.7183014,349.5131507,355.516274,359.2068083
Argentina,ARG,108.066532708,104.601473543,101.352980576,103.302076356,100.270149587,89.874972092,97,99,88,68,63,65,49,54,43,36,39,51,49,44,42.0092250163934,38.1435851835616,25.8679048109589,27.8277867945205,51.060381442623,47.5651549150685,59.6100497753425,70.4799983342466,96.1432996065574,71.2662014794521,77.110572690411,81.9138649972603,93.2650019344262,88.2362823452055,98.9781195287671,85,71,45.96312328767124,17.37073973,20.91057534,35.19519139,43.02264702,32.51870783,23.73879452,14.46953425
Armenia,ARM,,,,,,,--,--,--,--,--,--,20,11,8,12,13,13,14,2.4,0,0,0,0,0.0181967213114754,0,0,0,0.0181967213114754,0.0182465753424658,0.0182465753424658,0.0182465753424658,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00164,0.00182466,0.00182466,0.00182466,0.00182466,0.00182466,0.00182466,0.001824349
Asia & Oceania,ASOC,3682.392847022,3335.934391103,2867.385349651,3068.251907402,2835.187732609,2672.419618804,2628.635395,2664.644095,2844.181889,3001.887818,3130.202563,3132.920483,3220.346772,3362.252921,3486.181695,3541.850188,3523.274636,3734.520052,3530.522791,3578.228274150685,3639.9888856150815,3524.207647965429,3407.4520941978467,3542.1080134604454,3625.864159840819,3520.94589822138,3622.0532083428307,3580.5786598833965,3397.013233798055,3144.9436272956573,3249.008406471037,3103.972374541733,3092.8641163999887,2896.0251649021147,2727.488112295719,2714.750238767123,2827.062047797123,2787.030015712252,2905.3965144101458,2673.054949798877,2810.7724502122696,2934.6032640730136,3023.01515170672,2961.81307204,2721.869387242
