Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,--,--,--,--,--,--,1533.911942336934,1533.911942336934,5876.822033092935,7812.160533196864,8251.249142255145,9001.004596941475,9886.942745560717,10045.367187345819,11021.732638197864,12474.38945404527,8221.60474736311,13296.183008209513,13296.183008209513,13296.201060215151,15902.530801530009,16454.558000434216,17009.209534715654,18941.394774622047,19752.74973278719,21331.085455933302,21290.44696230992,21939.318086094532,20609.619979688334,20346.205598205488,18578.156046974575,14590.076491537407,18349.527663476023,17629.064010096252,17860.859415549716,18345.442821342418,17998.253004909933,18675.301356633645,17658.492967084327,16821.89169498873,16445.57437347623,17379.36210639609,17783.2691384546,17532.35882109283
Afghanistan,AFG,22813.872609072332,26242.40090122746,28401.27800827379,35575.773522215546,35747.56236408306,34667.15218421148,35973.24508466671,60948.43776086759,111918.59864865875,109830.93949577036,108708.74381077595,44988.53373772413,29545.72369002442,29359.260581539016,28335.642314569344,23744.803860856286,23590.270827507004,22666.304926645862,22160.496257806524,22138.53213181243,19036.244077097334,13136.33476929801,11982.514292249822,14285.644820814172,13380.734220476283,18051.704161557085,23510.241606470096,27929.79922703572,54144.20051477399,90929.36651043055,116076.61410043981,149008.69608906814,140476.0690273547,114729.31875718744,95868.78114798802,111432.67116946248,101071.2477480381,131462.69589408234,167373.04515166907,169601.51416985752,168882.27456086117,171249.50659277523,162382.80134763964,147814.85497174883
Africa,AFRC,6564238.15948439,6805349.891572466,7417526.593382721,7861223.470901474,8315448.513810587,8531500.68531183,8674707.56634648,9008824.861194491,9336011.12490885,9536838.122881707,9831681.507454969,10011661.363368472,10102030.636103487,10202518.409682367,10432443.152653595,10893094.319708545,11245694.14488633,11516622.837018363,11741503.27551413,11713540.17695357,12250054.12283869,12629829.482429598,13039992.097057465,13602246.902235068,14035795.269458406,14838553.818286343,15123408.668601774,15666542.51187005,16397663.733837958,16377356.490228109,17117759.926527966,17580278.75332714,18375979.795472447,18955010.377830427,19552899.620197378,19533366.69419504,19673014.439095188,20513136.149057116,20584127.593332846,21301072.57272825,19984571.157316152,20781408.805773113,21477083.3126622,21784647.109779984
Angola,AGO,57678.78646259716,57112.31686805592,60964.06175208448,65447.521418267555,58743.38487230806,73374.68303716207,71966.31925715391,74392.99255805364,76948.83402586677,74171.69563898262,78696.52727802668,82736.48110699216,83246.65022159532,81288.91842902827,79113.4021320102,85297.8319999028,81519.73675090788,92873.31291841404,81672.25650826172,93180.96946394366,110377.5546022796,119525.21246473143,127131.7555906783,141336.83450109305,153877.9568183129,126048.87267073093,159618.94743884145,187855.3301699637,218961.55794271492,253196.38235222475,274972.7431954915,287603.6360767538,309957.25145345076,336296.1644493827,371617.74979200127,390566.16229969996,349950.6311821396,301947.47287426924,327876.94723222766,342379.46356528986,274758.6065596818,309782.915876374,348145.95139579586,354608.30329312355
Albania,ALB,150471.3077958483,148546.77264313016,148832.12354955438,154908.7933292138,155756.24209489892,154814.3585673826,150246.75257895264,146399.80221972364,150796.11839775878,140683.47300174402,100371.60532494882,75815.8818437592,65525.066399460586,54023.989885135124,46850.93411189017,51520.986493910765,48604.94370894706,46519.523439398,53582.78942676573,42004.876680556335,70859.26878579239,72343.95817716877,81389.09674016136,83531.60765349174,90050.712192118,89084.7391116821,84693.55153646594,83310.12689441809,86018.61759027244,86749.69954955789,79946.97503089366,86284.96357563055,80955.84941191775,94889.8470954597,92690.10083737326,86535.49170672485,96339.6418506148,105445.0067591564,100775.38790709496,89631.57897257282,76020.96445218887,91762.99037461997,93113.15802310435,81300.42252595772
United Arab Emirates,ARE,290195.47001063445,465372.54594624107,443353.5590255632,546192.5411889427,621603.204024147,844989.3442830186,957222.9553102877,1127735.6750494875,1235410.033122133,1337941.210199706,1294907.904291471,1569739.5184296456,1702180.2934585921,1592798.6418951252,1570864.3240246824,1693074.5663989806,1761567.0195934747,1865312.0281426923,1939023.583307369,1966159.5163357763,2205343.2178975865,2394033.3453654083,2502631.283575502,2577316.9600700024,2726658.243856168,2814109.736253574,2973639.8859681287,3271302.734589277,3778784.625245134,3705892.0742219794,3839515.5531026525,4265310.400510183,4218956.483323747,4405959.77445687,4380533.036983083,4959233.471742569,4980980.950680266,4638674.383980373,4322999.57581216,4535507.025320485,4374319.352824174,4532776.477976909,4785648.862031519,5057442.855411371
Argentina,ARG,1706478.3112408905,1661610.515007783,1729997.5589283747,1754315.210687769,1868264.7214970156,1796790.8795868813,1938438.4375708236,1941868.3749001678,1972773.1404100638,1983485.445817956,1886142.7764165578,1970981.7725016302,2024686.3943133233,2220642.843862511,2159054.5323492615,2232307.6208848776,2370901.5873847664,2429060.352794101,2602581.2631526613,2546606.754550963,2718950.8142224518,2613028.0792195266,2460573.3489322313,2720341.3069319576,2981090.5896834466,3095809.2565965145,3238513.578707411,3393762.1820215043,3552504.2747841356,3423700.9142508768,3596283.8828104567,3689471.393284482,3763091.287076232,3803935.361142831,3818740.232064493,3887185.6277078763,3898918.930346222,3709890.0754533974,3587016.8449135213,3787006.4749393035,3369529.5578685384,3722094.672174084,3784560.2326454623,3771388.59428021
Armenia,ARM,--,--,--,--,--,--,--,--,--,--,--,--,185895.2719325031,127326.83761552138,116125.1698532571,124930.70840111992,166256.96064732244,139823.84325828482,148191.75789578093,89783.35384615013,96634.39221184904,96999.41867290685,87932.52693535356,95646.06459046947,99833.37354389991,119531.03176009352,119326.42830148843,135381.4476437868,130183.47249806306,113755.69958027676,124768.92586956736,132148.16312813852,143156.3448073722,141059.26938253344,145271.04603753702,132747.953381157,133114.77002727665,143333.90200605977,140636.4547484114,148961.08779134616,161054.7987130667,165087.41558357916,183800.87414140842,169834.7585930874
American Samoa,ASM,6217.562727767495,7307.820360651783,10186.65868454491,6422.023953300051,7327.841786297404,6864.9221569759175,7086.37125881385,7356.913822357368,7152.027644488155,8235.967787139707,8662.576455979046,8662.576455979046,8910.493930947554,8668.545434465243,8444.227372000074,8219.909309534904,8241.681365301503,8444.227372000074,8444.227372000074,8444.23816416639,8268.581514342453,8268.581514342472,8405.958743777785,8405.958743777785,8405.958743777775,8929.445531857711,9080.818773514899,9080.818773514899,9105.697729058775,9080.818773514899,9080.818773514899,5181.916205769361,5199.353815088288,5189.116205769361,5189.116205769361,5189.114299249434,5206.913574053156,5199.916205728648,5199.916205728648,5199.916205728648,4954.202820532934,5717.986863514447,5717.80313787737,5685.931411888972
Asia & Oceania,ASOC,51837230.40117993,52460262.04862877,53574877.05366711,55281153.12651098,59387936.077304885,61394537.12518045,63421483.19784574,66781385.96433072,71555963.93848962,73648407.59998138,76283314.60027085,78556212.0542152,81963772.916294,86502383.77883819,92121988.85399808,97882519.37696177,102801847.00763409,103113015.3079201,103318124.93869554,108305616.01537009,113519798.63474233,115910832.07998648,121061068.34688582,130875917.83537382,145837235.35125518,156483886.2908284,167360641.48045543,177070888.61797422,181352457.76120368,190638185.96464592,207788780.61847553,219629973.1465085,229699121.8745462,235095931.83144438,238413773.62247834,239838300.76424372,243326690.4534883,247041012.3610222,256905141.8666941,263126777.41536516,260532539.22335577,270844760.35111755,277606789.16005003,293979133.63325775
